TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-01,2026-01-01,FO,NSE,STF,59520,,YESBANK,,2026-02-24,2026-02-24,,,YESBANK26FEBFUT,21.88,21.92,21.69,21.75,21.73,21.85,21.49,21.75,53865200,2114800,193,130572728.00,181,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,166389,,YESBANK,,2026-02-24,2026-02-24,25.00,PE,YESBANK26FEB25PE,3.38,3.38,3.38,3.38,3.38,3.70,21.49,3.50,93300,93300,3,2647854.00,1,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,166382,,YESBANK,,2026-02-24,2026-02-24,19.00,CE,YESBANK26FEB19CE,0.00,0.00,0.00,2.94,2.94,2.94,21.49,2.83,31100,0,0,0.00,0,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,154750,,YESBANK,,2026-01-27,2026-01-27,25.00,PE,YESBANK26JAN25PE,3.40,3.40,3.40,3.40,3.40,3.23,21.49,3.40,2425800,31100,1,883240.00,1,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,154745,,YESBANK,,2026-01-27,2026-01-27,21.00,CE,YESBANK26JAN21CE,1.05,1.08,0.89,0.95,0.96,1.05,21.49,0.95,24848900,342100,498,340019410.00,362,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,166418,,YESBANK,,2026-03-30,2026-03-30,28.00,CE,YESBANK26MAR28CE,0.00,0.00,0.00,0.20,0.00,0.20,21.49,0.09,0,0,0,0.00,0,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,154749,,YESBANK,,2026-01-27,2026-01-27,25.00,CE,YESBANK26JAN25CE,0.06,0.07,0.05,0.05,0.05,0.06,21.49,0.05,26808200,1026300,814,634240649.00,285,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,166412,,YESBANK,,2026-03-30,2026-03-30,22.00,CE,YESBANK26MAR22CE,0.00,0.00,0.00,1.50,0.00,1.50,21.49,1.25,0,0,0,0.00,0,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,154077,,YESBANK,,2026-01-27,2026-01-27,24.00,PE,YESBANK26JAN24PE,0.00,0.00,0.00,2.32,2.32,2.32,21.49,2.52,4011900,0,0,0.00,0,F1,31100,,,,,
2026-01-01,2026-01-01,FO,NSE,STO,154782,,YESBANK,,2026-02-24,2026-02-24,28.00,PE,YESBANK26FEB28PE,0.00,0.00,0.00,6.27,6.30,6.27,21.49,6.30,124400,0,0,0.00,0,F1,31100,,,,,
