TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-05,2026-01-05,FO,NSE,STO,103263,,IIFL,,2026-01-27,2026-01-27,630.00,PE,IIFL26JAN630PE,11.95,13.35,9.75,10.25,9.75,12.80,645.45,10.25,171600,-14850,178,188374807.50,142,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,100136,,IIFL,,2026-01-27,2026-01-27,500.00,CE,IIFL26JAN500CE,0.00,0.00,0.00,104.60,104.60,104.60,645.45,147.20,1650,0,0,0.00,0,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,103258,,IIFL,,2026-01-27,2026-01-27,590.00,CE,IIFL26JAN590CE,0.00,0.00,0.00,58.55,60.45,58.55,645.45,63.30,90750,0,0,0.00,0,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,103272,,IIFL,,2026-01-27,2026-01-27,650.00,PE,IIFL26JAN650PE,20.15,23.45,18.15,19.05,18.15,21.30,645.45,19.05,90750,29700,146,161630370.00,132,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,100161,,IIFL,,2026-01-27,2026-01-27,680.00,CE,IIFL26JAN680CE,7.75,8.45,5.90,7.65,8.40,6.75,645.45,7.65,275550,9900,186,210856470.00,182,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,103253,,IIFL,,2026-01-27,2026-01-27,530.00,PE,IIFL26JAN530PE,0.50,0.50,0.50,0.50,0.50,0.70,645.45,0.50,19800,1650,1,875325.00,1,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,36855,,IIFL,,2026-01-27,2026-01-27,690.00,PE,IIFL26JAN690PE,0.00,0.00,0.00,126.20,0.00,126.20,645.45,53.00,0,0,0,0.00,0,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,100138,,IIFL,,2026-01-27,2026-01-27,520.00,CE,IIFL26JAN520CE,0.00,0.00,0.00,54.90,54.90,54.90,645.45,127.45,3300,0,0,0.00,0,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,100158,,IIFL,,2026-01-27,2026-01-27,640.00,PE,IIFL26JAN640PE,15.80,17.85,13.50,14.20,13.50,16.50,645.45,14.20,214500,16500,222,240152385.00,192,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,100145,,IIFL,,2026-01-27,2026-01-27,580.00,PE,IIFL26JAN580PE,2.10,2.55,1.70,1.80,1.70,2.40,645.45,1.80,460350,-8250,69,66274147.50,65,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,103241,,IIFL,,2026-01-27,2026-01-27,510.00,PE,IIFL26JAN510PE,0.00,0.00,0.00,3.00,3.00,3.00,645.45,0.15,1650,0,0,0.00,0,F1,1650,,,,,
2026-01-05,2026-01-05,FO,NSE,STO,100152,,IIFL,,2026-01-27,2026-01-27,620.00,CE,IIFL26JAN620CE,36.20,37.90,31.20,35.75,37.90,32.90,645.45,35.75,226050,-51150,53,57195847.50,52,F1,1650,,,,,
