TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-06,2026-01-06,FO,NSE,STO,57103,,ABB,,2026-02-24,2026-02-24,5250.00,CE,ABB26FEB5250CE,0.00,0.00,0.00,243.50,0.00,243.50,5224.50,220.95,0,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,69053,,ABB,,2026-02-24,2026-02-24,5500.00,CE,ABB26FEB5500CE,86.05,106.70,86.05,100.20,100.20,219.50,5224.50,121.60,1000,1000,10,6995925.00,9,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,61323,,ABB,,2026-01-27,2026-01-27,5900.00,PE,ABB26JAN5900PE,0.00,0.00,0.00,790.55,0.00,790.55,5224.50,662.80,0,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,69044,,ABB,,2026-02-24,2026-02-24,5100.00,PE,ABB26FEB5100PE,0.00,0.00,0.00,330.25,0.00,330.25,5224.50,140.05,0,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,57110,,ABB,,2026-02-24,2026-02-24,5550.00,PE,ABB26FEB5550PE,0.00,0.00,0.00,497.60,0.00,497.60,5224.50,391.35,0,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,57292,,ABB,,2026-03-30,2026-03-30,5100.00,PE,ABB26MAR5100PE,0.00,0.00,0.00,287.10,0.00,287.10,5224.50,190.35,0,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,57300,,ABB,,2026-03-30,2026-03-30,5500.00,PE,ABB26MAR5500PE,0.00,0.00,0.00,511.70,0.00,511.70,5224.50,400.15,0,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,61306,,ABB,,2026-01-27,2026-01-27,5200.00,PE,ABB26JAN5200PE,111.65,114.05,73.60,84.30,84.00,113.70,5224.50,84.30,109125,750,536,354275981.25,482,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,68863,,ABB,,2026-01-27,2026-01-27,4550.00,CE,ABB26JAN4550CE,0.00,0.00,0.00,663.35,663.35,663.35,5224.50,691.00,500,0,0,0.00,0,F1,125,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,61291,,ABB,,2026-01-27,2026-01-27,4600.00,CE,ABB26JAN4600CE,0.00,0.00,0.00,761.70,0.00,761.70,5224.50,642.35,0,0,0,0.00,0,F1,125,,,,,
