TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-06,2026-01-06,FO,NSE,STO,137313,,MAXHEALTH,,2026-01-27,2026-01-27,1150.00,PE,MAXHEALTH26JAN1150PE,0.00,0.00,0.00,116.20,0.00,116.20,1051.60,100.40,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117284,,MAXHEALTH,,2026-01-27,2026-01-27,1040.00,PE,MAXHEALTH26JAN1040PE,17.40,19.00,12.80,16.45,16.75,17.70,1051.60,16.45,395850,12075,331,183512805.00,289,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137297,,MAXHEALTH,,2026-01-27,2026-01-27,990.00,PE,MAXHEALTH26JAN990PE,0.00,0.00,0.00,21.40,0.00,21.40,1051.60,9.10,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137672,,MAXHEALTH,,2026-03-30,2026-03-30,960.00,CE,MAXHEALTH26MAR960CE,0.00,0.00,0.00,133.25,0.00,133.25,1051.60,126.40,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137668,,MAXHEALTH,,2026-03-30,2026-03-30,920.00,CE,MAXHEALTH26MAR920CE,0.00,0.00,0.00,160.65,0.00,160.65,1051.60,156.75,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117450,,MAXHEALTH,,2026-01-27,2026-01-27,1260.00,CE,MAXHEALTH26JAN1260CE,0.00,0.00,0.00,0.70,0.70,0.70,1051.60,0.35,8400,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117307,,MAXHEALTH,,2026-01-27,2026-01-27,1020.00,CE,MAXHEALTH26JAN1020CE,43.00,52.80,41.00,45.05,45.05,43.50,1051.60,52.30,10500,6300,36,20154382.50,36,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137314,,MAXHEALTH,,2026-01-27,2026-01-27,1170.00,CE,MAXHEALTH26JAN1170CE,0.00,0.00,0.00,9.20,0.00,9.20,1051.60,3.60,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117296,,MAXHEALTH,,2026-01-27,2026-01-27,1200.00,CE,MAXHEALTH26JAN1200CE,0.90,1.50,0.90,1.10,1.10,1.10,1051.60,1.70,259350,15750,113,71260875.00,92,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137468,,MAXHEALTH,,2026-02-24,2026-02-24,980.00,CE,MAXHEALTH26FEB980CE,0.00,0.00,0.00,102.35,0.00,102.35,1051.60,97.10,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137488,,MAXHEALTH,,2026-02-24,2026-02-24,1110.00,CE,MAXHEALTH26FEB1110CE,0.00,0.00,0.00,22.10,22.10,22.10,1051.60,29.50,3150,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117605,,MAXHEALTH,,2026-02-24,2026-02-24,1120.00,CE,MAXHEALTH26FEB1120CE,18.40,18.40,18.20,18.20,18.20,120.10,1051.60,26.40,3150,3150,6,3585540.00,3,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117234,,MAXHEALTH,,2026-01-27,2026-01-27,880.00,PE,MAXHEALTH26JAN880PE,0.00,0.00,0.00,1.00,1.00,1.00,1051.60,0.25,1050,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117311,,MAXHEALTH,,2026-01-27,2026-01-27,1100.00,CE,MAXHEALTH26JAN1100CE,8.95,11.15,7.00,9.00,9.05,7.85,1051.60,9.00,510825,45150,1342,781273316.25,968,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137293,,MAXHEALTH,,2026-01-27,2026-01-27,950.00,PE,MAXHEALTH26JAN950PE,1.50,1.50,1.50,1.50,1.50,1.00,1051.60,3.15,7350,525,1,499537.50,1,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117310,,MAXHEALTH,,2026-01-27,2026-01-27,1060.00,PE,MAXHEALTH26JAN1060PE,23.75,29.75,20.60,25.45,26.40,27.20,1051.60,25.45,340200,-15225,437,248928750.00,395,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,117600,,MAXHEALTH,,2026-02-24,2026-02-24,1000.00,PE,MAXHEALTH26FEB1000PE,17.95,18.70,15.20,17.35,17.35,17.95,1051.60,17.35,27825,5775,22,11747058.75,22,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137473,,MAXHEALTH,,2026-02-24,2026-02-24,1010.00,PE,MAXHEALTH26FEB1010PE,0.00,0.00,0.00,44.10,0.00,44.10,1051.60,27.75,0,0,0,0.00,0,F1,525,,,,,
2026-01-06,2026-01-06,FO,NSE,STO,137312,,MAXHEALTH,,2026-01-27,2026-01-27,1150.00,CE,MAXHEALTH26JAN1150CE,0.00,0.00,0.00,12.25,0.00,12.25,1051.60,5.65,0,0,0,0.00,0,F1,525,,,,,
