TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-07,2026-01-07,FO,NSE,STO,153062,,UNIONBANK,,2026-01-27,2026-01-27,145.00,CE,UNIONBANK26JAN145CE,0.00,0.00,0.00,18.52,18.52,18.52,166.35,21.97,380550,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165066,,UNIONBANK,,2026-03-30,2026-03-30,180.00,CE,UNIONBANK26MAR180CE,0.00,0.00,0.00,2.73,2.73,2.73,166.35,6.13,4425,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165063,,UNIONBANK,,2026-03-30,2026-03-30,170.00,PE,UNIONBANK26MAR170PE,0.00,0.00,0.00,22.00,0.00,22.00,166.35,11.39,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165013,,UNIONBANK,,2026-02-24,2026-02-24,167.50,PE,UNIONBANK26FEB167.5PE,0.00,0.00,0.00,18.60,0.00,18.60,166.35,8.04,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165001,,UNIONBANK,,2026-02-24,2026-02-24,137.50,PE,UNIONBANK26FEB137.5PE,0.00,0.00,0.00,3.26,0.00,3.26,166.35,0.40,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148244,,UNIONBANK,,2026-01-27,2026-01-27,172.50,PE,UNIONBANK26JAN172.5PE,8.40,9.29,7.99,8.07,8.07,8.48,166.35,8.07,88500,35400,22,17639775.75,22,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148242,,UNIONBANK,,2026-01-27,2026-01-27,167.50,PE,UNIONBANK26JAN167.5PE,5.50,6.05,4.80,4.89,4.99,5.33,166.35,4.89,207975,53100,134,102533577.75,122,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148240,,UNIONBANK,,2026-01-27,2026-01-27,162.50,PE,UNIONBANK26JAN162.5PE,2.89,3.53,2.63,2.72,2.80,3.02,166.35,2.72,876150,-106200,303,221971983.00,244,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165054,,UNIONBANK,,2026-03-30,2026-03-30,150.00,CE,UNIONBANK26MAR150CE,0.00,0.00,0.00,13.79,0.00,13.79,166.35,21.59,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148442,,UNIONBANK,,2026-02-24,2026-02-24,190.00,PE,UNIONBANK26FEB190PE,0.00,0.00,0.00,37.28,0.00,37.28,166.35,23.97,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165017,,UNIONBANK,,2026-02-24,2026-02-24,177.50,PE,UNIONBANK26FEB177.5PE,0.00,0.00,0.00,26.53,0.00,26.53,166.35,14.16,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148296,,UNIONBANK,,2026-02-24,2026-02-24,145.00,PE,UNIONBANK26FEB145PE,0.90,0.90,0.90,0.90,0.90,1.10,166.35,0.90,79650,-35400,8,5164860.00,8,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153077,,UNIONBANK,,2026-01-27,2026-01-27,180.00,PE,UNIONBANK26JAN180PE,0.00,0.00,0.00,14.00,14.00,14.00,166.35,14.31,79650,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153071,,UNIONBANK,,2026-01-27,2026-01-27,165.00,PE,UNIONBANK26JAN165PE,4.21,4.66,3.60,3.71,3.72,4.06,166.35,3.71,2345250,-22125,578,432719068.50,467,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153067,,UNIONBANK,,2026-01-27,2026-01-27,155.00,PE,UNIONBANK26JAN155PE,1.09,1.28,0.93,0.97,0.95,1.09,166.35,0.97,3650625,-53100,516,356393571.00,394,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153063,,UNIONBANK,,2026-01-27,2026-01-27,145.00,PE,UNIONBANK26JAN145PE,0.30,0.30,0.22,0.22,0.24,0.25,166.35,0.22,1734600,-115050,74,47565431.25,57,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153059,,UNIONBANK,,2026-01-27,2026-01-27,135.00,PE,UNIONBANK26JAN135PE,0.06,0.10,0.06,0.06,0.06,0.09,166.35,0.06,1703625,-22125,18,10759564.50,17,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148439,,UNIONBANK,,2026-02-24,2026-02-24,185.00,CE,UNIONBANK26FEB185CE,0.00,0.00,0.00,3.75,0.00,3.75,166.35,2.49,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148269,,UNIONBANK,,2026-02-24,2026-02-24,130.00,CE,UNIONBANK26FEB130CE,0.00,0.00,0.00,27.91,0.00,27.91,166.35,37.41,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148245,,UNIONBANK,,2026-01-27,2026-01-27,177.50,CE,UNIONBANK26JAN177.5CE,1.22,1.28,0.88,1.24,1.23,1.23,166.35,1.24,836325,146025,131,103495528.50,115,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148440,,UNIONBANK,,2026-02-24,2026-02-24,185.00,PE,UNIONBANK26FEB185PE,0.00,0.00,0.00,33.11,0.00,33.11,166.35,19.81,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153079,,UNIONBANK,,2026-01-27,2026-01-27,185.00,PE,UNIONBANK26JAN185PE,0.00,0.00,0.00,37.90,0.00,37.90,166.35,18.70,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148274,,UNIONBANK,,2026-02-24,2026-02-24,140.00,PE,UNIONBANK26FEB140PE,0.00,0.00,0.00,0.56,0.56,0.56,166.35,0.57,247800,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,153058,,UNIONBANK,,2026-01-27,2026-01-27,135.00,CE,UNIONBANK26JAN135CE,0.00,0.00,0.00,25.00,25.00,25.00,166.35,31.77,8850,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,148231,,UNIONBANK,,2026-01-27,2026-01-27,142.50,CE,UNIONBANK26JAN142.5CE,0.00,0.00,0.00,8.50,8.50,8.50,166.35,24.38,4425,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165004,,UNIONBANK,,2026-02-24,2026-02-24,147.50,CE,UNIONBANK26FEB147.5CE,0.00,0.00,0.00,12.25,0.00,12.25,166.35,21.36,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165056,,UNIONBANK,,2026-03-30,2026-03-30,155.00,CE,UNIONBANK26MAR155CE,0.00,0.00,0.00,11.43,0.00,11.43,166.35,18.10,0,0,0,0.00,0,F1,4425,,,,,
2026-01-07,2026-01-07,FO,NSE,STO,165060,,UNIONBANK,,2026-03-30,2026-03-30,165.00,CE,UNIONBANK26MAR165CE,0.00,0.00,0.00,7.64,0.00,7.64,166.35,12.21,0,0,0,0.00,0,F1,4425,,,,,
