TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-08,2026-01-08,FO,NSE,STO,104411,,IRCTC,,2026-01-27,2026-01-27,600.00,PE,IRCTC26JAN600PE,1.25,2.00,1.10,1.80,2.00,1.00,656.45,1.80,319375,33250,205,107887762.50,163,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,117082,,IRCTC,,2026-02-24,2026-02-24,755.00,PE,IRCTC26FEB755PE,0.00,0.00,0.00,75.00,0.00,75.00,656.45,94.85,0,0,0,0.00,0,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,106642,,IRCTC,,2026-02-24,2026-02-24,680.00,PE,IRCTC26FEB680PE,35.00,38.15,34.90,38.15,38.15,26.00,656.45,38.15,42000,3500,6,3756856.25,6,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,106645,,IRCTC,,2026-02-24,2026-02-24,700.00,CE,IRCTC26FEB700CE,14.35,14.50,10.75,11.40,10.85,16.10,656.45,11.40,312375,56875,248,154534931.25,197,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,104421,,IRCTC,,2026-01-27,2026-01-27,650.00,CE,IRCTC26JAN650CE,29.00,29.00,17.20,18.30,17.20,30.95,656.45,18.30,214375,69125,366,214547068.75,243,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,104524,,IRCTC,,2026-01-27,2026-01-27,790.00,CE,IRCTC26JAN790CE,0.45,0.50,0.40,0.50,0.50,0.60,656.45,0.50,144375,-7875,17,11758162.50,11,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,106624,,IRCTC,,2026-02-24,2026-02-24,590.00,PE,IRCTC26FEB590PE,0.00,0.00,0.00,7.00,0.00,7.00,656.45,2.35,0,0,0,0.00,0,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,104452,,IRCTC,,2026-01-27,2026-01-27,740.00,PE,IRCTC26JAN740PE,86.30,86.30,86.30,86.30,86.30,65.90,656.45,86.30,67375,-875,1,723012.50,1,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,106663,,IRCTC,,2026-02-24,2026-02-24,790.00,CE,IRCTC26FEB790CE,1.60,1.60,1.60,1.60,1.60,9.80,656.45,0.45,875,875,1,692650.00,1,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,117081,,IRCTC,,2026-02-24,2026-02-24,755.00,CE,IRCTC26FEB755CE,0.00,0.00,0.00,9.40,0.00,9.40,656.45,1.65,0,0,0,0.00,0,F1,875,,,,,
2026-01-08,2026-01-08,FO,NSE,STO,106650,,IRCTC,,2026-02-24,2026-02-24,720.00,PE,IRCTC26FEB720PE,0.00,0.00,0.00,58.20,0.00,58.20,656.45,63.50,0,0,0,0.00,0,F1,875,,,,,
