TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-09,2026-01-09,FO,NSE,STO,141527,,SBILIFE,,2026-01-27,2026-01-27,2200.00,CE,SBILIFE26JAN2200CE,4.65,4.95,2.45,2.75,2.60,3.95,2070.00,2.75,324750,24375,628,518850487.50,501,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,133376,,SBILIFE,,2026-02-24,2026-02-24,1720.00,CE,SBILIFE26FEB1720CE,0.00,0.00,0.00,344.40,0.00,344.40,2070.00,362.00,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,157948,,SBILIFE,,2026-02-24,2026-02-24,1940.00,CE,SBILIFE26FEB1940CE,0.00,0.00,0.00,115.85,0.00,115.85,2070.00,154.85,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,158030,,SBILIFE,,2026-03-30,2026-03-30,1880.00,CE,SBILIFE26MAR1880CE,0.00,0.00,0.00,180.40,0.00,180.40,2070.00,223.65,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,157954,,SBILIFE,,2026-02-24,2026-02-24,2060.00,CE,SBILIFE26FEB2060CE,0.00,0.00,0.00,55.05,0.00,55.05,2070.00,71.05,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,141478,,SBILIFE,,2026-01-27,2026-01-27,2080.00,CE,SBILIFE26JAN2080CE,41.30,43.50,27.40,29.60,30.40,38.20,2070.00,29.60,565500,33750,956,758292731.25,849,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,157959,,SBILIFE,,2026-02-24,2026-02-24,2140.00,PE,SBILIFE26FEB2140PE,0.00,0.00,0.00,155.05,0.00,155.05,2070.00,90.90,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,133411,,SBILIFE,,2026-02-24,2026-02-24,2080.00,PE,SBILIFE26FEB2080PE,0.00,0.00,0.00,110.30,0.00,110.30,2070.00,56.25,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,157945,,SBILIFE,,2026-02-24,2026-02-24,1860.00,PE,SBILIFE26FEB1860PE,0.00,0.00,0.00,19.95,0.00,19.95,2070.00,3.15,0,0,0,0.00,0,F1,375,,,,,
2026-01-09,2026-01-09,FO,NSE,STO,133377,,SBILIFE,,2026-02-24,2026-02-24,1720.00,PE,SBILIFE26FEB1720PE,0.00,0.00,0.00,7.50,0.00,7.50,2070.00,0.15,0,0,0,0.00,0,F1,375,,,,,
