TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-12,2026-01-12,FO,NSE,STO,141692,,TCS,,2026-01-27,2026-01-27,3180.00,CE,TCS26JAN3180CE,68.70,88.50,54.50,83.85,82.60,69.50,3239.45,83.85,109900,-8225,4869,2769028832.50,4253,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151784,,TCS,,2026-01-27,2026-01-27,3000.00,CE,TCS26JAN3000CE,190.00,234.00,181.90,230.25,233.75,204.20,3239.45,230.25,139475,-1050,67,37580235.00,59,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151791,,TCS,,2026-01-27,2026-01-27,3120.00,PE,TCS26JAN3120PE,30.15,44.70,22.50,25.25,25.65,33.30,3239.45,25.25,280525,90125,4307,2375155448.75,3801,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,141703,,TCS,,2026-01-27,2026-01-27,3380.00,PE,TCS26JAN3380PE,0.00,0.00,0.00,161.30,161.30,161.30,3239.45,143.65,11725,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151809,,TCS,,2026-01-27,2026-01-27,3480.00,PE,TCS26JAN3480PE,0.00,0.00,0.00,244.25,244.25,244.25,3239.45,234.90,22925,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,142209,,TCS,,2026-02-24,2026-02-24,3840.00,PE,TCS26FEB3840PE,0.00,0.00,0.00,541.00,541.00,541.00,3239.45,576.35,175,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151772,,TCS,,2026-01-27,2026-01-27,2760.00,CE,TCS26JAN2760CE,0.00,0.00,0.00,432.65,432.65,432.65,3239.45,485.70,525,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162356,,TCS,,2026-03-30,2026-03-30,3400.00,CE,TCS26MAR3400CE,47.00,51.00,47.00,50.05,50.05,47.00,3239.45,50.05,1225,700,4,2414658.75,4,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,142159,,TCS,,2026-02-24,2026-02-24,2840.00,PE,TCS26FEB2840PE,0.00,0.00,0.00,35.15,0.00,35.15,3239.45,1.50,0,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162253,,TCS,,2026-02-24,2026-02-24,3460.00,PE,TCS26FEB3460PE,0.00,0.00,0.00,183.05,183.05,183.05,3239.45,221.50,700,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,142201,,TCS,,2026-02-24,2026-02-24,3680.00,PE,TCS26FEB3680PE,0.00,0.00,0.00,525.80,0.00,525.80,3239.45,420.10,0,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162323,,TCS,,2026-03-30,2026-03-30,2720.00,PE,TCS26MAR2720PE,0.00,0.00,0.00,6.90,0.00,6.90,3239.45,1.85,0,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162351,,TCS,,2026-03-30,2026-03-30,3280.00,PE,TCS26MAR3280PE,0.00,0.00,0.00,107.70,107.70,107.70,3239.45,117.80,175,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162363,,TCS,,2026-03-30,2026-03-30,3520.00,PE,TCS26MAR3520PE,0.00,0.00,0.00,289.80,0.00,289.80,3239.45,276.70,0,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151780,,TCS,,2026-01-27,2026-01-27,2920.00,CE,TCS26JAN2920CE,0.00,0.00,0.00,309.30,309.30,309.30,3239.45,326.20,700,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162360,,TCS,,2026-03-30,2026-03-30,3480.00,CE,TCS26MAR3480CE,0.00,0.00,0.00,79.80,0.00,79.80,3239.45,45.45,0,0,0,0.00,0,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,141606,,TCS,,2026-01-27,2026-01-27,2900.00,CE,TCS26JAN2900CE,290.00,330.00,290.00,326.50,328.00,300.00,3239.45,326.50,3150,0,5,2816975.00,5,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STF,52054,,TCS,,2026-03-30,2026-03-30,,,TCS26MARFUT,3238.00,3265.00,3201.00,3257.90,3256.50,3232.70,3239.45,3257.90,346150,83650,703,397479565.00,662,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,162352,,TCS,,2026-03-30,2026-03-30,3320.00,CE,TCS26MAR3320CE,76.50,76.50,76.50,76.50,76.50,73.05,3239.45,76.50,2800,175,1,594387.50,1,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151773,,TCS,,2026-01-27,2026-01-27,2760.00,PE,TCS26JAN2760PE,2.00,2.90,1.40,2.05,2.25,1.75,3239.45,2.05,23975,-2625,139,67190436.25,101,F1,175,,,,,
2026-01-12,2026-01-12,FO,NSE,STO,151775,,TCS,,2026-01-27,2026-01-27,2800.00,PE,TCS26JAN2800PE,3.15,3.50,1.80,2.50,2.55,2.55,3239.45,2.50,190225,65450,1280,627797966.25,888,F1,175,,,,,
