TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-13,2026-01-13,FO,NSE,STO,110335,,KOTAKBANK,,2026-01-27,2026-01-27,2320.00,PE,KOTAKBANK26JAN2320PE,0.00,0.00,0.00,155.35,155.35,155.35,2132.60,183.30,3600,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110341,,KOTAKBANK,,2026-01-27,2026-01-27,2440.00,PE,KOTAKBANK26JAN2440PE,0.00,0.00,0.00,281.35,0.00,281.35,2132.60,302.25,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126360,,KOTAKBANK,,2026-02-24,2026-02-24,2100.00,PE,KOTAKBANK26FEB2100PE,36.05,41.00,33.85,39.50,40.05,36.25,2132.60,39.50,91200,4000,55,47059060.00,46,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126395,,KOTAKBANK,,2026-02-24,2026-02-24,2220.00,PE,KOTAKBANK26FEB2220PE,0.00,0.00,0.00,111.50,0.00,111.50,2132.60,105.25,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,111704,,KOTAKBANK,,2026-02-24,2026-02-24,2480.00,PE,KOTAKBANK26FEB2480PE,0.00,0.00,0.00,387.50,0.00,387.50,2132.60,333.05,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126717,,KOTAKBANK,,2026-03-30,2026-03-30,2040.00,PE,KOTAKBANK26MAR2040PE,0.00,0.00,0.00,48.10,0.00,48.10,2132.60,34.55,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126777,,KOTAKBANK,,2026-03-30,2026-03-30,2480.00,PE,KOTAKBANK26MAR2480PE,0.00,0.00,0.00,314.35,0.00,314.35,2132.60,326.30,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126781,,KOTAKBANK,,2026-03-30,2026-03-30,2560.00,PE,KOTAKBANK26MAR2560PE,0.00,0.00,0.00,384.00,0.00,384.00,2132.60,401.55,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126754,,KOTAKBANK,,2026-03-30,2026-03-30,2280.00,CE,KOTAKBANK26MAR2280CE,0.00,0.00,0.00,69.75,0.00,69.75,2132.60,36.80,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110303,,KOTAKBANK,,2026-01-27,2026-01-27,1920.00,PE,KOTAKBANK26JAN1920PE,2.25,2.25,2.25,2.25,2.25,1.80,2132.60,0.10,90000,0,1,768900.00,1,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110306,,KOTAKBANK,,2026-01-27,2026-01-27,1960.00,PE,KOTAKBANK26JAN1960PE,2.65,2.75,1.95,2.50,2.60,2.65,2132.60,2.50,185600,-8800,268,210366380.00,229,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110314,,KOTAKBANK,,2026-01-27,2026-01-27,2080.00,PE,KOTAKBANK26JAN2080PE,16.35,20.15,13.10,16.60,17.10,15.95,2132.60,16.60,173200,-14400,856,717772460.00,754,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110343,,KOTAKBANK,,2026-01-27,2026-01-27,2480.00,PE,KOTAKBANK26JAN2480PE,0.00,0.00,0.00,313.55,0.00,313.55,2132.60,342.20,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126340,,KOTAKBANK,,2026-02-24,2026-02-24,1980.00,PE,KOTAKBANK26FEB1980PE,0.00,0.00,0.00,19.20,0.00,19.20,2132.60,9.45,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126390,,KOTAKBANK,,2026-02-24,2026-02-24,2180.00,PE,KOTAKBANK26FEB2180PE,0.00,0.00,0.00,88.95,0.00,88.95,2132.60,79.45,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,111706,,KOTAKBANK,,2026-02-24,2026-02-24,2520.00,PE,KOTAKBANK26FEB2520PE,0.00,0.00,0.00,423.65,0.00,423.65,2132.60,372.20,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126733,,KOTAKBANK,,2026-03-30,2026-03-30,2200.00,PE,KOTAKBANK26MAR2200PE,0.00,0.00,0.00,115.85,0.00,115.85,2132.60,105.30,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STF,51957,,KOTAKBANK,,2026-03-30,2026-03-30,,,KOTAKBANK26MARFUT,2168.80,2170.00,2150.30,2161.90,2162.20,2169.00,2132.60,2161.90,1243600,17200,66,56980240.00,63,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,111264,,KOTAKBANK,,2026-01-27,2026-01-27,2300.00,CE,KOTAKBANK26JAN2300CE,3.45,3.55,2.40,2.90,2.80,3.65,2132.60,2.90,632400,-18800,1151,1060250340.00,837,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110336,,KOTAKBANK,,2026-01-27,2026-01-27,2360.00,CE,KOTAKBANK26JAN2360CE,1.95,1.95,0.80,1.00,1.00,1.80,2132.60,1.00,169600,-7600,155,146402480.00,140,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,111444,,KOTAKBANK,,2026-02-24,2026-02-24,2200.00,CE,KOTAKBANK26FEB2200CE,37.25,42.80,36.45,42.00,41.40,42.55,2132.60,42.00,68800,0,146,130827360.00,114,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,111688,,KOTAKBANK,,2026-02-24,2026-02-24,2360.00,CE,KOTAKBANK26FEB2360CE,0.00,0.00,0.00,30.10,0.00,30.10,2132.60,6.80,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126398,,KOTAKBANK,,2026-02-24,2026-02-24,2260.00,CE,KOTAKBANK26FEB2260CE,21.50,24.15,21.00,23.90,23.90,25.00,2132.60,23.90,18800,5200,26,23735000.00,26,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126756,,KOTAKBANK,,2026-03-30,2026-03-30,2320.00,CE,KOTAKBANK26MAR2320CE,0.00,0.00,0.00,57.20,0.00,57.20,2132.60,27.40,0,0,0,0.00,0,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110310,,KOTAKBANK,,2026-01-27,2026-01-27,2040.00,PE,KOTAKBANK26JAN2040PE,8.10,10.40,6.60,8.70,9.25,8.50,2132.60,8.70,318800,-5600,694,568608960.00,603,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,111266,,KOTAKBANK,,2026-01-27,2026-01-27,2340.00,CE,KOTAKBANK26JAN2340CE,1.80,2.00,1.30,1.45,1.55,2.25,2132.60,1.45,261200,18000,133,124571160.00,73,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,110318,,KOTAKBANK,,2026-01-27,2026-01-27,2120.00,PE,KOTAKBANK26JAN2120PE,31.25,36.20,24.95,30.55,30.85,28.50,2132.60,30.55,428400,16800,1487,1279219560.00,1292,F1,400,,,,,
2026-01-13,2026-01-13,FO,NSE,STO,126736,,KOTAKBANK,,2026-03-30,2026-03-30,2240.00,CE,KOTAKBANK26MAR2240CE,0.00,0.00,0.00,84.35,0.00,84.35,2132.60,48.55,0,0,0,0.00,0,F1,400,,,,,
