TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-16,2026-01-16,FO,NSE,STO,65006,,ASHOKLEY,,2026-01-27,2026-01-27,170.00,CE,ASHOKLEY26JAN170CE,15.55,17.00,15.00,15.50,15.40,16.88,184.25,15.50,1395000,-10000,10,9317750.00,5,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,65011,,ASHOKLEY,,2026-01-27,2026-01-27,174.00,CE,ASHOKLEY26JAN174CE,12.32,12.32,11.20,11.20,11.20,14.78,184.25,11.12,180000,5000,3,2785150.00,3,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,74617,,ASHOKLEY,,2026-02-24,2026-02-24,200.00,PE,ASHOKLEY26FEB200PE,18.25,19.25,18.25,19.00,19.00,18.00,184.25,16.87,55000,30000,6,6570000.00,5,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68317,,ASHOKLEY,,2026-02-24,2026-02-24,182.50,PE,ASHOKLEY26FEB182.5PE,6.00,6.61,6.00,6.61,6.61,10.95,184.25,5.75,15000,15000,3,2830550.00,3,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68286,,ASHOKLEY,,2026-02-24,2026-02-24,172.50,PE,ASHOKLEY26FEB172.5PE,0.00,0.00,0.00,6.18,0.00,6.18,184.25,2.30,0,0,0,0.00,0,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,65044,,ASHOKLEY,,2026-01-27,2026-01-27,188.00,PE,ASHOKLEY26JAN188PE,5.62,5.74,3.83,5.19,5.29,4.43,184.25,5.19,880000,-120000,119,114769900.00,113,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68190,,ASHOKLEY,,2026-01-27,2026-01-27,187.50,PE,ASHOKLEY26JAN187.5PE,4.24,5.18,3.50,4.84,4.97,4.16,184.25,4.84,890000,-70000,83,79586900.00,83,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,35339,,ASHOKLEY,,2026-01-27,2026-01-27,185.00,PE,ASHOKLEY26JAN185PE,3.45,3.95,2.26,3.20,3.37,2.86,184.25,3.20,4640000,1195000,2485,2336653500.00,2336,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68179,,ASHOKLEY,,2026-01-27,2026-01-27,187.50,CE,ASHOKLEY26JAN187.5CE,2.70,3.19,2.05,2.17,2.08,3.32,184.25,2.17,1520000,10000,432,410387350.00,401,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68169,,ASHOKLEY,,2026-01-27,2026-01-27,167.50,CE,ASHOKLEY26JAN167.5CE,0.00,0.00,0.00,11.06,11.07,11.06,184.25,17.13,10000,0,0,0.00,0,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,64890,,ASHOKLEY,,2026-01-27,2026-01-27,154.00,CE,ASHOKLEY26JAN154CE,0.00,0.00,0.00,27.10,27.10,27.10,184.25,30.51,10000,0,0,0.00,0,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,64781,,ASHOKLEY,,2026-01-27,2026-01-27,144.00,CE,ASHOKLEY26JAN144CE,0.00,0.00,0.00,30.50,30.50,30.50,184.25,40.49,80000,0,0,0.00,0,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,64767,,ASHOKLEY,,2026-01-27,2026-01-27,130.00,CE,ASHOKLEY26JAN130CE,55.20,55.20,55.20,55.20,55.20,43.00,184.25,54.47,35000,0,6,5556000.00,1,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,64765,,ASHOKLEY,,2026-01-27,2026-01-27,128.00,CE,ASHOKLEY26JAN128CE,0.00,0.00,0.00,53.50,53.50,53.50,184.25,56.46,25000,0,0,0.00,0,F1,5000,,,,,
2026-01-16,2026-01-16,FO,NSE,STF,49269,,ASHOKLEY,,2026-01-27,2026-01-27,,,ASHOKLEY26JANFUT,185.70,187.20,184.04,184.87,184.43,186.67,184.25,184.87,170645000,-705000,6653,6167150400.00,5803,F1,5000,,,,,
