TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-16,2026-01-16,FO,NSE,STO,77478,,BAJFINANCE,,2026-02-24,2026-02-24,800.00,PE,BAJFINANCE26FEB800PE,0.00,0.00,0.00,5.30,0.00,5.30,950.25,0.45,0,0,0,0.00,0,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,77384,,BAJFINANCE,,2026-01-27,2026-01-27,1050.00,PE,BAJFINANCE26JAN1050PE,94.00,99.40,85.90,99.40,99.40,96.35,950.25,98.25,548250,-2250,23,19677750.00,21,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,77375,,BAJFINANCE,,2026-01-27,2026-01-27,970.00,PE,BAJFINANCE26JAN970PE,29.25,29.25,16.75,25.45,25.40,29.00,950.25,25.45,998250,21750,841,625752600.00,690,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,75199,,BAJFINANCE,,2026-03-30,2026-03-30,860.00,CE,BAJFINANCE26MAR860CE,0.00,0.00,0.00,153.80,0.00,153.80,950.25,108.95,0,0,0,0.00,0,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,75193,,BAJFINANCE,,2026-03-30,2026-03-30,800.00,PE,BAJFINANCE26MAR800PE,0.00,0.00,0.00,4.30,0.00,4.30,950.25,2.40,0,0,0,0.00,0,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,77379,,BAJFINANCE,,2026-01-27,2026-01-27,1010.00,PE,BAJFINANCE26JAN1010PE,62.40,62.40,47.20,60.20,60.40,55.80,950.25,60.20,814500,-6750,58,46227337.50,37,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,77377,,BAJFINANCE,,2026-01-27,2026-01-27,990.00,PE,BAJFINANCE26JAN990PE,44.00,44.00,30.20,42.25,42.60,45.35,950.25,42.25,1078500,-15000,106,81616237.50,97,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68470,,BAJFINANCE,,2026-01-27,2026-01-27,960.00,PE,BAJFINANCE26JAN960PE,22.35,25.50,11.55,18.70,18.50,22.05,950.25,18.70,1340250,102000,1900,1390826550.00,1627,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,77373,,BAJFINANCE,,2026-01-27,2026-01-27,950.00,PE,BAJFINANCE26JAN950PE,18.40,18.40,7.70,13.15,12.85,16.20,950.25,13.15,1363500,33000,3903,2815379662.50,3485,F1,750,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,68460,,BAJFINANCE,,2026-01-27,2026-01-27,860.00,PE,BAJFINANCE26JAN860PE,0.75,0.75,0.40,0.50,0.50,0.75,950.25,0.50,898500,15750,2219,1431984787.50,1458,F1,750,,,,,
