TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-16,2026-01-16,FO,NSE,STO,100622,,GODREJPROP,,2026-02-24,2026-02-24,1780.00,PE,GODREJPROP26FEB1780PE,40.00,40.00,37.00,38.45,38.45,51.45,1889.00,36.85,5500,1375,13,6500835.00,8,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94944,,GODREJPROP,,2026-02-24,2026-02-24,1840.00,PE,GODREJPROP26FEB1840PE,0.00,0.00,0.00,61.80,0.00,61.80,1889.00,58.10,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100631,,GODREJPROP,,2026-02-24,2026-02-24,1900.00,PE,GODREJPROP26FEB1900PE,77.00,95.50,70.40,89.30,91.65,100.20,1889.00,89.30,67650,5500,110,59915363.75,98,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94948,,GODREJPROP,,2026-02-24,2026-02-24,1920.00,PE,GODREJPROP26FEB1920PE,79.80,91.90,79.80,91.25,91.25,74.85,1889.00,96.70,2475,1375,12,6624598.75,12,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94954,,GODREJPROP,,2026-02-24,2026-02-24,2040.00,PE,GODREJPROP26FEB2040PE,0.00,0.00,0.00,135.35,0.00,135.35,1889.00,175.40,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94945,,GODREJPROP,,2026-02-24,2026-02-24,1880.00,CE,GODREJPROP26FEB1880CE,127.00,127.00,101.25,101.25,101.25,97.00,1889.00,95.95,3025,825,7,3849285.00,7,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90420,,GODREJPROP,,2026-01-27,2026-01-27,2400.00,CE,GODREJPROP26JAN2400CE,0.70,0.70,0.70,0.70,0.70,0.50,1889.00,0.05,44275,-275,1,660192.50,1,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,47113,,GODREJPROP,,2026-01-27,2026-01-27,1560.00,CE,GODREJPROP26JAN1560CE,0.00,0.00,0.00,611.20,0.00,611.20,1889.00,331.60,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94946,,GODREJPROP,,2026-02-24,2026-02-24,1880.00,PE,GODREJPROP26FEB1880PE,80.00,80.00,63.00,80.00,80.00,93.75,1889.00,75.95,3575,550,16,8578803.75,16,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100618,,GODREJPROP,,2026-02-24,2026-02-24,1700.00,PE,GODREJPROP26FEB1700PE,18.90,26.00,18.90,24.00,24.00,31.60,1889.00,17.85,11000,-1925,45,21302490.00,42,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90414,,GODREJPROP,,2026-01-27,2026-01-27,2320.00,PE,GODREJPROP26JAN2320PE,0.00,0.00,0.00,316.35,316.35,316.35,1889.00,427.15,1650,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100870,,GODREJPROP,,2026-03-30,2026-03-30,2240.00,CE,GODREJPROP26MAR2240CE,0.00,0.00,0.00,81.25,0.00,81.25,1889.00,25.60,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100866,,GODREJPROP,,2026-03-30,2026-03-30,2160.00,CE,GODREJPROP26MAR2160CE,0.00,0.00,0.00,104.30,0.00,104.30,1889.00,38.50,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100858,,GODREJPROP,,2026-03-30,2026-03-30,2000.00,CE,GODREJPROP26MAR2000CE,90.00,90.00,90.00,90.00,90.00,80.60,1889.00,81.05,550,275,1,574750.00,1,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100656,,GODREJPROP,,2026-02-24,2026-02-24,2300.00,CE,GODREJPROP26FEB2300CE,11.00,11.75,4.20,10.70,10.70,9.90,1889.00,4.65,1925,825,7,4446860.00,7,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94965,,GODREJPROP,,2026-02-24,2026-02-24,2280.00,CE,GODREJPROP26FEB2280CE,11.00,11.00,11.00,11.00,11.00,10.75,1889.00,11.00,2200,0,2,1260050.00,1,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94951,,GODREJPROP,,2026-02-24,2026-02-24,2000.00,CE,GODREJPROP26FEB2000CE,56.80,74.00,50.95,54.60,53.50,51.90,1889.00,54.60,111100,1650,287,162939301.25,224,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100635,,GODREJPROP,,2026-02-24,2026-02-24,1980.00,PE,GODREJPROP26FEB1980PE,0.00,0.00,0.00,120.15,0.00,120.15,1889.00,133.20,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100873,,GODREJPROP,,2026-03-30,2026-03-30,2280.00,PE,GODREJPROP26MAR2280PE,0.00,0.00,0.00,340.05,0.00,340.05,1889.00,386.75,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100857,,GODREJPROP,,2026-03-30,2026-03-30,1960.00,PE,GODREJPROP26MAR1960PE,0.00,0.00,0.00,138.60,0.00,138.60,1889.00,145.60,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100641,,GODREJPROP,,2026-02-24,2026-02-24,2060.00,PE,GODREJPROP26FEB2060PE,0.00,0.00,0.00,164.65,0.00,164.65,1889.00,190.60,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100807,,GODREJPROP,,2026-03-30,2026-03-30,1680.00,CE,GODREJPROP26MAR1680CE,0.00,0.00,0.00,362.85,0.00,362.85,1889.00,259.40,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,94643,,GODREJPROP,,2026-01-27,2026-01-27,1980.00,PE,GODREJPROP26JAN1980PE,72.70,110.00,68.65,110.00,110.00,128.95,1889.00,103.15,64075,550,54,30621731.25,53,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90365,,GODREJPROP,,2026-01-27,2026-01-27,2040.00,PE,GODREJPROP26JAN2040PE,111.00,151.40,111.00,151.40,151.40,179.00,1889.00,153.75,58575,-1375,20,11949588.75,20,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90371,,GODREJPROP,,2026-01-27,2026-01-27,2160.00,PE,GODREJPROP26JAN2160PE,258.05,268.55,258.05,266.85,268.55,271.40,1889.00,266.85,32175,-2475,11,7341166.25,11,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90373,,GODREJPROP,,2026-01-27,2026-01-27,2200.00,PE,GODREJPROP26JAN2200PE,268.00,304.10,261.45,304.10,304.10,270.00,1889.00,307.60,89100,-275,23,15731237.50,15,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100633,,GODREJPROP,,2026-02-24,2026-02-24,1940.00,PE,GODREJPROP26FEB1940PE,92.30,101.90,92.30,98.15,98.15,59.00,1889.00,108.20,1925,1375,10,5597185.00,10,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100637,,GODREJPROP,,2026-02-24,2026-02-24,2020.00,PE,GODREJPROP26FEB2020PE,0.00,0.00,0.00,185.95,185.95,185.95,1889.00,160.75,275,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100786,,GODREJPROP,,2026-03-30,2026-03-30,1600.00,PE,GODREJPROP26MAR1600PE,0.00,0.00,0.00,25.00,25.00,25.00,1889.00,17.35,1925,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100859,,GODREJPROP,,2026-03-30,2026-03-30,2000.00,PE,GODREJPROP26MAR2000PE,0.00,0.00,0.00,158.90,0.00,158.90,1889.00,170.20,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100867,,GODREJPROP,,2026-03-30,2026-03-30,2160.00,PE,GODREJPROP26MAR2160PE,0.00,0.00,0.00,254.65,0.00,254.65,1889.00,285.90,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,100817,,GODREJPROP,,2026-03-30,2026-03-30,1720.00,CE,GODREJPROP26MAR1720CE,0.00,0.00,0.00,333.00,0.00,333.00,1889.00,229.85,0,0,0,0.00,0,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90354,,GODREJPROP,,2026-01-27,2026-01-27,1840.00,CE,GODREJPROP26JAN1840CE,82.80,111.15,64.40,72.90,71.40,65.70,1889.00,72.90,15675,825,172,91200601.25,167,F1,275,,,,,
2026-01-16,2026-01-16,FO,NSE,STO,90362,,GODREJPROP,,2026-01-27,2026-01-27,2000.00,CE,GODREJPROP26JAN2000CE,13.80,24.60,9.00,10.25,9.50,10.60,1889.00,10.25,744700,97625,8262,4584269181.25,6337,F1,275,,,,,
