TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-19,2026-01-19,FO,NSE,STO,148169,,ULTRACEMCO,,2026-02-24,2026-02-24,11400.00,CE,ULTRACEMCO26FEB11400CE,0.00,0.00,0.00,747.30,0.00,747.30,12296.80,990.60,0,0,0,0.00,0,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,164824,,ULTRACEMCO,,2026-02-24,2026-02-24,10900.00,CE,ULTRACEMCO26FEB10900CE,0.00,0.00,0.00,1017.10,0.00,1017.10,12296.80,1461.20,0,0,0,0.00,0,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,152958,,ULTRACEMCO,,2026-01-27,2026-01-27,12200.00,CE,ULTRACEMCO26JAN12200CE,277.75,309.85,210.20,225.20,211.50,294.40,12296.80,225.20,104650,-1350,446,277837237.50,384,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,152948,,ULTRACEMCO,,2026-01-27,2026-01-27,11200.00,CE,ULTRACEMCO26JAN11200CE,0.00,0.00,0.00,1135.30,0.00,1135.30,12296.80,1110.35,0,0,0,0.00,0,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,148170,,ULTRACEMCO,,2026-02-24,2026-02-24,11400.00,PE,ULTRACEMCO26FEB11400PE,49.00,49.00,43.00,47.40,47.40,44.45,12296.80,32.15,950,-200,16,9156755.00,10,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,152979,,ULTRACEMCO,,2026-01-27,2026-01-27,14200.00,PE,ULTRACEMCO26JAN14200PE,0.00,0.00,0.00,2134.80,0.00,2134.80,12296.80,1886.10,0,0,0,0.00,0,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,148000,,ULTRACEMCO,,2026-01-27,2026-01-27,11500.00,PE,ULTRACEMCO26JAN11500PE,12.00,13.50,7.40,9.75,10.50,12.50,12296.80,9.75,80300,-1450,1054,606585122.50,573,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,148197,,ULTRACEMCO,,2026-02-24,2026-02-24,14200.00,CE,ULTRACEMCO26FEB14200CE,20.50,20.50,14.80,14.80,14.80,40.60,12296.80,3.50,0,0,4,2843530.00,2,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,148187,,ULTRACEMCO,,2026-02-24,2026-02-24,13200.00,CE,ULTRACEMCO26FEB13200CE,82.15,82.15,82.15,82.15,82.15,82.65,12296.80,82.15,50,0,1,664107.50,1,F1,50,,,,,
2026-01-19,2026-01-19,FO,NSE,STO,148177,,ULTRACEMCO,,2026-02-24,2026-02-24,12200.00,CE,ULTRACEMCO26FEB12200CE,420.00,476.00,397.35,397.35,397.35,480.95,12296.80,397.35,2050,-1000,36,22748145.00,25,F1,50,,,,,
