TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-21,2026-01-21,FO,NSE,STO,68506,,360ONE,,2026-02-24,2026-02-24,960.00,CE,360ONE26FEB960CE,0.00,0.00,0.00,203.50,0.00,203.50,1095.30,145.70,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,56993,,360ONE,,2026-02-24,2026-02-24,1340.00,CE,360ONE26FEB1340CE,0.00,0.00,0.00,33.10,0.00,33.10,1095.30,1.85,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61068,,360ONE,,2026-01-27,2026-01-27,960.00,PE,360ONE26JAN960PE,0.45,0.90,0.25,0.35,0.35,0.45,1095.30,0.35,25000,4500,46,22094000.00,35,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61097,,360ONE,,2026-01-27,2026-01-27,1120.00,PE,360ONE26JAN1120PE,11.60,33.80,10.15,26.45,29.65,11.80,1095.30,26.45,74500,-68000,1024,584300650.00,789,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68511,,360ONE,,2026-02-24,2026-02-24,1040.00,PE,360ONE26FEB1040PE,20.55,20.55,20.55,20.55,20.55,54.10,1095.30,22.05,500,500,1,530275.00,1,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68562,,360ONE,,2026-02-24,2026-02-24,1240.00,PE,360ONE26FEB1240PE,0.00,0.00,0.00,62.00,62.00,62.00,1095.30,147.15,500,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68574,,360ONE,,2026-02-24,2026-02-24,1280.00,PE,360ONE26FEB1280PE,0.00,0.00,0.00,95.00,95.00,95.00,1095.30,183.00,500,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,57035,,360ONE,,2026-03-30,2026-03-30,1240.00,PE,360ONE26MAR1240PE,0.00,0.00,0.00,117.85,0.00,117.85,1095.30,155.80,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,57041,,360ONE,,2026-03-30,2026-03-30,1360.00,PE,360ONE26MAR1360PE,0.00,0.00,0.00,197.10,0.00,197.10,1095.30,258.60,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61095,,360ONE,,2026-01-27,2026-01-27,1080.00,PE,360ONE26JAN1080PE,3.00,8.95,1.95,6.80,5.65,2.40,1095.30,6.80,297000,3000,2177,1181903875.00,1455,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61089,,360ONE,,2026-01-27,2026-01-27,1040.00,CE,360ONE26JAN1040CE,0.00,0.00,0.00,189.40,0.00,189.40,1095.30,59.25,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61058,,360ONE,,2026-01-27,2026-01-27,960.00,CE,360ONE26JAN960CE,0.00,0.00,0.00,239.15,239.15,239.15,1095.30,136.20,1500,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61105,,360ONE,,2026-01-27,2026-01-27,1280.00,PE,360ONE26JAN1280PE,0.00,0.00,0.00,81.00,81.00,81.00,1095.30,183.55,1000,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,57019,,360ONE,,2026-03-30,2026-03-30,960.00,PE,360ONE26MAR960PE,0.00,0.00,0.00,15.90,0.00,15.90,1095.30,15.05,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68591,,360ONE,,2026-02-24,2026-02-24,1360.00,CE,360ONE26FEB1360CE,2.50,2.75,1.85,1.85,1.85,8.00,1095.30,1.30,6000,500,3,2043550.00,3,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61102,,360ONE,,2026-01-27,2026-01-27,1240.00,CE,360ONE26JAN1240CE,1.40,1.40,0.50,0.60,0.55,1.35,1095.30,0.60,318500,-198000,798,495049250.00,505,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,57032,,360ONE,,2026-03-30,2026-03-30,1200.00,CE,360ONE26MAR1200CE,0.00,0.00,0.00,105.25,0.00,105.25,1095.30,33.20,0,0,0,0.00,0,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61098,,360ONE,,2026-01-27,2026-01-27,1160.00,CE,360ONE26JAN1160CE,6.05,6.85,1.40,1.80,1.60,7.05,1095.30,1.80,217500,-63500,1452,844177550.00,1202,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68428,,360ONE,,2026-01-27,2026-01-27,1180.00,CE,360ONE26JAN1180CE,2.85,4.10,1.00,1.20,1.10,3.60,1095.30,1.20,253000,-160000,2181,1288634175.00,1596,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68484,,360ONE,,2026-01-27,2026-01-27,1380.00,CE,360ONE26JAN1380CE,0.30,0.40,0.25,0.35,0.35,0.45,1095.30,0.05,62500,-15000,84,57973200.00,53,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,56987,,360ONE,,2026-02-24,2026-02-24,1220.00,CE,360ONE26FEB1220CE,10.00,12.35,9.05,9.85,9.85,13.30,1095.30,9.85,10500,2000,16,9842225.00,13,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68561,,360ONE,,2026-02-24,2026-02-24,1240.00,CE,360ONE26FEB1240CE,7.50,8.45,7.00,7.00,7.00,60.15,1095.30,8.75,7000,7000,14,8732650.00,9,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61090,,360ONE,,2026-01-27,2026-01-27,1040.00,PE,360ONE26JAN1040PE,0.80,2.20,0.70,1.05,1.05,0.80,1095.30,1.05,45000,-2500,222,115581925.00,195,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68509,,360ONE,,2026-02-24,2026-02-24,1000.00,PE,360ONE26FEB1000PE,12.15,14.40,11.20,13.05,13.00,40.30,1095.30,13.05,4000,4000,14,7085875.00,14,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,61106,,360ONE,,2026-01-27,2026-01-27,1320.00,CE,360ONE26JAN1320CE,0.55,0.55,0.30,0.50,0.50,0.60,1095.30,0.50,68500,-27500,130,85829050.00,99,F1,500,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,68508,,360ONE,,2026-02-24,2026-02-24,1000.00,CE,360ONE26FEB1000CE,0.00,0.00,0.00,175.40,0.00,175.40,1095.30,112.15,0,0,0,0.00,0,F1,500,,,,,
