TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-21,2026-01-21,FO,NSE,STO,132682,,LTIM,,2026-02-24,2026-02-24,6750.00,CE,LTIM26FEB6750CE,0.00,0.00,0.00,94.10,0.00,94.10,5843.95,9.95,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132823,,LTIM,,2026-03-30,2026-03-30,6400.00,CE,LTIM26MAR6400CE,0.00,0.00,0.00,274.90,0.00,274.90,5843.95,103.45,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,40258,,LTIM,,2026-01-27,2026-01-27,7300.00,PE,LTIM26JAN7300PE,0.00,0.00,0.00,1352.80,0.00,1352.80,5843.95,1449.45,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114735,,LTIM,,2026-01-27,2026-01-27,6850.00,PE,LTIM26JAN6850PE,0.00,0.00,0.00,1001.25,0.00,1001.25,5843.95,999.85,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132652,,LTIM,,2026-02-24,2026-02-24,6250.00,CE,LTIM26FEB6250CE,0.00,0.00,0.00,91.00,91.00,91.00,5843.95,65.35,1800,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132825,,LTIM,,2026-03-30,2026-03-30,6500.00,CE,LTIM26MAR6500CE,0.00,0.00,0.00,239.85,0.00,239.85,5843.95,82.90,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114357,,LTIM,,2026-01-27,2026-01-27,5400.00,CE,LTIM26JAN5400CE,0.00,0.00,0.00,661.50,661.50,661.50,5843.95,449.55,450,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114362,,LTIM,,2026-01-27,2026-01-27,5500.00,PE,LTIM26JAN5500PE,8.05,15.75,4.60,5.70,5.45,6.45,5843.95,5.70,61350,-15450,3658,3023929297.50,2498,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132624,,LTIM,,2026-02-24,2026-02-24,5750.00,PE,LTIM26FEB5750PE,0.00,0.00,0.00,50.00,50.00,50.00,5843.95,135.40,2550,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132625,,LTIM,,2026-02-24,2026-02-24,5850.00,CE,LTIM26FEB5850CE,178.80,196.35,167.50,175.70,175.70,447.20,5843.95,204.60,2550,2550,19,17177010.00,14,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114804,,LTIM,,2026-02-24,2026-02-24,5300.00,CE,LTIM26FEB5300CE,555.00,555.00,555.00,555.00,555.00,742.75,5843.95,594.60,300,300,2,1756500.00,2,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114802,,LTIM,,2026-02-24,2026-02-24,5200.00,CE,LTIM26FEB5200CE,630.00,669.00,630.00,669.00,669.00,816.20,5843.95,684.70,300,300,2,1754850.00,2,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114404,,LTIM,,2026-01-27,2026-01-27,6800.00,CE,LTIM26JAN6800CE,1.35,2.25,0.85,2.00,2.00,2.35,5843.95,2.00,65700,-2850,232,236700315.00,171,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114396,,LTIM,,2026-01-27,2026-01-27,6400.00,CE,LTIM26JAN6400CE,4.95,5.00,2.60,3.45,2.90,7.60,5843.95,3.45,119400,-24750,2024,1944033412.50,1385,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114385,,LTIM,,2026-01-27,2026-01-27,6000.00,CE,LTIM26JAN6000CE,50.00,58.95,13.50,25.05,23.15,78.70,5843.95,25.05,172800,28500,10239,9253138777.50,8820,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114821,,LTIM,,2026-02-24,2026-02-24,5800.00,CE,LTIM26FEB5800CE,218.00,229.85,179.90,224.80,229.85,306.85,5843.95,224.80,9150,6000,162,145798965.00,151,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114827,,LTIM,,2026-02-24,2026-02-24,6100.00,CE,LTIM26FEB6100CE,100.05,104.00,74.30,95.50,94.95,148.80,5843.95,95.50,17250,900,202,187509315.00,164,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114412,,LTIM,,2026-01-27,2026-01-27,7200.00,CE,LTIM26JAN7200CE,0.60,0.60,0.60,0.60,0.60,0.95,5843.95,0.05,7950,0,1,1080090.00,1,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114736,,LTIM,,2026-01-27,2026-01-27,6950.00,CE,LTIM26JAN6950CE,1.60,1.65,1.60,1.65,1.65,1.70,5843.95,0.05,4800,150,4,4170982.50,4,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132866,,LTIM,,2026-03-30,2026-03-30,7200.00,PE,LTIM26MAR7200PE,0.00,0.00,0.00,1102.15,0.00,1102.15,5843.95,1296.60,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132830,,LTIM,,2026-03-30,2026-03-30,6700.00,PE,LTIM26MAR6700PE,0.00,0.00,0.00,707.15,0.00,707.15,5843.95,839.60,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132812,,LTIM,,2026-03-30,2026-03-30,5800.00,PE,LTIM26MAR5800PE,0.00,0.00,0.00,209.40,0.00,209.40,5843.95,221.80,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132806,,LTIM,,2026-03-30,2026-03-30,5500.00,PE,LTIM26MAR5500PE,0.00,0.00,0.00,117.25,0.00,117.25,5843.95,110.10,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132802,,LTIM,,2026-03-30,2026-03-30,5300.00,PE,LTIM26MAR5300PE,0.00,0.00,0.00,74.55,0.00,74.55,5843.95,62.35,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114877,,LTIM,,2026-02-24,2026-02-24,6700.00,PE,LTIM26FEB6700PE,0.00,0.00,0.00,436.00,436.00,436.00,5843.95,834.10,1050,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114830,,LTIM,,2026-02-24,2026-02-24,6200.00,PE,LTIM26FEB6200PE,400.00,454.65,400.00,413.65,413.65,312.30,5843.95,401.10,3750,-1650,15,14934442.50,13,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114354,,LTIM,,2026-01-27,2026-01-27,5200.00,PE,LTIM26JAN5200PE,4.80,4.80,1.55,1.60,1.55,2.50,5843.95,1.60,6450,2400,92,71793622.50,81,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,114342,,LTIM,,2026-01-27,2026-01-27,5000.00,PE,LTIM26JAN5000PE,1.30,7.80,1.00,1.20,1.10,1.75,5843.95,1.20,10500,-3900,349,261847867.50,253,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132829,,LTIM,,2026-03-30,2026-03-30,6700.00,CE,LTIM26MAR6700CE,0.00,0.00,0.00,180.35,0.00,180.35,5843.95,51.85,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132807,,LTIM,,2026-03-30,2026-03-30,5600.00,CE,LTIM26MAR5600CE,0.00,0.00,0.00,701.05,0.00,701.05,5843.95,442.75,0,0,0,0.00,0,F1,150,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,132680,,LTIM,,2026-02-24,2026-02-24,6650.00,CE,LTIM26FEB6650CE,0.00,0.00,0.00,130.00,130.00,130.00,5843.95,15.05,1200,0,0,0.00,0,F1,150,,,,,
