TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-21,2026-01-21,FO,NSE,STO,160201,,SUZLON,,2026-03-30,2026-03-30,64.00,PE,SUZLON26MAR64PE,0.00,0.00,0.00,12.55,0.00,12.55,45.53,17.90,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150905,,SUZLON,,2026-01-27,2026-01-27,60.00,PE,SUZLON26JAN60PE,13.62,14.47,13.45,14.38,14.30,13.58,45.53,14.38,4214675,-207575,32,21335551.25,26,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150907,,SUZLON,,2026-01-27,2026-01-27,62.00,PE,SUZLON26JAN62PE,16.30,16.50,15.95,16.23,16.15,12.77,45.53,16.23,279775,18050,6,4234530.00,4,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,138876,,SUZLON,,2026-01-27,2026-01-27,45.00,CE,SUZLON26JAN45CE,1.68,1.91,1.12,1.19,1.29,1.67,45.53,1.19,1777925,1155200,981,410768452.75,736,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150904,,SUZLON,,2026-01-27,2026-01-27,60.00,CE,SUZLON26JAN60CE,0.02,0.02,0.01,0.01,0.02,0.02,45.53,0.01,27399900,-1137150,1157,626718562.50,322,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150912,,SUZLON,,2026-01-27,2026-01-27,68.00,CE,SUZLON26JAN68CE,0.01,0.01,0.01,0.01,0.01,0.02,45.53,0.01,3718300,-135375,24,14730966.00,8,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160150,,SUZLON,,2026-02-24,2026-02-24,53.00,CE,SUZLON26FEB53CE,0.69,0.69,0.52,0.56,0.56,0.59,45.53,0.56,1164225,-180500,155,74928889.25,108,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160192,,SUZLON,,2026-03-30,2026-03-30,56.00,CE,SUZLON26MAR56CE,0.00,0.00,0.00,3.51,0.00,3.51,45.53,0.49,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160179,,SUZLON,,2026-03-30,2026-03-30,42.00,PE,SUZLON26MAR42PE,0.00,0.00,0.00,0.92,0.00,0.92,45.53,1.34,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160157,,SUZLON,,2026-02-24,2026-02-24,59.00,PE,SUZLON26FEB59PE,12.90,12.90,12.90,12.90,12.90,8.82,45.53,13.20,27075,0,1,648897.50,1,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160155,,SUZLON,,2026-02-24,2026-02-24,57.00,PE,SUZLON26FEB57PE,10.58,10.74,10.58,10.74,10.74,9.60,45.53,11.25,72200,54150,6,3662706.00,6,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,139101,,SUZLON,,2026-02-24,2026-02-24,38.00,PE,SUZLON26FEB38PE,0.31,0.31,0.31,0.31,0.31,0.30,45.53,0.12,9025,9025,1,345747.75,1,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150909,,SUZLON,,2026-01-27,2026-01-27,64.00,PE,SUZLON26JAN64PE,17.64,18.44,17.59,18.44,18.44,16.75,45.53,18.44,712975,18050,7,5173400.75,7,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150891,,SUZLON,,2026-01-27,2026-01-27,46.00,PE,SUZLON26JAN46PE,0.65,1.12,0.46,1.03,0.93,0.63,45.53,1.03,2770675,-712975,2686,1133679346.00,2341,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150895,,SUZLON,,2026-01-27,2026-01-27,50.00,PE,SUZLON26JAN50PE,3.50,4.50,3.40,4.46,4.40,3.66,45.53,4.46,3357300,-712975,165,80347770.00,137,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160182,,SUZLON,,2026-03-30,2026-03-30,46.00,CE,SUZLON26MAR46CE,0.00,0.00,0.00,8.59,0.00,8.59,45.53,3.03,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,138890,,SUZLON,,2026-01-27,2026-01-27,59.00,CE,SUZLON26JAN59CE,0.02,0.03,0.01,0.01,0.01,0.02,45.53,0.01,2761650,54150,84,44743062.00,43,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150884,,SUZLON,,2026-01-27,2026-01-27,40.00,CE,SUZLON26JAN40CE,0.00,0.00,0.00,17.25,0.00,17.25,45.53,5.57,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160185,,SUZLON,,2026-03-30,2026-03-30,48.00,PE,SUZLON26MAR48PE,0.00,0.00,0.00,2.60,0.00,2.60,45.53,4.19,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,138879,,SUZLON,,2026-01-27,2026-01-27,47.00,PE,SUZLON26JAN47PE,1.32,1.80,0.91,1.70,1.62,1.07,45.53,1.70,4350050,-234650,1122,489045346.25,1028,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,138891,,SUZLON,,2026-01-27,2026-01-27,59.00,PE,SUZLON26JAN59PE,12.96,12.96,12.96,12.96,12.96,10.93,45.53,13.42,216600,-9025,1,649439.00,1,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150897,,SUZLON,,2026-01-27,2026-01-27,52.00,PE,SUZLON26JAN52PE,5.43,6.52,5.43,6.41,6.33,5.63,45.53,6.41,5297675,-433200,104,54478871.00,71,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150885,,SUZLON,,2026-01-27,2026-01-27,40.00,PE,SUZLON26JAN40PE,0.04,0.05,0.01,0.02,0.02,0.03,45.53,0.02,523450,460275,106,38298490.00,86,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160145,,SUZLON,,2026-02-24,2026-02-24,47.00,PE,SUZLON26FEB47PE,2.37,2.99,2.18,2.91,2.90,2.37,45.53,2.91,974700,234650,62,27711623.50,60,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,139123,,SUZLON,,2026-02-24,2026-02-24,58.00,PE,SUZLON26FEB58PE,11.93,12.20,11.65,12.20,12.20,10.35,45.53,12.20,45125,27075,5,3152974.00,3,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160191,,SUZLON,,2026-03-30,2026-03-30,54.00,PE,SUZLON26MAR54PE,0.00,0.00,0.00,5.47,0.00,5.47,45.53,8.66,0,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,138878,,SUZLON,,2026-01-27,2026-01-27,47.00,CE,SUZLON26JAN47CE,0.59,0.70,0.32,0.37,0.41,0.56,45.53,0.37,4476400,1001775,3499,1499352671.50,2586,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150896,,SUZLON,,2026-01-27,2026-01-27,52.00,CE,SUZLON26JAN52CE,0.06,0.07,0.03,0.03,0.03,0.05,45.53,0.03,12598900,-153425,465,218401480.25,172,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,139106,,SUZLON,,2026-02-24,2026-02-24,42.00,CE,SUZLON26FEB42CE,0.00,0.00,0.00,7.87,7.87,7.87,45.53,4.45,27075,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160154,,SUZLON,,2026-02-24,2026-02-24,57.00,CE,SUZLON26FEB57CE,0.28,0.28,0.17,0.17,0.17,0.27,45.53,0.17,667850,0,22,11362384.75,20,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,160194,,SUZLON,,2026-03-30,2026-03-30,58.00,CE,SUZLON26MAR58CE,0.00,0.00,0.00,0.93,0.93,0.93,45.53,0.32,90250,0,0,0.00,0,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,138885,,SUZLON,,2026-01-27,2026-01-27,53.00,PE,SUZLON26JAN53PE,6.48,7.45,6.48,7.36,7.22,6.63,45.53,7.36,4720075,-216600,60,32461120.00,46,F1,9025,,,,,
2026-01-21,2026-01-21,FO,NSE,STO,150906,,SUZLON,,2026-01-27,2026-01-27,62.00,CE,SUZLON26JAN62CE,0.02,0.02,0.01,0.02,0.02,0.01,45.53,0.02,3573900,-63175,18,10074697.75,9,F1,9025,,,,,
