TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,FO,NSE,STO,78124,,BANKBARODA,,2026-02-24,2026-02-24,300.00,PE,BANKBARODA26FEB300PE,8.25,14.50,8.25,13.45,14.00,7.40,296.15,13.45,6028425,3776175,2644,2410689791.25,2332,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78128,,BANKBARODA,,2026-02-24,2026-02-24,310.00,PE,BANKBARODA26FEB310PE,13.00,20.35,13.00,18.75,20.00,12.25,296.15,18.75,1523925,163800,273,260478855.00,195,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75903,,BANKBARODA,,2026-02-24,2026-02-24,312.50,PE,BANKBARODA26FEB312.5PE,0.00,0.00,0.00,13.10,13.10,13.10,296.15,19.05,5850,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69067,,BANKBARODA,,2026-01-27,2026-01-27,275.00,CE,BANKBARODA26JAN275CE,27.00,27.00,25.45,25.45,25.45,24.20,296.15,21.35,38025,-5850,3,2641860.00,3,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69101,,BANKBARODA,,2026-01-27,2026-01-27,295.00,CE,BANKBARODA26JAN295CE,9.30,9.30,1.35,2.10,1.80,11.35,296.15,2.10,1716975,362700,480,419321857.50,429,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78101,,BANKBARODA,,2026-02-24,2026-02-24,255.00,CE,BANKBARODA26FEB255CE,49.00,49.00,49.00,49.00,49.00,48.00,296.15,42.65,5850,2925,1,889200.00,1,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75892,,BANKBARODA,,2026-02-24,2026-02-24,287.50,CE,BANKBARODA26FEB287.5CE,0.00,0.00,0.00,18.45,18.45,18.45,296.15,15.35,11700,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78241,,BANKBARODA,,2026-02-24,2026-02-24,345.00,CE,BANKBARODA26FEB345CE,1.45,1.55,1.20,1.20,1.20,4.70,296.15,0.35,178425,178425,78,79027942.50,68,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75986,,BANKBARODA,,2026-03-30,2026-03-30,275.00,CE,BANKBARODA26MAR275CE,0.00,0.00,0.00,37.35,37.35,37.35,296.15,28.50,29250,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76135,,BANKBARODA,,2026-03-30,2026-03-30,290.00,CE,BANKBARODA26MAR290CE,0.00,0.00,0.00,23.05,0.00,23.05,296.15,18.65,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69100,,BANKBARODA,,2026-01-27,2026-01-27,290.00,PE,BANKBARODA26JAN290PE,0.40,1.10,0.25,0.55,0.70,0.40,296.15,0.55,2743650,-400725,967,822199511.25,610,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69108,,BANKBARODA,,2026-01-27,2026-01-27,310.00,PE,BANKBARODA26JAN310PE,9.30,15.60,7.45,14.80,15.15,6.20,296.15,14.80,1131975,-579150,337,316719877.50,217,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78036,,BANKBARODA,,2026-01-27,2026-01-27,312.50,PE,BANKBARODA26JAN312.5PE,10.25,17.85,9.80,17.05,16.70,7.75,296.15,17.05,339300,-140400,89,85233915.00,68,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78040,,BANKBARODA,,2026-01-27,2026-01-27,322.50,PE,BANKBARODA26JAN322.5PE,0.00,0.00,0.00,17.65,17.65,17.65,296.15,26.15,105300,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75885,,BANKBARODA,,2026-02-24,2026-02-24,267.50,PE,BANKBARODA26FEB267.5PE,1.55,3.30,1.50,2.95,3.25,1.40,296.15,2.95,122850,61425,64,50443087.50,64,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75985,,BANKBARODA,,2026-03-30,2026-03-30,270.00,PE,BANKBARODA26MAR270PE,0.00,0.00,0.00,8.05,0.00,8.05,296.15,3.50,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76136,,BANKBARODA,,2026-03-30,2026-03-30,290.00,PE,BANKBARODA26MAR290PE,7.90,7.90,7.90,7.90,7.90,6.50,296.15,9.60,14625,-2925,1,871357.50,1,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76138,,BANKBARODA,,2026-03-30,2026-03-30,295.00,PE,BANKBARODA26MAR295PE,0.00,0.00,0.00,18.15,0.00,18.15,296.15,11.85,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76140,,BANKBARODA,,2026-03-30,2026-03-30,300.00,PE,BANKBARODA26MAR300PE,0.00,0.00,0.00,12.50,12.50,12.50,296.15,14.35,8775,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76192,,BANKBARODA,,2026-03-30,2026-03-30,340.00,PE,BANKBARODA26MAR340PE,0.00,0.00,0.00,48.15,0.00,48.15,296.15,43.10,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69060,,BANKBARODA,,2026-01-27,2026-01-27,260.00,CE,BANKBARODA26JAN260CE,36.00,36.00,35.90,35.90,35.90,46.50,296.15,35.90,55575,-5850,2,1731307.50,2,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78239,,BANKBARODA,,2026-02-24,2026-02-24,340.00,CE,BANKBARODA26FEB340CE,1.70,1.95,1.45,1.60,1.60,2.25,296.15,1.60,1983150,1307475,617,616605648.75,246,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76169,,BANKBARODA,,2026-03-30,2026-03-30,320.00,CE,BANKBARODA26MAR320CE,0.00,0.00,0.00,10.95,0.00,10.95,296.15,6.30,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,77934,,BANKBARODA,,2026-01-27,2026-01-27,262.50,PE,BANKBARODA26JAN262.5PE,0.00,0.00,0.00,0.40,0.40,0.40,296.15,0.05,90675,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,77938,,BANKBARODA,,2026-01-27,2026-01-27,272.50,PE,BANKBARODA26JAN272.5PE,0.05,0.15,0.05,0.15,0.10,0.10,296.15,0.15,160875,-49725,32,25513020.00,26,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78046,,BANKBARODA,,2026-01-27,2026-01-27,332.50,PE,BANKBARODA26JAN332.5PE,0.00,0.00,0.00,45.80,0.00,45.80,296.15,36.15,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69153,,BANKBARODA,,2026-01-27,2026-01-27,345.00,PE,BANKBARODA26JAN345PE,0.00,0.00,0.00,66.05,0.00,66.05,296.15,48.65,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69063,,BANKBARODA,,2026-01-27,2026-01-27,265.00,CE,BANKBARODA26JAN265CE,0.00,0.00,0.00,36.25,36.25,36.25,296.15,31.30,108225,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69107,,BANKBARODA,,2026-01-27,2026-01-27,310.00,CE,BANKBARODA26JAN310CE,2.50,2.50,0.05,0.15,0.10,1.90,296.15,0.15,6054750,-1096875,2686,2440420953.75,1970,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78039,,BANKBARODA,,2026-01-27,2026-01-27,322.50,CE,BANKBARODA26JAN322.5CE,0.20,0.20,0.05,0.05,0.05,0.25,296.15,0.05,915525,-99450,62,58501023.75,50,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78127,,BANKBARODA,,2026-02-24,2026-02-24,310.00,CE,BANKBARODA26FEB310CE,9.05,9.05,6.60,6.95,6.95,9.75,296.15,6.95,2135250,336375,1094,1015955606.25,849,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76143,,BANKBARODA,,2026-03-30,2026-03-30,310.00,CE,BANKBARODA26MAR310CE,12.25,12.25,12.05,12.05,12.05,14.50,296.15,9.40,17550,5850,2,1884577.50,2,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75908,,BANKBARODA,,2026-02-24,2026-02-24,327.50,CE,BANKBARODA26FEB327.5CE,3.50,3.60,2.80,3.00,2.85,4.10,296.15,3.00,90675,17550,43,41566882.50,31,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,38772,,BANKBARODA,,2026-01-27,2026-01-27,355.00,PE,BANKBARODA26JAN355PE,0.00,0.00,0.00,73.70,0.00,73.70,296.15,58.65,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78114,,BANKBARODA,,2026-02-24,2026-02-24,280.00,PE,BANKBARODA26FEB280PE,2.95,6.00,2.80,5.55,5.85,2.55,296.15,5.55,655200,90675,261,217179933.75,217,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75909,,BANKBARODA,,2026-02-24,2026-02-24,327.50,PE,BANKBARODA26FEB327.5PE,0.00,0.00,0.00,36.55,0.00,36.55,296.15,31.30,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75980,,BANKBARODA,,2026-03-30,2026-03-30,260.00,CE,BANKBARODA26MAR260CE,0.00,0.00,0.00,42.25,0.00,42.25,296.15,40.55,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78129,,BANKBARODA,,2026-02-24,2026-02-24,315.00,CE,BANKBARODA26FEB315CE,7.50,7.50,5.20,5.50,5.55,7.65,296.15,5.50,719550,29250,347,325668330.00,245,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STF,49307,,BANKBARODA,,2026-01-27,2026-01-27,,,BANKBARODA26JANFUT,306.60,306.60,294.20,295.70,296.00,305.65,296.15,295.70,12948975,-16652025,10244,8988304455.00,8743,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69056,,BANKBARODA,,2026-01-27,2026-01-27,250.00,CE,BANKBARODA26JAN250CE,52.40,52.95,47.00,47.00,47.00,56.20,296.15,46.30,73125,-11700,13,11473751.25,13,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69061,,BANKBARODA,,2026-01-27,2026-01-27,260.00,PE,BANKBARODA26JAN260PE,0.05,0.05,0.05,0.05,0.05,0.10,296.15,0.05,415350,-146250,61,46399421.25,36,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75904,,BANKBARODA,,2026-02-24,2026-02-24,317.50,CE,BANKBARODA26FEB317.5CE,5.65,6.10,4.75,5.00,4.90,5.00,296.15,5.00,43875,43875,39,36833940.00,34,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76191,,BANKBARODA,,2026-03-30,2026-03-30,340.00,CE,BANKBARODA26MAR340CE,0.00,0.00,0.00,6.20,0.00,6.20,296.15,2.60,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76122,,BANKBARODA,,2026-03-30,2026-03-30,280.00,CE,BANKBARODA26MAR280CE,0.00,0.00,0.00,31.05,31.05,31.05,296.15,24.95,29250,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78237,,BANKBARODA,,2026-02-24,2026-02-24,335.00,CE,BANKBARODA26FEB335CE,2.50,2.50,1.95,2.05,2.05,2.90,296.15,2.05,494325,152100,117,115403535.00,85,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,76188,,BANKBARODA,,2026-03-30,2026-03-30,330.00,PE,BANKBARODA26MAR330PE,0.00,0.00,0.00,40.40,0.00,40.40,296.15,34.70,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69137,,BANKBARODA,,2026-01-27,2026-01-27,315.00,PE,BANKBARODA26JAN315PE,13.70,20.30,12.00,20.30,20.30,10.15,296.15,20.30,617175,-8775,28,26940712.50,27,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69142,,BANKBARODA,,2026-01-27,2026-01-27,325.00,PE,BANKBARODA26JAN325PE,0.00,0.00,0.00,19.95,19.95,19.95,296.15,28.65,99450,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,77935,,BANKBARODA,,2026-01-27,2026-01-27,267.50,CE,BANKBARODA26JAN267.5CE,0.00,0.00,0.00,29.50,0.00,29.50,296.15,28.80,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,77951,,BANKBARODA,,2026-01-27,2026-01-27,292.50,CE,BANKBARODA26JAN292.5CE,11.30,11.30,3.15,3.90,3.20,13.95,296.15,3.90,190125,-2925,46,40316737.50,45,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69103,,BANKBARODA,,2026-01-27,2026-01-27,300.00,CE,BANKBARODA26JAN300CE,5.05,5.25,0.20,0.50,0.35,6.95,296.15,0.50,1994850,-716625,2954,2612303460.00,2270,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,38771,,BANKBARODA,,2026-01-27,2026-01-27,355.00,CE,BANKBARODA26JAN355CE,0.00,0.00,0.00,2.15,0.00,2.15,296.15,0.05,0,0,0,0.00,0,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,78113,,BANKBARODA,,2026-02-24,2026-02-24,280.00,CE,BANKBARODA26FEB280CE,26.50,27.95,22.50,23.00,23.00,30.50,296.15,23.00,260325,81900,39,34944828.75,28,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75902,,BANKBARODA,,2026-02-24,2026-02-24,312.50,CE,BANKBARODA26FEB312.5CE,7.40,7.70,6.05,6.35,6.05,8.60,296.15,6.35,459225,438750,201,188024850.00,119,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,75900,,BANKBARODA,,2026-02-24,2026-02-24,307.50,CE,BANKBARODA26FEB307.5CE,9.95,10.00,7.30,7.60,7.70,10.65,296.15,7.60,84825,23400,43,39753236.25,37,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69058,,BANKBARODA,,2026-01-27,2026-01-27,255.00,CE,BANKBARODA26JAN255CE,41.00,41.00,41.00,41.00,41.00,51.45,296.15,41.30,17550,-2925,1,865800.00,1,F1,2925,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,69059,,BANKBARODA,,2026-01-27,2026-01-27,255.00,PE,BANKBARODA26JAN255PE,0.00,0.00,0.00,0.10,0.10,0.10,296.15,0.05,93600,0,0,0.00,0,F1,2925,,,,,
