TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,FO,NSE,STO,90746,,DRREDDY,,2026-02-24,2026-02-24,1300.00,CE,DRREDDY26FEB1300CE,10.50,19.20,10.15,14.05,15.50,9.80,1235.60,14.05,382500,213125,2516,2069376687.50,1963,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93668,,DRREDDY,,2026-02-24,2026-02-24,1290.00,CE,DRREDDY26FEB1290CE,0.00,0.00,0.00,41.30,0.00,41.30,1235.60,11.95,0,0,0,0.00,0,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93658,,DRREDDY,,2026-02-24,2026-02-24,1230.00,CE,DRREDDY26FEB1230CE,37.50,51.20,37.50,41.20,43.65,32.10,1235.60,41.20,43125,30000,290,231089656.25,237,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93652,,DRREDDY,,2026-02-24,2026-02-24,1170.00,CE,DRREDDY26FEB1170CE,0.00,0.00,0.00,73.80,73.80,73.80,1235.60,77.35,3125,0,0,0.00,0,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,85731,,DRREDDY,,2026-01-27,2026-01-27,1460.00,PE,DRREDDY26JAN1460PE,0.00,0.00,0.00,288.95,288.95,288.95,1235.60,223.50,3125,0,0,0.00,0,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93650,,DRREDDY,,2026-02-24,2026-02-24,1150.00,CE,DRREDDY26FEB1150CE,98.80,113.20,98.80,113.20,113.20,87.20,1235.60,94.55,3750,-625,12,9406156.25,12,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,90703,,DRREDDY,,2026-02-24,2026-02-24,1140.00,PE,DRREDDY26FEB1140PE,6.85,7.35,5.65,6.85,6.65,9.10,1235.60,6.85,51875,3125,60,42995906.25,51,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93848,,DRREDDY,,2026-02-24,2026-02-24,1350.00,CE,DRREDDY26FEB1350CE,5.35,8.25,5.35,6.25,6.75,4.35,1235.60,6.25,113125,63750,612,518958218.75,385,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93640,,DRREDDY,,2026-02-24,2026-02-24,1050.00,CE,DRREDDY26FEB1050CE,0.00,0.00,0.00,226.20,0.00,226.20,1235.60,190.70,0,0,0,0.00,0,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,90785,,DRREDDY,,2026-02-24,2026-02-24,1380.00,CE,DRREDDY26FEB1380CE,4.75,5.20,3.65,4.00,4.10,2.20,1235.60,4.00,25000,5000,71,61438593.75,58,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,90791,,DRREDDY,,2026-02-24,2026-02-24,1420.00,CE,DRREDDY26FEB1420CE,0.00,0.00,0.00,2.00,2.00,2.00,1235.60,0.35,7500,0,0,0.00,0,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,94125,,DRREDDY,,2026-03-30,2026-03-30,1180.00,CE,DRREDDY26MAR1180CE,0.00,0.00,0.00,122.95,0.00,122.95,1235.60,83.35,0,0,0,0.00,0,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,90470,,DRREDDY,,2026-01-27,2026-01-27,1150.00,PE,DRREDDY26JAN1150PE,1.10,1.10,0.10,0.30,0.30,1.05,1235.60,0.30,238750,-120625,662,475947156.25,465,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,85701,,DRREDDY,,2026-01-27,2026-01-27,1160.00,PE,DRREDDY26JAN1160PE,0.70,1.00,0.05,0.25,0.15,1.55,1235.60,0.25,224375,-265000,1359,985593718.75,885,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,85705,,DRREDDY,,2026-01-27,2026-01-27,1200.00,PE,DRREDDY26JAN1200PE,3.95,4.00,0.60,0.75,0.70,5.95,1235.60,0.75,577500,-1250,4100,3079203406.25,2783,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,85721,,DRREDDY,,2026-01-27,2026-01-27,1360.00,PE,DRREDDY26JAN1360PE,114.30,114.30,114.30,114.30,114.30,137.40,1235.60,123.60,4375,0,1,921437.50,1,F1,625,,,,,
2026-01-23,2026-01-23,FO,NSE,STO,93641,,DRREDDY,,2026-02-24,2026-02-24,1050.00,PE,DRREDDY26FEB1050PE,2.45,2.45,1.75,1.85,1.85,2.45,1235.60,1.85,21875,4375,31,20381000.00,27,F1,625,,,,,
