TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-27,2026-01-27,FO,NSE,STO,82172,,BSE,,2026-01-27,2026-01-27,2450.00,CE,BSE26JAN2450CE,301.00,301.00,301.00,301.00,301.00,236.35,2761.20,2761.20,375,0,1,1031625.00,1,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82464,,BSE,,2026-03-30,2026-03-30,3100.00,PE,BSE26MAR3100PE,0.00,0.00,0.00,620.70,0.00,620.70,2761.20,424.90,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82206,,BSE,,2026-01-27,2026-01-27,2850.00,CE,BSE26JAN2850CE,1.20,1.20,0.05,0.10,0.05,1.25,2761.20,2761.20,418500,-269625,2049,2190215212.50,1475,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82448,,BSE,,2026-03-30,2026-03-30,2600.00,PE,BSE26MAR2600PE,110.00,110.00,94.10,94.10,94.10,123.00,2761.20,94.10,1125,750,2,2026537.50,2,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82363,,BSE,,2026-02-24,2026-02-24,3200.00,PE,BSE26FEB3200PE,448.00,455.00,443.40,443.40,443.40,510.60,2761.20,457.10,14250,2250,6,8211900.00,6,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STF,49327,,BSE,,2026-01-27,2026-01-27,,,BSE26JANFUT,2560.00,2780.00,2560.00,2760.50,2767.40,2684.90,2761.20,2761.20,655500,-2320875,13036,13363227750.00,10657,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82205,,BSE,,2026-01-27,2026-01-27,2750.00,PE,BSE26JAN2750PE,79.00,99.40,0.05,1.30,0.05,70.75,2761.20,2761.20,45000,-79125,1317,1364418843.75,1130,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82230,,BSE,,2026-01-27,2026-01-27,3050.00,PE,BSE26JAN3050PE,0.00,0.00,0.00,356.00,356.00,356.00,2761.20,2761.20,5250,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82329,,BSE,,2026-02-24,2026-02-24,2750.00,PE,BSE26FEB2750PE,175.00,177.35,113.45,118.70,117.25,164.40,2761.20,118.70,82875,47625,687,742276518.75,644,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82333,,BSE,,2026-02-24,2026-02-24,2500.00,CE,BSE26FEB2500CE,243.00,333.00,243.00,331.50,330.10,255.40,2761.20,331.50,198750,55500,241,254055318.75,111,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82317,,BSE,,2026-02-24,2026-02-24,2300.00,CE,BSE26FEB2300CE,482.00,482.00,482.00,482.00,482.00,544.00,2761.20,485.00,1125,375,1,1043250.00,1,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82208,,BSE,,2026-01-27,2026-01-27,2950.00,CE,BSE26JAN2950CE,0.15,0.60,0.05,0.05,0.05,0.55,2761.20,2761.20,190500,-79875,596,659378400.00,401,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75037,,BSE,,2026-01-27,2026-01-27,3100.00,PE,BSE26JAN3100PE,423.60,423.60,352.35,352.35,352.35,400.00,2761.20,2761.20,4500,-1875,7,9161887.50,7,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82354,,BSE,,2026-02-24,2026-02-24,2800.00,PE,BSE26FEB2800PE,197.35,205.30,137.00,145.15,137.00,193.95,2761.20,145.15,180750,20250,360,399813806.25,334,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82356,,BSE,,2026-02-24,2026-02-24,2900.00,CE,BSE26FEB2900CE,62.50,90.00,52.80,86.60,86.10,62.50,2761.20,86.60,318375,44250,2075,2316906450.00,1855,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82319,,BSE,,2026-02-24,2026-02-24,2400.00,CE,BSE26FEB2400CE,0.00,0.00,0.00,330.00,330.00,330.00,2761.20,398.40,4875,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82347,,BSE,,2026-02-24,2026-02-24,2700.00,CE,BSE26FEB2700CE,132.00,187.00,119.00,180.85,183.50,134.15,2761.20,180.85,232125,-13500,2737,2933518012.50,2442,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82445,,BSE,,2026-03-30,2026-03-30,2500.00,CE,BSE26MAR2500CE,0.00,0.00,0.00,340.00,340.00,340.00,2761.20,385.85,375,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82449,,BSE,,2026-03-30,2026-03-30,2700.00,CE,BSE26MAR2700CE,0.00,0.00,0.00,193.00,193.00,193.00,2761.20,268.35,750,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STF,51835,,BSE,,2026-03-30,2026-03-30,,,BSE26MARFUT,2713.70,2808.70,2685.70,2793.60,2808.00,2710.90,2761.20,2793.60,292500,47250,565,586517287.50,463,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75010,,BSE,,2026-01-27,2026-01-27,2400.00,CE,BSE26JAN2400CE,274.90,354.40,266.60,334.80,334.80,287.70,2761.20,2761.20,22875,-11625,80,82031475.00,55,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82447,,BSE,,2026-03-30,2026-03-30,2600.00,CE,BSE26MAR2600CE,0.00,0.00,0.00,313.25,0.00,313.25,2761.20,323.50,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82474,,BSE,,2026-03-30,2026-03-30,3200.00,PE,BSE26MAR3200PE,0.00,0.00,0.00,515.00,515.00,515.00,2761.20,499.90,750,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82440,,BSE,,2026-03-30,2026-03-30,2200.00,PE,BSE26MAR2200PE,0.00,0.00,0.00,66.00,66.00,66.00,2761.20,31.20,375,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82359,,BSE,,2026-02-24,2026-02-24,3000.00,PE,BSE26FEB3000PE,315.00,322.00,279.20,279.45,279.45,326.00,2761.20,296.35,52500,11250,45,55567687.50,34,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82226,,BSE,,2026-01-27,2026-01-27,2950.00,PE,BSE26JAN2950PE,280.80,297.05,193.75,210.00,210.00,260.35,2761.20,2761.20,60750,-750,25,29870681.25,22,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82325,,BSE,,2026-02-24,2026-02-24,2550.00,PE,BSE26FEB2550PE,74.35,82.00,50.55,54.05,56.00,74.35,2761.20,54.05,30375,13500,481,470903175.00,451,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,74991,,BSE,,2026-01-27,2026-01-27,2000.00,PE,BSE26JAN2000PE,0.25,0.40,0.05,0.05,0.05,0.40,2761.20,2761.20,48000,-33375,130,97506037.50,59,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82473,,BSE,,2026-03-30,2026-03-30,3200.00,CE,BSE26MAR3200CE,0.00,0.00,0.00,125.85,0.00,125.85,2761.20,90.85,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82353,,BSE,,2026-02-24,2026-02-24,2800.00,CE,BSE26FEB2800CE,93.05,131.70,80.00,126.60,128.40,92.45,2761.20,126.60,289125,17625,3217,3515587950.00,2931,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75036,,BSE,,2026-01-27,2026-01-27,3100.00,CE,BSE26JAN3100CE,0.20,0.75,0.05,0.05,0.05,0.45,2761.20,2761.20,166875,-286875,2112,2455447068.75,1160,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75020,,BSE,,2026-01-27,2026-01-27,2800.00,CE,BSE26JAN2800CE,1.20,3.75,0.05,0.10,0.05,1.80,2761.20,2761.20,298500,-371250,6908,7256562431.25,4472,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,74996,,BSE,,2026-01-27,2026-01-27,2300.00,CE,BSE26JAN2300CE,361.40,454.00,361.40,454.00,454.00,334.00,2761.20,2761.20,2250,0,3,3063112.50,3,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75009,,BSE,,2026-01-27,2026-01-27,2300.00,PE,BSE26JAN2300PE,0.25,0.25,0.05,0.05,0.05,0.45,2761.20,2761.20,52125,-14625,84,72452756.25,59,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75033,,BSE,,2026-01-27,2026-01-27,2900.00,PE,BSE26JAN2900PE,221.90,240.00,133.60,133.60,133.60,218.70,2761.20,2761.20,183000,-21000,88,101132025.00,79,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82169,,BSE,,2026-01-27,2026-01-27,2250.00,PE,BSE26JAN2250PE,0.40,0.40,0.05,0.10,0.10,0.20,2761.20,2761.20,14625,-5250,24,20251312.50,23,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82179,,BSE,,2026-01-27,2026-01-27,2450.00,PE,BSE26JAN2450PE,0.55,0.55,0.05,0.15,0.15,0.85,2761.20,2761.20,56625,-5250,169,155279812.50,117,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82320,,BSE,,2026-02-24,2026-02-24,2400.00,PE,BSE26FEB2400PE,40.05,42.00,25.60,28.40,26.05,36.00,2761.20,28.40,150000,6000,968,882321862.50,783,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82331,,BSE,,2026-02-24,2026-02-24,2850.00,PE,BSE26FEB2850PE,183.00,186.85,168.60,173.45,168.60,222.50,2761.20,173.45,34875,2625,31,35202187.50,30,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75016,,BSE,,2026-01-27,2026-01-27,2700.00,CE,BSE26JAN2700CE,10.05,80.00,3.25,55.30,80.00,15.70,2761.20,2761.20,196500,-193875,3586,3669926175.00,2645,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75012,,BSE,,2026-01-27,2026-01-27,2500.00,CE,BSE26JAN2500CE,171.00,282.75,163.85,273.90,282.75,174.70,2761.20,2761.20,85875,-7500,49,50142525.00,43,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82452,,BSE,,2026-03-30,2026-03-30,2800.00,PE,BSE26MAR2800PE,0.00,0.00,0.00,411.60,0.00,411.60,2761.20,233.05,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82400,,BSE,,2026-03-30,2026-03-30,2200.00,CE,BSE26MAR2200CE,0.00,0.00,0.00,533.70,0.00,533.70,2761.20,612.85,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82362,,BSE,,2026-02-24,2026-02-24,3200.00,CE,BSE26FEB3200CE,15.50,25.15,13.90,24.05,22.20,16.55,2761.20,24.05,577875,41250,1725,2084487225.00,1302,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82326,,BSE,,2026-02-24,2026-02-24,2650.00,CE,BSE26FEB2650CE,157.75,220.95,145.00,212.70,220.95,160.60,2761.20,212.70,32625,-6000,291,309946068.75,252,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82203,,BSE,,2026-01-27,2026-01-27,2650.00,PE,BSE26JAN2650PE,11.25,15.25,0.05,0.05,0.05,11.30,2761.20,2761.20,141375,-88875,2258,2246508450.00,1546,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82348,,BSE,,2026-02-24,2026-02-24,2700.00,PE,BSE26FEB2700PE,136.35,150.00,93.40,98.45,94.00,137.45,2761.20,98.45,320625,-7875,2415,2548575112.50,2169,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82361,,BSE,,2026-02-24,2026-02-24,3100.00,PE,BSE26FEB3100PE,375.00,375.00,350.00,350.00,350.00,431.00,2761.20,350.00,3000,0,6,7793250.00,6,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75019,,BSE,,2026-01-27,2026-01-27,2700.00,PE,BSE26JAN2700PE,35.55,50.00,0.05,0.05,0.05,31.30,2761.20,2761.20,271500,-68250,4764,4831844962.50,3288,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82357,,BSE,,2026-02-24,2026-02-24,2900.00,PE,BSE26FEB2900PE,279.00,280.00,199.40,200.15,200.95,258.85,2761.20,200.15,126375,5250,82,96058668.75,62,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82446,,BSE,,2026-03-30,2026-03-30,2500.00,PE,BSE26MAR2500PE,85.00,85.00,85.00,85.00,85.00,109.00,2761.20,101.40,1875,375,2,1938750.00,2,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82328,,BSE,,2026-02-24,2026-02-24,2750.00,CE,BSE26FEB2750CE,107.95,156.80,98.00,151.50,155.00,111.45,2761.20,151.50,184125,104250,3284,3562246050.00,2991,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82204,,BSE,,2026-01-27,2026-01-27,2750.00,CE,BSE26JAN2750CE,5.00,19.00,0.30,6.30,19.00,4.40,2761.20,2761.20,98250,-380625,6546,6768395606.25,5085,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82343,,BSE,,2026-02-24,2026-02-24,2600.00,CE,BSE26FEB2600CE,183.35,256.45,172.00,248.95,250.10,189.45,2761.20,248.95,104250,-375,398,420571200.00,278,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82332,,BSE,,2026-02-24,2026-02-24,2950.00,CE,BSE26FEB2950CE,51.50,73.50,42.50,70.50,70.40,51.75,2761.20,70.50,41250,3000,481,543802800.00,420,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82318,,BSE,,2026-02-24,2026-02-24,2300.00,PE,BSE26FEB2300PE,22.30,25.65,17.30,18.35,17.30,22.35,2761.20,18.35,191250,35625,495,430562568.75,386,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75013,,BSE,,2026-01-27,2026-01-27,2500.00,PE,BSE26JAN2500PE,0.25,0.75,0.05,0.05,0.05,1.10,2761.20,2761.20,246000,-44625,662,620663981.25,389,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82442,,BSE,,2026-03-30,2026-03-30,2300.00,PE,BSE26MAR2300PE,0.00,0.00,0.00,155.25,0.00,155.25,2761.20,48.45,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82443,,BSE,,2026-03-30,2026-03-30,2400.00,CE,BSE26MAR2400CE,0.00,0.00,0.00,412.55,0.00,412.55,2761.20,455.15,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82170,,BSE,,2026-01-27,2026-01-27,2350.00,CE,BSE26JAN2350CE,0.00,0.00,0.00,340.90,340.90,340.90,2761.20,2761.20,750,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75011,,BSE,,2026-01-27,2026-01-27,2400.00,PE,BSE26JAN2400PE,0.30,0.45,0.05,0.05,0.05,0.45,2761.20,2761.20,169125,-40500,328,295218187.50,215,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82453,,BSE,,2026-03-30,2026-03-30,2900.00,CE,BSE26MAR2900CE,0.00,0.00,0.00,201.25,0.00,201.25,2761.20,179.05,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82360,,BSE,,2026-02-24,2026-02-24,3100.00,CE,BSE26FEB3100CE,25.55,38.55,21.00,36.55,36.00,25.65,2761.20,36.55,258000,59250,1111,1305765318.75,901,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82358,,BSE,,2026-02-24,2026-02-24,3000.00,CE,BSE26FEB3000CE,39.90,59.85,33.80,57.00,57.60,40.45,2761.20,57.00,366000,68625,2632,3012761793.75,2235,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82323,,BSE,,2026-02-24,2026-02-24,2450.00,PE,BSE26FEB2450PE,0.00,0.00,0.00,164.55,0.00,164.55,2761.20,36.25,0,0,0,0.00,0,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82282,,BSE,,2026-02-24,2026-02-24,2200.00,PE,BSE26FEB2200PE,12.00,16.95,11.65,13.55,12.35,14.25,2761.20,13.55,221625,82875,373,309660731.25,247,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,82324,,BSE,,2026-02-24,2026-02-24,2550.00,CE,BSE26FEB2550CE,275.00,276.85,275.00,275.95,276.85,235.00,2761.20,275.95,1500,375,2,2119443.75,2,F1,375,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,75039,,BSE,,2026-01-27,2026-01-27,3200.00,PE,BSE26JAN3200PE,526.20,530.00,446.65,454.95,454.95,519.45,2761.20,2761.20,40125,-750,22,30359268.75,19,F1,375,,,,,
