TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-27,2026-01-27,FO,NSE,STO,100932,,HUDCO,,2026-02-24,2026-02-24,255.00,PE,HUDCO26FEB255PE,59.90,59.90,59.90,59.90,59.90,50.60,198.15,55.92,11100,2775,1,873847.50,1,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,108045,,HUDCO,,2026-02-24,2026-02-24,237.50,PE,HUDCO26FEB237.5PE,0.00,0.00,0.00,24.15,0.00,24.15,198.15,39.01,0,0,0,0.00,0,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,100813,,HUDCO,,2026-02-24,2026-02-24,170.00,PE,HUDCO26FEB170PE,2.40,2.49,1.73,1.80,1.75,2.54,198.15,1.80,183150,183150,124,59225465.25,90,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,100715,,HUDCO,,2026-01-27,2026-01-27,252.50,PE,HUDCO26JAN252.5PE,0.00,0.00,0.00,47.18,47.18,47.18,198.15,198.15,0,0,0,0.00,0,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,108373,,HUDCO,,2026-03-30,2026-03-30,170.00,PE,HUDCO26MAR170PE,0.00,0.00,0.00,2.87,0.00,2.87,198.15,2.84,0,0,0,0.00,0,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,100716,,HUDCO,,2026-01-27,2026-01-27,257.50,CE,HUDCO26JAN257.5CE,0.03,0.03,0.01,0.01,0.01,0.35,198.15,198.15,83250,-2775,2,1429236.00,2,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,108032,,HUDCO,,2026-02-24,2026-02-24,207.50,CE,HUDCO26FEB207.5CE,6.40,7.10,5.16,6.58,6.83,6.39,198.15,6.58,86025,-19425,48,28484764.50,38,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,108040,,HUDCO,,2026-02-24,2026-02-24,227.50,CE,HUDCO26FEB227.5CE,0.00,0.00,0.00,16.85,0.00,16.85,198.15,1.46,0,0,0,0.00,0,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,100909,,HUDCO,,2026-02-24,2026-02-24,240.00,CE,HUDCO26FEB240CE,1.50,1.50,0.90,1.02,1.13,1.32,198.15,1.02,296925,16650,43,28772948.25,42,F1,2775,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,108254,,HUDCO,,2026-03-30,2026-03-30,170.00,CE,HUDCO26MAR170CE,0.00,0.00,0.00,59.38,0.00,59.38,198.15,32.57,0,0,0,0.00,0,F1,2775,,,,,
