TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-27,2026-01-27,FO,NSE,STO,110766,,IDFCFIRSTB,,2026-03-30,2026-03-30,68.00,CE,IDFCFIRSTB26MAR68CE,0.00,0.00,0.00,18.22,0.00,18.22,83.50,16.21,0,0,0,0.00,0,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,110809,,IDFCFIRSTB,,2026-03-30,2026-03-30,90.00,PE,IDFCFIRSTB26MAR90PE,0.00,0.00,0.00,9.00,9.00,9.00,83.50,7.25,18550,0,0,0.00,0,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,110685,,IDFCFIRSTB,,2026-02-24,2026-02-24,93.00,CE,IDFCFIRSTB26FEB93CE,0.44,0.59,0.39,0.54,0.59,0.51,83.50,0.54,1511825,268975,111,96231371.25,88,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,102905,,IDFCFIRSTB,,2026-01-27,2026-01-27,75.00,CE,IDFCFIRSTB26JAN75CE,7.06,7.10,6.99,6.99,6.99,8.29,83.50,83.50,1113000,-9275,5,3805625.25,4,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,102999,,IDFCFIRSTB,,2026-02-24,2026-02-24,98.00,CE,IDFCFIRSTB26FEB98CE,0.20,0.20,0.14,0.17,0.18,0.20,83.50,0.17,3830575,2513525,538,489830650.75,226,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,110849,,IDFCFIRSTB,,2026-03-30,2026-03-30,100.00,CE,IDFCFIRSTB26MAR100CE,0.00,0.00,0.00,1.39,0.00,1.39,83.50,0.25,0,0,0,0.00,0,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,99685,,IDFCFIRSTB,,2026-01-27,2026-01-27,82.00,PE,IDFCFIRSTB26JAN82PE,0.37,0.62,0.01,0.04,0.03,0.37,83.50,83.50,612150,-1892100,639,487808422.50,468,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,99693,,IDFCFIRSTB,,2026-01-27,2026-01-27,86.00,PE,IDFCFIRSTB26JAN86PE,3.78,4.34,2.30,2.63,2.30,2.99,83.50,83.50,1131550,-1270675,212,176778346.50,170,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,99697,,IDFCFIRSTB,,2026-01-27,2026-01-27,90.00,PE,IDFCFIRSTB26JAN90PE,7.93,8.41,6.72,7.81,7.81,7.12,83.50,83.50,1901375,-166950,54,49037574.25,47,F1,9275,,,,,
2026-01-27,2026-01-27,FO,NSE,STO,102978,,IDFCFIRSTB,,2026-02-24,2026-02-24,78.00,PE,IDFCFIRSTB26FEB78PE,1.36,1.59,1.19,1.24,1.24,1.31,83.50,1.24,2021950,204050,243,178979860.50,193,F1,9275,,,,,
