TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-29,2026-01-29,FO,NSE,STF,59338,,GODREJCP,,2026-02-24,2026-02-24,,,GODREJCP26FEBFUT,1173.80,1173.80,1142.00,1157.10,1157.00,1173.20,1155.30,1157.10,7862500,1500,2360,1362397050.00,2020,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100360,,GODREJCP,,2026-03-30,2026-03-30,1120.00,PE,GODREJCP26MAR1120PE,0.00,0.00,0.00,24.70,0.00,24.70,1155.30,24.80,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,99940,,GODREJCP,,2026-02-24,2026-02-24,1050.00,CE,GODREJCP26FEB1050CE,0.00,0.00,0.00,176.75,0.00,176.75,1155.30,111.20,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100044,,GODREJCP,,2026-02-24,2026-02-24,1190.00,CE,GODREJCP26FEB1190CE,17.00,19.80,16.10,18.90,19.00,26.65,1155.30,18.90,27000,1000,17,10269375.00,17,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,111633,,GODREJCP,,2026-04-28,2026-04-28,1300.00,PE,GODREJCP26APR1300PE,0.00,0.00,0.00,135.35,0.00,135.35,1155.30,142.20,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,111604,,GODREJCP,,2026-04-28,2026-04-28,1060.00,PE,GODREJCP26APR1060PE,0.00,0.00,0.00,18.20,0.00,18.20,1155.30,14.45,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100376,,GODREJCP,,2026-03-30,2026-03-30,1280.00,PE,GODREJCP26MAR1280PE,0.00,0.00,0.00,96.65,0.00,96.65,1155.30,123.65,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100125,,GODREJCP,,2026-02-24,2026-02-24,1270.00,PE,GODREJCP26FEB1270PE,0.00,0.00,0.00,100.00,100.00,100.00,1155.30,112.45,1500,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100047,,GODREJCP,,2026-02-24,2026-02-24,1210.00,PE,GODREJCP26FEB1210PE,0.00,0.00,0.00,47.05,0.00,47.05,1155.30,61.40,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100039,,GODREJCP,,2026-02-24,2026-02-24,1170.00,PE,GODREJCP26FEB1170PE,35.45,47.75,33.85,38.95,39.55,32.45,1155.30,38.95,64000,-6500,45,27238525.00,41,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100004,,GODREJCP,,2026-02-24,2026-02-24,1090.00,PE,GODREJCP26FEB1090PE,0.00,0.00,0.00,8.55,8.55,8.55,1155.30,6.30,2000,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100000,,GODREJCP,,2026-02-24,2026-02-24,1070.00,PE,GODREJCP26FEB1070PE,8.00,8.90,7.35,7.35,7.35,7.05,1155.30,3.50,1500,1500,5,2695550.00,5,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100377,,GODREJCP,,2026-03-30,2026-03-30,1300.00,CE,GODREJCP26MAR1300CE,0.00,0.00,0.00,41.05,0.00,41.05,1155.30,7.75,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,111359,,GODREJCP,,2026-03-30,2026-03-30,1190.00,CE,GODREJCP26MAR1190CE,0.00,0.00,0.00,53.40,0.00,53.40,1155.30,34.15,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100347,,GODREJCP,,2026-03-30,2026-03-30,1060.00,CE,GODREJCP26MAR1060CE,0.00,0.00,0.00,179.75,0.00,179.75,1155.30,114.05,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,94491,,GODREJCP,,2026-02-24,2026-02-24,1400.00,CE,GODREJCP26FEB1400CE,0.60,0.70,0.50,0.60,0.60,0.80,1155.30,0.60,33500,18500,50,35014875.00,23,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100124,,GODREJCP,,2026-02-24,2026-02-24,1270.00,CE,GODREJCP26FEB1270CE,3.90,4.30,3.45,4.10,4.00,5.20,1155.30,4.10,7000,-3000,14,8918200.00,13,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100122,,GODREJCP,,2026-02-24,2026-02-24,1260.00,CE,GODREJCP26FEB1260CE,5.85,5.85,4.20,5.05,4.95,7.30,1155.30,5.05,67500,-5500,119,75262850.00,99,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100114,,GODREJCP,,2026-02-24,2026-02-24,1230.00,CE,GODREJCP26FEB1230CE,9.25,9.75,9.00,9.20,9.20,10.70,1155.30,7.35,10000,1500,9,5576625.00,9,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100092,,GODREJCP,,2026-02-24,2026-02-24,1220.00,CE,GODREJCP26FEB1220CE,14.15,14.15,9.00,11.20,11.20,15.90,1155.30,11.20,106000,38500,211,129805850.00,106,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,111356,,GODREJCP,,2026-03-30,2026-03-30,1150.00,PE,GODREJCP26MAR1150PE,0.00,0.00,0.00,38.20,0.00,38.20,1155.30,37.00,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100389,,GODREJCP,,2026-03-30,2026-03-30,1360.00,CE,GODREJCP26MAR1360CE,0.00,0.00,0.00,25.30,0.00,25.30,1155.30,2.90,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,111364,,GODREJCP,,2026-03-30,2026-03-30,1210.00,PE,GODREJCP26MAR1210PE,0.00,0.00,0.00,68.15,0.00,68.15,1155.30,70.75,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100388,,GODREJCP,,2026-03-30,2026-03-30,1340.00,PE,GODREJCP26MAR1340PE,0.00,0.00,0.00,137.80,0.00,137.80,1155.30,176.70,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,111611,,GODREJCP,,2026-04-28,2026-04-28,1100.00,PE,GODREJCP26APR1100PE,0.00,0.00,0.00,28.70,0.00,28.70,1155.30,25.00,0,0,0,0.00,0,F1,500,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,100043,,GODREJCP,,2026-02-24,2026-02-24,1180.00,PE,GODREJCP26FEB1180PE,49.95,54.05,43.35,44.35,44.35,37.65,1155.30,44.35,60000,-7500,20,12297800.00,20,F1,500,,,,,
