TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-29,2026-01-29,FO,NSE,STO,103813,,INDIANB,,2026-02-24,2026-02-24,800.00,PE,INDIANB26FEB800PE,3.80,3.90,3.05,3.35,3.40,4.20,909.50,3.35,213000,14000,97,77943450.00,69,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,124667,,INDIANB,,2026-04-28,2026-04-28,760.00,CE,INDIANB26APR760CE,0.00,0.00,0.00,145.55,0.00,145.55,909.50,166.50,0,0,0,0.00,0,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,113633,,INDIANB,,2026-03-30,2026-03-30,900.00,CE,INDIANB26MAR900CE,47.95,47.95,47.95,47.95,47.95,31.10,909.50,55.65,1000,1000,1,947950.00,1,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,124478,,INDIANB,,2026-03-30,2026-03-30,850.00,CE,INDIANB26MAR850CE,0.00,0.00,0.00,73.05,0.00,73.05,909.50,86.35,0,0,0,0.00,0,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,103843,,INDIANB,,2026-02-24,2026-02-24,960.00,CE,INDIANB26FEB960CE,12.60,17.55,12.00,14.70,15.10,11.80,909.50,14.70,131000,17000,211,205728050.00,202,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,103854,,INDIANB,,2026-02-24,2026-02-24,1020.00,PE,INDIANB26FEB1020PE,0.00,0.00,0.00,137.00,137.00,137.00,909.50,110.20,5000,0,0,0.00,0,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,124674,,INDIANB,,2026-04-28,2026-04-28,820.00,PE,INDIANB26APR820PE,0.00,0.00,0.00,34.65,0.00,34.65,909.50,17.80,0,0,0,0.00,0,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,113651,,INDIANB,,2026-03-30,2026-03-30,980.00,PE,INDIANB26MAR980PE,0.00,0.00,0.00,171.30,0.00,171.30,909.50,85.30,0,0,0,0.00,0,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,113632,,INDIANB,,2026-03-30,2026-03-30,880.00,PE,INDIANB26MAR880PE,29.00,29.65,28.05,29.65,29.65,95.00,909.50,29.50,3000,3000,3,2726700.00,3,F1,1000,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,103838,,INDIANB,,2026-02-24,2026-02-24,900.00,PE,INDIANB26FEB900PE,28.00,30.65,24.65,26.65,25.95,31.60,909.50,26.65,184000,54000,364,337594350.00,288,F1,1000,,,,,
