TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-29,2026-01-29,FO,NSE,STO,171031,,TORNTPOWER,,2026-04-28,2026-04-28,1260.00,PE,TORNTPOWER26APR1260PE,0.00,0.00,0.00,69.75,0.00,69.75,1371.20,36.45,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,170952,,TORNTPOWER,,2026-03-30,2026-03-30,1430.00,CE,TORNTPOWER26MAR1430CE,0.00,0.00,0.00,45.80,0.00,45.80,1371.20,54.35,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,171046,,TORNTPOWER,,2026-04-28,2026-04-28,1420.00,CE,TORNTPOWER26APR1420CE,0.00,0.00,0.00,68.25,0.00,68.25,1371.20,76.75,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,171048,,TORNTPOWER,,2026-04-28,2026-04-28,1440.00,CE,TORNTPOWER26APR1440CE,0.00,0.00,0.00,61.90,0.00,61.90,1371.20,68.90,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,171056,,TORNTPOWER,,2026-04-28,2026-04-28,1520.00,CE,TORNTPOWER26APR1520CE,0.00,0.00,0.00,41.35,0.00,41.35,1371.20,43.45,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,146000,,TORNTPOWER,,2026-02-24,2026-02-24,1160.00,PE,TORNTPOWER26FEB1160PE,0.00,0.00,0.00,10.50,10.50,10.50,1371.20,1.15,2125,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,163957,,TORNTPOWER,,2026-02-24,2026-02-24,1250.00,PE,TORNTPOWER26FEB1250PE,0.00,0.00,0.00,21.00,21.00,21.00,1371.20,8.20,22525,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,163975,,TORNTPOWER,,2026-02-24,2026-02-24,1370.00,PE,TORNTPOWER26FEB1370PE,65.10,65.20,52.00,53.75,52.85,133.70,1371.20,53.75,5950,5950,44,26676017.50,32,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,164081,,TORNTPOWER,,2026-03-30,2026-03-30,1240.00,PE,TORNTPOWER26MAR1240PE,0.00,0.00,0.00,75.70,0.00,75.70,1371.20,20.65,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,164105,,TORNTPOWER,,2026-03-30,2026-03-30,1480.00,PE,TORNTPOWER26MAR1480PE,0.00,0.00,0.00,227.85,0.00,227.85,1371.20,133.45,0,0,0,0.00,0,F1,425,,,,,
2026-01-29,2026-01-29,FO,NSE,STO,171053,,TORNTPOWER,,2026-04-28,2026-04-28,1480.00,PE,TORNTPOWER26APR1480PE,0.00,0.00,0.00,198.35,0.00,198.35,1371.20,144.10,0,0,0,0.00,0,F1,425,,,,,
