TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-02,2026-02-02,FO,NSE,STO,62824,,AMBER,,2026-02-24,2026-02-24,4900.00,PE,AMBER26FEB4900PE,0.00,0.00,0.00,47.00,47.00,47.00,5998.95,5.20,200,0,0,0.00,0,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,72056,,AMBER,,2026-02-24,2026-02-24,5800.00,PE,AMBER26FEB5800PE,163.80,241.85,138.90,143.35,141.55,185.15,5998.95,143.35,25800,6200,480,288645450.00,429,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,72055,,AMBER,,2026-02-24,2026-02-24,5800.00,CE,AMBER26FEB5800CE,390.00,390.00,245.50,344.70,347.85,370.55,5998.95,344.70,28700,-1400,199,121020610.00,191,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,72148,,AMBER,,2026-02-24,2026-02-24,6600.00,PE,AMBER26FEB6600PE,0.00,0.00,0.00,899.00,899.00,899.00,5998.95,647.05,1500,0,0,0.00,0,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,79547,,AMBER,,2026-03-30,2026-03-30,5100.00,PE,AMBER26MAR5100PE,0.00,0.00,0.00,245.15,0.00,245.15,5998.95,72.55,0,0,0,0.00,0,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,63215,,AMBER,,2026-03-30,2026-03-30,6400.00,PE,AMBER26MAR6400PE,0.00,0.00,0.00,661.50,0.00,661.50,5998.95,606.25,0,0,0,0.00,0,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,63223,,AMBER,,2026-03-30,2026-03-30,7000.00,PE,AMBER26MAR7000PE,0.00,0.00,0.00,1033.30,0.00,1033.30,5998.95,1054.65,0,0,0,0.00,0,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,79780,,AMBER,,2026-04-28,2026-04-28,6000.00,PE,AMBER26APR6000PE,0.00,0.00,0.00,795.05,0.00,795.05,5998.95,450.20,0,0,0,0.00,0,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,63134,,AMBER,,2026-02-24,2026-02-24,7100.00,CE,AMBER26FEB7100CE,29.00,29.00,14.00,19.30,19.95,29.00,5998.95,19.30,1700,100,8,5694580.00,8,F1,100,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,79784,,AMBER,,2026-04-28,2026-04-28,6400.00,PE,AMBER26APR6400PE,0.00,0.00,0.00,1071.50,0.00,1071.50,5998.95,678.85,0,0,0,0.00,0,F1,100,,,,,
