TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-02,2026-02-02,FO,NSE,STO,39912,,NATIONALUM,,2026-02-24,2026-02-24,402.50,PE,NATIONALUM26FEB402.5PE,0.00,0.00,0.00,59.00,59.00,59.00,369.70,36.75,116250,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,40752,,NATIONALUM,,2026-02-24,2026-02-24,470.00,PE,NATIONALUM26FEB470PE,0.00,0.00,0.00,115.15,0.00,115.15,369.70,98.95,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,36897,,NATIONALUM,,2026-02-24,2026-02-24,472.50,PE,NATIONALUM26FEB472.5PE,0.00,0.00,0.00,68.00,0.00,68.00,369.70,101.40,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,49849,,NATIONALUM,,2026-02-24,2026-02-24,485.00,PE,NATIONALUM26FEB485PE,0.00,0.00,0.00,109.80,0.00,109.80,369.70,113.80,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,141782,,NATIONALUM,,2026-03-30,2026-03-30,325.00,PE,NATIONALUM26MAR325PE,0.00,0.00,0.00,31.15,0.00,31.15,369.70,7.00,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,141794,,NATIONALUM,,2026-03-30,2026-03-30,355.00,PE,NATIONALUM26MAR355PE,0.00,0.00,0.00,50.05,0.00,50.05,369.70,16.65,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143508,,NATIONALUM,,2026-03-30,2026-03-30,382.50,PE,NATIONALUM26MAR382.5PE,0.00,0.00,0.00,10.05,10.05,10.05,369.70,30.50,3750,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,141816,,NATIONALUM,,2026-03-30,2026-03-30,410.00,PE,NATIONALUM26MAR410PE,51.40,51.40,51.25,51.25,51.25,71.75,369.70,48.75,15000,-3750,4,6920062.50,3,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143613,,NATIONALUM,,2026-03-30,2026-03-30,427.50,PE,NATIONALUM26MAR427.5PE,0.00,0.00,0.00,54.40,0.00,54.40,369.70,62.25,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143675,,NATIONALUM,,2026-03-30,2026-03-30,442.50,PE,NATIONALUM26MAR442.5PE,0.00,0.00,0.00,65.55,0.00,65.55,369.70,74.75,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143500,,NATIONALUM,,2026-03-30,2026-03-30,362.50,PE,NATIONALUM26MAR362.5PE,0.00,0.00,0.00,13.40,13.40,13.40,369.70,20.00,7500,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143502,,NATIONALUM,,2026-03-30,2026-03-30,367.50,PE,NATIONALUM26MAR367.5PE,0.00,0.00,0.00,19.95,0.00,19.95,369.70,22.40,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143510,,NATIONALUM,,2026-03-30,2026-03-30,387.50,PE,NATIONALUM26MAR387.5PE,0.00,0.00,0.00,11.50,11.50,11.50,369.70,33.55,3750,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,49858,,NATIONALUM,,2026-03-30,2026-03-30,455.00,CE,NATIONALUM26MAR455CE,0.00,0.00,0.00,9.45,0.00,9.45,369.70,4.15,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143526,,NATIONALUM,,2026-03-30,2026-03-30,397.50,CE,NATIONALUM26MAR397.5CE,0.00,0.00,0.00,26.20,0.00,26.20,369.70,15.50,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143681,,NATIONALUM,,2026-03-30,2026-03-30,457.50,PE,NATIONALUM26MAR457.5PE,0.00,0.00,0.00,77.40,0.00,77.40,369.70,87.85,0,0,0,0.00,0,F1,3750,,,,,
2026-02-02,2026-02-02,FO,NSE,STO,143912,,NATIONALUM,,2026-04-28,2026-04-28,480.00,PE,NATIONALUM26APR480PE,0.00,0.00,0.00,98.80,0.00,98.80,369.70,109.30,0,0,0,0.00,0,F1,3750,,,,,
