TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-03,2026-02-03,FO,NSE,STO,108581,,JINDALSTEL,,2026-02-24,2026-02-24,960.00,PE,JINDALSTEL26FEB960PE,2.00,2.05,1.70,1.70,1.70,1.85,1149.70,0.10,36875,6875,16,9619312.50,16,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,130177,,JINDALSTEL,,2026-04-28,2026-04-28,1240.00,CE,JINDALSTEL26APR1240CE,0.00,0.00,0.00,28.20,0.00,28.20,1149.70,36.30,0,0,0,0.00,0,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,120351,,JINDALSTEL,,2026-03-30,2026-03-30,1260.00,CE,JINDALSTEL26MAR1260CE,0.00,0.00,0.00,16.45,16.45,16.45,1149.70,18.85,1250,0,0,0.00,0,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,108737,,JINDALSTEL,,2026-02-24,2026-02-24,1280.00,CE,JINDALSTEL26FEB1280CE,5.25,5.25,2.80,3.10,2.85,2.70,1149.70,3.10,196250,14375,165,132384156.25,150,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,119950,,JINDALSTEL,,2026-02-24,2026-02-24,1050.00,CE,JINDALSTEL26FEB1050CE,0.00,0.00,0.00,87.10,88.65,87.10,1149.70,106.40,24375,0,0,0.00,0,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,130178,,JINDALSTEL,,2026-04-28,2026-04-28,1240.00,PE,JINDALSTEL26APR1240PE,0.00,0.00,0.00,168.55,0.00,168.55,1149.70,111.00,0,0,0,0.00,0,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,120275,,JINDALSTEL,,2026-03-30,2026-03-30,960.00,CE,JINDALSTEL26MAR960CE,0.00,0.00,0.00,110.95,0.00,110.95,1149.70,200.15,0,0,0,0.00,0,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,120357,,JINDALSTEL,,2026-03-30,2026-03-30,1320.00,CE,JINDALSTEL26MAR1320CE,9.80,9.80,7.30,7.50,7.50,9.80,1149.70,9.10,8125,3750,7,5808968.75,7,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,130157,,JINDALSTEL,,2026-04-28,2026-04-28,1100.00,CE,JINDALSTEL26APR1100CE,0.00,0.00,0.00,73.45,0.00,73.45,1149.70,100.05,0,0,0,0.00,0,F1,625,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,130175,,JINDALSTEL,,2026-04-28,2026-04-28,1220.00,CE,JINDALSTEL26APR1220CE,0.00,0.00,0.00,32.70,0.00,32.70,1149.70,42.70,0,0,0,0.00,0,F1,625,,,,,
