TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-03,2026-02-03,FO,NSE,STO,146216,,OIL,,2026-02-24,2026-02-24,525.00,PE,OIL26FEB525PE,53.45,53.45,45.75,45.75,45.75,55.45,488.90,40.10,54600,-1400,10,8020880.00,10,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,36207,,OIL,,2026-02-24,2026-02-24,535.00,PE,OIL26FEB535PE,0.00,0.00,0.00,41.85,41.85,41.85,488.90,48.30,7000,0,0,0.00,0,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,146220,,OIL,,2026-02-24,2026-02-24,570.00,PE,OIL26FEB570PE,0.00,0.00,0.00,153.95,0.00,153.95,488.90,80.15,0,0,0,0.00,0,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,147091,,OIL,,2026-03-30,2026-03-30,455.00,PE,OIL26MAR455PE,0.00,0.00,0.00,30.85,0.00,30.85,488.90,12.10,0,0,0,0.00,0,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,147281,,OIL,,2026-04-28,2026-04-28,480.00,PE,OIL26APR480PE,0.00,0.00,0.00,50.50,0.00,50.50,488.90,27.00,0,0,0,0.00,0,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,147295,,OIL,,2026-04-28,2026-04-28,550.00,PE,OIL26APR550PE,0.00,0.00,0.00,102.55,0.00,102.55,488.90,69.65,0,0,0,0.00,0,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,123494,,OIL,,2026-02-24,2026-02-24,460.00,CE,OIL26FEB460CE,31.00,35.90,26.65,35.90,35.90,30.55,488.90,35.90,278600,-9800,37,25410560.00,32,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,123496,,OIL,,2026-02-24,2026-02-24,470.00,CE,OIL26FEB470CE,23.45,28.40,21.00,28.40,28.40,24.10,488.90,29.00,169400,0,54,37294320.00,50,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,123502,,OIL,,2026-02-24,2026-02-24,500.00,CE,OIL26FEB500CE,15.95,15.95,10.00,14.40,13.60,11.70,488.90,14.40,809200,85400,990,709687020.00,844,F1,1400,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,146143,,OIL,,2026-02-24,2026-02-24,495.00,CE,OIL26FEB495CE,13.00,16.80,11.50,16.35,15.30,13.60,488.90,16.35,184800,40600,206,146867000.00,161,F1,1400,,,,,
