TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-03,2026-02-03,FO,NSE,STO,144327,,TITAN,,2026-02-24,2026-02-24,3800.00,CE,TITAN26FEB3800CE,300.00,329.30,300.00,300.00,300.00,212.45,4068.55,300.00,24675,-525,7,5037602.50,6,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,170505,,TITAN,,2026-04-28,2026-04-28,3840.00,PE,TITAN26APR3840PE,0.00,0.00,0.00,101.40,0.00,101.40,4068.55,54.15,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,163112,,TITAN,,2026-03-30,2026-03-30,4320.00,CE,TITAN26MAR4320CE,0.00,0.00,0.00,81.00,81.00,81.00,4068.55,52.10,700,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,163110,,TITAN,,2026-03-30,2026-03-30,4280.00,CE,TITAN26MAR4280CE,0.00,0.00,0.00,101.05,0.00,101.05,4068.55,62.65,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,163098,,TITAN,,2026-03-30,2026-03-30,4040.00,CE,TITAN26MAR4040CE,0.00,0.00,0.00,124.75,124.75,124.75,4068.55,162.00,875,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,170408,,TITAN,,2026-03-30,2026-03-30,3940.00,CE,TITAN26MAR3940CE,0.00,0.00,0.00,176.20,176.20,176.20,4068.55,223.55,350,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,163080,,TITAN,,2026-03-30,2026-03-30,3680.00,CE,TITAN26MAR3680CE,0.00,0.00,0.00,409.20,0.00,409.20,4068.55,431.25,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,162996,,TITAN,,2026-02-24,2026-02-24,4220.00,CE,TITAN26FEB4220CE,47.65,59.65,41.00,41.00,41.00,24.25,4068.55,41.00,15575,-350,37,27663693.75,26,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,162986,,TITAN,,2026-02-24,2026-02-24,4020.00,CE,TITAN26FEB4020CE,147.90,160.25,123.95,129.55,134.55,78.15,4068.55,129.55,27300,-2975,98,71405390.00,97,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,144325,,TITAN,,2026-02-24,2026-02-24,3760.00,CE,TITAN26FEB3760CE,0.00,0.00,0.00,236.40,236.40,236.40,4068.55,324.30,1050,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,144323,,TITAN,,2026-02-24,2026-02-24,3720.00,CE,TITAN26FEB3720CE,385.00,385.00,382.00,382.00,382.00,390.00,4068.55,362.55,2975,175,2,1436225.00,2,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,144311,,TITAN,,2026-02-24,2026-02-24,3560.00,CE,TITAN26FEB3560CE,0.00,0.00,0.00,410.00,0.00,410.00,4068.55,519.95,0,0,0,0.00,0,F1,175,,,,,
