TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-03,2026-02-03,FO,NSE,STO,171254,,TVSMOTOR,,2026-03-30,2026-03-30,3540.00,CE,TVSMOTOR26MAR3540CE,0.00,0.00,0.00,202.60,0.00,202.60,3726.30,272.60,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,171268,,TVSMOTOR,,2026-03-30,2026-03-30,3820.00,CE,TVSMOTOR26MAR3820CE,0.00,0.00,0.00,88.70,0.00,88.70,3726.30,115.50,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,164565,,TVSMOTOR,,2026-02-24,2026-02-24,3320.00,PE,TVSMOTOR26FEB3320PE,7.00,7.30,5.50,6.25,6.25,11.00,3726.30,1.80,10850,-4025,29,16884052.50,10,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,164615,,TVSMOTOR,,2026-02-24,2026-02-24,3940.00,PE,TVSMOTOR26FEB3940PE,0.00,0.00,0.00,340.10,0.00,340.10,3726.30,224.85,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,164709,,TVSMOTOR,,2026-03-30,2026-03-30,3120.00,PE,TVSMOTOR26MAR3120PE,0.00,0.00,0.00,30.65,0.00,30.65,3726.30,3.35,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,171247,,TVSMOTOR,,2026-03-30,2026-03-30,3380.00,PE,TVSMOTOR26MAR3380PE,0.00,0.00,0.00,76.20,0.00,76.20,3726.30,23.50,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,164741,,TVSMOTOR,,2026-03-30,2026-03-30,3760.00,PE,TVSMOTOR26MAR3760PE,0.00,0.00,0.00,250.50,0.00,250.50,3726.30,144.65,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,171373,,TVSMOTOR,,2026-04-28,2026-04-28,3880.00,PE,TVSMOTOR26APR3880PE,0.00,0.00,0.00,362.35,0.00,362.35,3726.30,236.80,0,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,164568,,TVSMOTOR,,2026-02-24,2026-02-24,3360.00,CE,TVSMOTOR26FEB3360CE,0.00,0.00,0.00,403.00,403.00,403.00,3726.30,380.00,525,0,0,0.00,0,F1,175,,,,,
2026-02-03,2026-02-03,FO,NSE,STO,164602,,TVSMOTOR,,2026-02-24,2026-02-24,3780.00,CE,TVSMOTOR26FEB3780CE,102.85,102.85,56.65,62.35,61.60,39.15,3726.30,62.35,22050,3150,69,46449935.00,67,F1,175,,,,,
