TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-04,2026-02-04,FO,NSE,STO,84103,,AUBANK,,2026-04-28,2026-04-28,1100.00,PE,AUBANK26APR1100PE,0.00,0.00,0.00,146.40,0.00,146.40,980.95,124.50,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,75594,,AUBANK,,2026-02-24,2026-02-24,860.00,CE,AUBANK26FEB860CE,0.00,0.00,0.00,108.65,108.65,108.65,980.95,124.10,14000,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,70384,,AUBANK,,2026-02-24,2026-02-24,890.00,CE,AUBANK26FEB890CE,0.00,0.00,0.00,127.75,0.00,127.75,980.95,95.60,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,75606,,AUBANK,,2026-02-24,2026-02-24,980.00,CE,AUBANK26FEB980CE,25.05,30.35,23.20,27.35,27.60,28.70,980.95,27.35,254000,-35000,420,423054650.00,347,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,70400,,AUBANK,,2026-02-24,2026-02-24,1050.00,CE,AUBANK26FEB1050CE,5.20,6.95,5.05,5.95,5.85,6.60,980.95,5.95,417000,18000,209,220711550.00,186,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,75622,,AUBANK,,2026-02-24,2026-02-24,1140.00,CE,AUBANK26FEB1140CE,1.35,1.40,1.35,1.40,1.40,1.40,980.95,0.40,175000,0,2,2282750.00,2,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,84076,,AUBANK,,2026-04-28,2026-04-28,900.00,CE,AUBANK26APR900CE,0.00,0.00,0.00,110.25,0.00,110.25,980.95,110.20,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,84089,,AUBANK,,2026-04-28,2026-04-28,1000.00,CE,AUBANK26APR1000CE,0.00,0.00,0.00,57.70,0.00,57.70,980.95,51.05,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,84100,,AUBANK,,2026-04-28,2026-04-28,1080.00,CE,AUBANK26APR1080CE,0.00,0.00,0.00,31.50,0.00,31.50,980.95,23.65,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,75591,,AUBANK,,2026-02-24,2026-02-24,820.00,PE,AUBANK26FEB820PE,0.80,1.05,0.80,1.00,0.95,0.85,980.95,1.00,143000,2000,18,14777750.00,17,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,70704,,AUBANK,,2026-03-30,2026-03-30,1080.00,CE,AUBANK26MAR1080CE,0.00,0.00,0.00,42.50,0.00,42.50,980.95,14.00,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,84095,,AUBANK,,2026-04-28,2026-04-28,1060.00,CE,AUBANK26APR1060CE,0.00,0.00,0.00,36.90,0.00,36.90,980.95,29.05,0,0,0,0.00,0,F1,1000,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,84093,,AUBANK,,2026-04-28,2026-04-28,1040.00,CE,AUBANK26APR1040CE,0.00,0.00,0.00,43.05,0.00,43.05,980.95,35.35,0,0,0,0.00,0,F1,1000,,,,,
