TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-04,2026-02-04,FO,NSE,STO,101923,,HAL,,2026-03-30,2026-03-30,4000.00,PE,HAL26MAR4000PE,73.30,127.70,73.30,112.85,117.00,42.70,4217.10,112.85,46200,20100,592,364761262.50,377,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113243,,HAL,,2026-03-30,2026-03-30,4050.00,PE,HAL26MAR4050PE,136.35,136.35,136.35,136.35,136.35,115.30,4217.10,118.20,150,150,1,627952.50,1,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113284,,HAL,,2026-03-30,2026-03-30,4750.00,PE,HAL26MAR4750PE,0.00,0.00,0.00,481.80,0.00,481.80,4217.10,549.85,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,102006,,HAL,,2026-03-30,2026-03-30,5000.00,PE,HAL26MAR5000PE,725.75,800.00,725.75,800.00,800.00,480.00,4217.10,767.35,600,300,2,1728862.50,2,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113294,,HAL,,2026-03-30,2026-03-30,5050.00,PE,HAL26MAR5050PE,0.00,0.00,0.00,715.45,0.00,715.45,4217.10,813.05,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,101534,,HAL,,2026-02-24,2026-02-24,5050.00,PE,HAL26FEB5050PE,0.00,0.00,0.00,733.80,0.00,733.80,4217.10,818.75,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113438,,HAL,,2026-04-28,2026-04-28,3700.00,CE,HAL26APR3700CE,0.00,0.00,0.00,768.45,0.00,768.45,4217.10,619.45,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113283,,HAL,,2026-03-30,2026-03-30,4750.00,CE,HAL26MAR4750CE,0.00,0.00,0.00,70.00,70.00,70.00,4217.10,55.45,300,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113248,,HAL,,2026-03-30,2026-03-30,4350.00,CE,HAL26MAR4350CE,0.00,0.00,0.00,281.15,0.00,281.15,4217.10,164.80,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,101509,,HAL,,2026-02-24,2026-02-24,3850.00,CE,HAL26FEB3850CE,386.90,389.80,386.90,389.80,389.80,488.10,4217.10,393.90,750,300,3,1907040.00,2,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113528,,HAL,,2026-04-28,2026-04-28,4900.00,PE,HAL26APR4900PE,0.00,0.00,0.00,623.10,0.00,623.10,4217.10,691.50,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113238,,HAL,,2026-03-30,2026-03-30,3850.00,CE,HAL26MAR3850CE,0.00,0.00,0.00,602.15,0.00,602.15,4217.10,457.45,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,101998,,HAL,,2026-03-30,2026-03-30,4600.00,PE,HAL26MAR4600PE,460.00,460.00,450.00,450.00,450.00,242.00,4217.10,450.00,7500,450,3,2274000.00,3,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113504,,HAL,,2026-04-28,2026-04-28,4100.00,PE,HAL26APR4100PE,0.00,0.00,0.00,172.75,0.00,172.75,4217.10,177.00,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,101931,,HAL,,2026-03-30,2026-03-30,4300.00,PE,HAL26MAR4300PE,200.00,260.50,200.00,240.55,240.55,106.00,4217.10,240.55,20700,-2100,38,25907955.00,27,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,101925,,HAL,,2026-03-30,2026-03-30,4100.00,PE,HAL26MAR4100PE,105.00,164.60,105.00,145.35,145.35,57.25,4217.10,145.35,8100,1950,35,22327027.50,33,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113507,,HAL,,2026-04-28,2026-04-28,4300.00,CE,HAL26APR4300CE,0.00,0.00,0.00,371.10,0.00,371.10,4217.10,243.80,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113250,,HAL,,2026-03-30,2026-03-30,4450.00,CE,HAL26MAR4450CE,0.00,0.00,0.00,234.95,0.00,234.95,4217.10,128.40,0,0,0,0.00,0,F1,150,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,113246,,HAL,,2026-03-30,2026-03-30,4250.00,CE,HAL26MAR4250CE,235.00,235.00,181.00,198.65,199.20,218.80,4217.10,198.65,1050,1050,11,7348432.50,10,F1,150,,,,,
