TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-04,2026-02-04,FO,NSE,STO,132607,,SAMMAANCAP,,2026-02-24,2026-02-24,140.00,CE,SAMMAANCAP26FEB140CE,8.50,13.00,8.50,13.00,13.00,10.95,150.20,13.00,5452400,-17200,16,10395766.00,16,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132622,,SAMMAANCAP,,2026-02-24,2026-02-24,160.00,CE,SAMMAANCAP26FEB160CE,1.10,2.08,1.05,1.79,1.50,1.10,150.20,1.79,4996600,-17200,6,4163303.00,6,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166863,,SAMMAANCAP,,2026-04-28,2026-04-28,120.00,PE,SAMMAANCAP26APR120PE,0.00,0.00,0.00,6.02,0.00,6.02,150.20,2.10,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166837,,SAMMAANCAP,,2026-03-30,2026-03-30,157.50,PE,SAMMAANCAP26MAR157.5PE,0.00,0.00,0.00,23.50,0.00,23.50,150.20,14.12,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157751,,SAMMAANCAP,,2026-03-30,2026-03-30,150.00,PE,SAMMAANCAP26MAR150PE,0.00,0.00,0.00,19.74,0.00,19.74,150.20,9.88,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132636,,SAMMAANCAP,,2026-02-24,2026-02-24,170.00,PE,SAMMAANCAP26FEB170PE,0.00,0.00,0.00,21.89,21.52,21.89,150.20,20.43,94600,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132619,,SAMMAANCAP,,2026-02-24,2026-02-24,150.00,PE,SAMMAANCAP26FEB150PE,5.05,7.88,4.11,4.11,4.11,4.77,150.20,6.14,1019100,-17200,10,6663237.00,8,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157707,,SAMMAANCAP,,2026-02-24,2026-02-24,142.50,PE,SAMMAANCAP26FEB142.5PE,0.60,0.60,0.60,0.60,0.60,2.50,150.20,0.60,743900,0,1,615330.00,1,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132602,,SAMMAANCAP,,2026-02-24,2026-02-24,125.00,PE,SAMMAANCAP26FEB125PE,1.00,1.00,1.00,1.00,1.00,0.45,150.20,0.25,167700,-4300,1,541800.00,1,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157745,,SAMMAANCAP,,2026-03-30,2026-03-30,135.00,PE,SAMMAANCAP26MAR135PE,0.00,0.00,0.00,11.63,0.00,11.63,150.20,3.93,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166882,,SAMMAANCAP,,2026-04-28,2026-04-28,170.00,CE,SAMMAANCAP26APR170CE,0.00,0.00,0.00,6.09,0.00,6.09,150.20,6.83,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166880,,SAMMAANCAP,,2026-04-28,2026-04-28,165.00,CE,SAMMAANCAP26APR165CE,0.00,0.00,0.00,7.18,0.00,7.18,150.20,8.27,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157754,,SAMMAANCAP,,2026-03-30,2026-03-30,160.00,CE,SAMMAANCAP26MAR160CE,0.00,0.00,0.00,9.66,0.00,9.66,150.20,7.20,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166832,,SAMMAANCAP,,2026-03-30,2026-03-30,147.50,CE,SAMMAANCAP26MAR147.5CE,0.00,0.00,0.00,9.53,0.00,9.53,150.20,12.55,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157746,,SAMMAANCAP,,2026-03-30,2026-03-30,140.00,CE,SAMMAANCAP26MAR140CE,0.00,0.00,0.00,17.17,0.00,17.17,150.20,16.87,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157698,,SAMMAANCAP,,2026-02-24,2026-02-24,122.50,CE,SAMMAANCAP26FEB122.5CE,0.00,0.00,0.00,23.94,0.00,23.94,150.20,28.22,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157757,,SAMMAANCAP,,2026-03-30,2026-03-30,165.00,PE,SAMMAANCAP26MAR165PE,0.00,0.00,0.00,29.84,0.00,29.84,150.20,19.10,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157747,,SAMMAANCAP,,2026-03-30,2026-03-30,140.00,PE,SAMMAANCAP26MAR140PE,0.00,0.00,0.00,14.09,0.00,14.09,150.20,5.54,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157701,,SAMMAANCAP,,2026-02-24,2026-02-24,127.50,PE,SAMMAANCAP26FEB127.5PE,0.00,0.00,0.00,5.87,0.00,5.87,150.20,0.40,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157752,,SAMMAANCAP,,2026-03-30,2026-03-30,155.00,CE,SAMMAANCAP26MAR155CE,0.00,0.00,0.00,11.21,0.00,11.21,150.20,9.07,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157742,,SAMMAANCAP,,2026-03-30,2026-03-30,130.00,CE,SAMMAANCAP26MAR130CE,0.00,0.00,0.00,22.37,0.00,22.37,150.20,23.92,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132635,,SAMMAANCAP,,2026-02-24,2026-02-24,170.00,CE,SAMMAANCAP26FEB170CE,0.36,0.74,0.36,0.74,0.74,0.36,150.20,1.14,2283300,0,3,2199278.00,3,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132616,,SAMMAANCAP,,2026-02-24,2026-02-24,145.00,CE,SAMMAANCAP26FEB145CE,8.00,9.00,4.73,6.86,4.73,7.70,150.20,6.86,3371200,-4300,5,3279739.00,5,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157708,,SAMMAANCAP,,2026-02-24,2026-02-24,147.50,CE,SAMMAANCAP26FEB147.5CE,4.98,6.00,4.98,6.00,6.00,7.96,150.20,8.10,726700,0,4,2631428.00,4,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166828,,SAMMAANCAP,,2026-03-30,2026-03-30,137.50,CE,SAMMAANCAP26MAR137.5CE,0.00,0.00,0.00,13.76,0.00,13.76,150.20,18.50,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STF,59463,,SAMMAANCAP,,2026-02-24,2026-02-24,,,SAMMAANCAP26FEBFUT,146.77,153.35,146.77,151.29,148.99,149.41,150.20,151.29,109938100,-1105100,350,225455493.00,330,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166865,,SAMMAANCAP,,2026-04-28,2026-04-28,125.00,PE,SAMMAANCAP26APR125PE,0.00,0.00,0.00,7.75,0.00,7.75,150.20,3.05,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166833,,SAMMAANCAP,,2026-03-30,2026-03-30,147.50,PE,SAMMAANCAP26MAR147.5PE,0.00,0.00,0.00,16.72,0.00,16.72,150.20,8.66,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166829,,SAMMAANCAP,,2026-03-30,2026-03-30,137.50,PE,SAMMAANCAP26MAR137.5PE,0.00,0.00,0.00,11.06,0.00,11.06,150.20,4.69,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157715,,SAMMAANCAP,,2026-02-24,2026-02-24,162.50,PE,SAMMAANCAP26FEB162.5PE,0.00,0.00,0.00,25.63,0.00,25.63,150.20,14.22,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132606,,SAMMAANCAP,,2026-02-24,2026-02-24,135.00,PE,SAMMAANCAP26FEB135PE,0.73,0.73,0.42,0.48,0.55,0.75,150.20,0.48,4472000,-8600,5,2913895.00,5,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166836,,SAMMAANCAP,,2026-03-30,2026-03-30,157.50,CE,SAMMAANCAP26MAR157.5CE,0.00,0.00,0.00,6.41,0.00,6.41,150.20,8.09,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157743,,SAMMAANCAP,,2026-03-30,2026-03-30,130.00,PE,SAMMAANCAP26MAR130PE,0.00,0.00,0.00,9.43,0.00,9.43,150.20,2.67,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166879,,SAMMAANCAP,,2026-04-28,2026-04-28,160.00,PE,SAMMAANCAP26APR160PE,0.00,0.00,0.00,27.22,0.00,27.22,150.20,17.77,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132617,,SAMMAANCAP,,2026-02-24,2026-02-24,145.00,PE,SAMMAANCAP26FEB145PE,2.87,2.87,1.27,1.60,1.93,2.45,150.20,1.60,1419000,-8600,4,2529174.00,4,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157703,,SAMMAANCAP,,2026-02-24,2026-02-24,132.50,PE,SAMMAANCAP26FEB132.5PE,0.00,0.00,0.00,0.60,0.60,0.60,150.20,0.87,361200,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157705,,SAMMAANCAP,,2026-02-24,2026-02-24,137.50,PE,SAMMAANCAP26FEB137.5PE,0.71,0.71,0.70,0.70,0.70,3.03,150.20,0.70,2283300,21500,6,3565775.00,2,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166866,,SAMMAANCAP,,2026-04-28,2026-04-28,130.00,CE,SAMMAANCAP26APR130CE,0.00,0.00,0.00,20.52,0.00,20.52,150.20,26.08,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132634,,SAMMAANCAP,,2026-02-24,2026-02-24,165.00,PE,SAMMAANCAP26FEB165PE,0.00,0.00,0.00,24.22,0.00,24.22,150.20,16.20,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166870,,SAMMAANCAP,,2026-04-28,2026-04-28,140.00,CE,SAMMAANCAP26APR140CE,0.00,0.00,0.00,15.52,0.00,15.52,150.20,19.49,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157738,,SAMMAANCAP,,2026-03-30,2026-03-30,120.00,CE,SAMMAANCAP26MAR120CE,0.00,0.00,0.00,28.62,0.00,28.62,150.20,32.23,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,132623,,SAMMAANCAP,,2026-02-24,2026-02-24,160.00,PE,SAMMAANCAP26FEB160PE,0.00,0.00,0.00,17.80,17.80,17.80,150.20,12.34,90300,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157702,,SAMMAANCAP,,2026-02-24,2026-02-24,132.50,CE,SAMMAANCAP26FEB132.5CE,0.00,0.00,0.00,17.50,0.00,17.50,150.20,18.97,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,157699,,SAMMAANCAP,,2026-02-24,2026-02-24,122.50,PE,SAMMAANCAP26FEB122.5PE,0.00,0.00,0.00,4.30,0.00,4.30,150.20,0.16,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166872,,SAMMAANCAP,,2026-04-28,2026-04-28,145.00,CE,SAMMAANCAP26APR145CE,0.00,0.00,0.00,13.40,0.00,13.40,150.20,16.66,0,0,0,0.00,0,F1,4300,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,166864,,SAMMAANCAP,,2026-04-28,2026-04-28,125.00,CE,SAMMAANCAP26APR125CE,0.00,0.00,0.00,23.43,0.00,23.43,150.20,29.80,0,0,0,0.00,0,F1,4300,,,,,
