TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-04,2026-02-04,FO,NSE,STO,150023,,UNOMINDA,,2026-02-24,2026-02-24,1400.00,CE,UNOMINDA26FEB1400CE,4.50,4.50,3.25,3.90,3.25,69.00,1204.80,3.90,1100,1100,4,3089212.50,3,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171961,,UNOMINDA,,2026-04-28,2026-04-28,1280.00,PE,UNOMINDA26APR1280PE,0.00,0.00,0.00,164.25,0.00,164.25,1204.80,112.15,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165356,,UNOMINDA,,2026-03-30,2026-03-30,1280.00,CE,UNOMINDA26MAR1280CE,0.00,0.00,0.00,24.55,24.55,24.55,1204.80,36.60,1100,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171907,,UNOMINDA,,2026-03-30,2026-03-30,1060.00,PE,UNOMINDA26MAR1060PE,0.00,0.00,0.00,34.05,0.00,34.05,1204.80,11.00,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,150017,,UNOMINDA,,2026-02-24,2026-02-24,1280.00,CE,UNOMINDA26FEB1280CE,15.00,17.70,15.00,16.10,17.70,21.25,1204.80,16.10,17600,1650,5,3564220.00,4,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165312,,UNOMINDA,,2026-02-24,2026-02-24,1340.00,CE,UNOMINDA26FEB1340CE,9.45,9.90,6.90,8.75,7.90,9.75,1204.80,8.75,64900,0,55,40785855.00,45,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,149937,,UNOMINDA,,2026-02-24,2026-02-24,1120.00,CE,UNOMINDA26FEB1120CE,108.20,108.20,99.70,103.00,103.00,108.00,1204.80,96.30,15400,-550,8,5391540.00,7,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171955,,UNOMINDA,,2026-04-28,2026-04-28,1160.00,PE,UNOMINDA26APR1160PE,0.00,0.00,0.00,89.70,0.00,89.70,1204.80,49.25,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171911,,UNOMINDA,,2026-03-30,2026-03-30,1140.00,PE,UNOMINDA26MAR1140PE,0.00,0.00,0.00,66.60,0.00,66.60,1204.80,30.35,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165358,,UNOMINDA,,2026-03-30,2026-03-30,1320.00,CE,UNOMINDA26MAR1320CE,0.00,0.00,0.00,16.45,16.45,16.45,1204.80,25.55,6600,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,149934,,UNOMINDA,,2026-02-24,2026-02-24,1040.00,PE,UNOMINDA26FEB1040PE,0.00,0.00,0.00,15.00,15.00,15.00,1204.80,0.95,1100,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165345,,UNOMINDA,,2026-03-30,2026-03-30,1040.00,PE,UNOMINDA26MAR1040PE,0.00,0.00,0.00,15.70,0.00,15.70,1204.80,8.10,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171913,,UNOMINDA,,2026-03-30,2026-03-30,1180.00,PE,UNOMINDA26MAR1180PE,0.00,0.00,0.00,87.90,0.00,87.90,1204.80,45.65,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,149933,,UNOMINDA,,2026-02-24,2026-02-24,1040.00,CE,UNOMINDA26FEB1040CE,0.00,0.00,0.00,277.25,0.00,277.25,1204.80,168.90,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165304,,UNOMINDA,,2026-02-24,2026-02-24,1180.00,CE,UNOMINDA26FEB1180CE,65.55,65.55,56.40,61.10,59.65,66.50,1204.80,61.10,31350,-2200,17,11611572.50,12,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,150021,,UNOMINDA,,2026-02-24,2026-02-24,1360.00,CE,UNOMINDA26FEB1360CE,8.70,8.85,5.30,6.65,6.25,82.95,1204.80,6.65,57200,57200,133,100020167.50,89,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165342,,UNOMINDA,,2026-03-30,2026-03-30,1000.00,CE,UNOMINDA26MAR1000CE,0.00,0.00,0.00,298.40,0.00,298.40,1204.80,217.05,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171910,,UNOMINDA,,2026-03-30,2026-03-30,1140.00,CE,UNOMINDA26MAR1140CE,0.00,0.00,0.00,83.55,0.00,83.55,1204.80,104.40,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171916,,UNOMINDA,,2026-03-30,2026-03-30,1260.00,CE,UNOMINDA26MAR1260CE,0.00,0.00,0.00,37.95,0.00,37.95,1204.80,43.40,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STF,59501,,UNOMINDA,,2026-02-24,2026-02-24,,,UNOMINDA26FEBFUT,1215.00,1227.40,1198.70,1210.20,1211.70,1218.60,1204.80,1210.20,5090250,56100,1634,1088404130.00,1561,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,149938,,UNOMINDA,,2026-02-24,2026-02-24,1120.00,PE,UNOMINDA26FEB1120PE,14.05,15.50,11.85,15.50,15.50,12.00,1204.80,8.15,74250,-3850,23,14336877.50,20,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171956,,UNOMINDA,,2026-04-28,2026-04-28,1200.00,CE,UNOMINDA26APR1200CE,0.00,0.00,0.00,75.50,0.00,75.50,1204.80,86.70,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171959,,UNOMINDA,,2026-04-28,2026-04-28,1240.00,PE,UNOMINDA26APR1240PE,0.00,0.00,0.00,137.05,0.00,137.05,1204.80,88.00,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171945,,UNOMINDA,,2026-04-28,2026-04-28,960.00,PE,UNOMINDA26APR960PE,0.00,0.00,0.00,18.75,0.00,18.75,1204.80,5.10,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171925,,UNOMINDA,,2026-03-30,2026-03-30,1420.00,PE,UNOMINDA26MAR1420PE,0.00,0.00,0.00,271.00,0.00,271.00,1204.80,213.00,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165363,,UNOMINDA,,2026-03-30,2026-03-30,1400.00,PE,UNOMINDA26MAR1400PE,0.00,0.00,0.00,166.15,0.00,166.15,1204.80,195.40,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,150024,,UNOMINDA,,2026-02-24,2026-02-24,1400.00,PE,UNOMINDA26FEB1400PE,0.00,0.00,0.00,175.00,175.00,175.00,1204.80,192.20,1650,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165301,,UNOMINDA,,2026-02-24,2026-02-24,1100.00,PE,UNOMINDA26FEB1100PE,9.05,12.10,8.10,11.65,11.50,9.20,1204.80,11.65,71500,26950,115,70204447.50,75,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171958,,UNOMINDA,,2026-04-28,2026-04-28,1240.00,CE,UNOMINDA26APR1240CE,0.00,0.00,0.00,61.00,0.00,61.00,1204.80,68.25,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171954,,UNOMINDA,,2026-04-28,2026-04-28,1160.00,CE,UNOMINDA26APR1160CE,0.00,0.00,0.00,92.45,0.00,92.45,1204.80,108.45,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,165362,,UNOMINDA,,2026-03-30,2026-03-30,1400.00,CE,UNOMINDA26MAR1400CE,11.00,11.00,11.00,11.00,11.00,10.75,1204.80,11.00,4950,550,1,776050.00,1,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,171918,,UNOMINDA,,2026-03-30,2026-03-30,1300.00,CE,UNOMINDA26MAR1300CE,0.00,0.00,0.00,28.40,0.00,28.40,1204.80,30.70,0,0,0,0.00,0,F1,550,,,,,
2026-02-04,2026-02-04,FO,NSE,STO,150019,,UNOMINDA,,2026-02-24,2026-02-24,1320.00,CE,UNOMINDA26FEB1320CE,9.60,12.25,8.65,11.00,9.55,13.20,1204.80,11.00,53900,23100,148,108230485.00,122,F1,550,,,,,
