TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-05,2026-02-05,FO,NSE,STO,101193,,CONCOR,,2026-04-28,2026-04-28,560.00,PE,CONCOR26APR560PE,0.00,0.00,0.00,76.75,0.00,76.75,522.05,45.80,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88182,,CONCOR,,2026-03-30,2026-03-30,520.00,PE,CONCOR26MAR520PE,17.25,17.25,15.70,15.70,15.70,14.75,522.05,18.40,11250,6250,5,3353937.50,3,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87979,,CONCOR,,2026-02-24,2026-02-24,595.00,PE,CONCOR26FEB595PE,0.00,0.00,0.00,76.85,0.00,76.85,522.05,71.50,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88198,,CONCOR,,2026-03-30,2026-03-30,600.00,PE,CONCOR26MAR600PE,0.00,0.00,0.00,83.50,0.00,83.50,522.05,75.95,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88187,,CONCOR,,2026-03-30,2026-03-30,550.00,CE,CONCOR26MAR550CE,12.00,12.00,9.05,10.65,10.65,11.45,522.05,10.65,33750,0,8,5603125.00,8,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100758,,CONCOR,,2026-03-30,2026-03-30,445.00,CE,CONCOR26MAR445CE,0.00,0.00,0.00,53.75,0.00,53.75,522.05,81.70,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86909,,CONCOR,,2026-02-24,2026-02-24,590.00,CE,CONCOR26FEB590CE,0.70,0.75,0.65,0.70,0.70,1.00,522.05,0.35,65000,-11250,11,8122062.50,11,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86895,,CONCOR,,2026-02-24,2026-02-24,530.00,CE,CONCOR26FEB530CE,11.40,11.60,7.60,9.15,7.65,11.55,522.05,9.15,895000,-13750,711,479383000.00,531,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86869,,CONCOR,,2026-02-24,2026-02-24,500.00,CE,CONCOR26FEB500CE,28.10,29.10,23.40,26.90,24.10,30.30,522.05,26.90,793750,-1250,67,44145562.50,53,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87958,,CONCOR,,2026-02-24,2026-02-24,495.00,CE,CONCOR26FEB495CE,32.50,33.50,28.10,31.50,28.10,31.20,522.05,31.50,195000,-6250,29,19089687.50,29,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101196,,CONCOR,,2026-04-28,2026-04-28,580.00,CE,CONCOR26APR580CE,0.00,0.00,0.00,7.40,0.00,7.40,522.05,9.65,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101132,,CONCOR,,2026-04-28,2026-04-28,540.00,CE,CONCOR26APR540CE,0.00,0.00,0.00,15.15,0.00,15.15,522.05,21.75,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87969,,CONCOR,,2026-02-24,2026-02-24,545.00,PE,CONCOR26FEB545PE,0.00,0.00,0.00,24.55,24.55,24.55,522.05,26.50,18750,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100814,,CONCOR,,2026-03-30,2026-03-30,575.00,CE,CONCOR26MAR575CE,0.00,0.00,0.00,4.25,0.00,4.25,522.05,6.10,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88189,,CONCOR,,2026-03-30,2026-03-30,560.00,CE,CONCOR26MAR560CE,0.00,0.00,0.00,21.45,0.00,21.45,522.05,9.35,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86908,,CONCOR,,2026-02-24,2026-02-24,580.00,PE,CONCOR26FEB580PE,0.00,0.00,0.00,76.65,76.65,76.65,522.05,57.00,46250,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86910,,CONCOR,,2026-02-24,2026-02-24,590.00,PE,CONCOR26FEB590PE,0.00,0.00,0.00,68.70,68.70,68.70,522.05,66.60,25000,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100761,,CONCOR,,2026-03-30,2026-03-30,455.00,PE,CONCOR26MAR455PE,0.00,0.00,0.00,11.55,0.00,11.55,522.05,1.80,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88172,,CONCOR,,2026-03-30,2026-03-30,470.00,PE,CONCOR26MAR470PE,0.00,0.00,0.00,11.90,0.00,11.90,522.05,3.55,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100770,,CONCOR,,2026-03-30,2026-03-30,495.00,PE,CONCOR26MAR495PE,0.00,0.00,0.00,28.70,0.00,28.70,522.05,8.90,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100791,,CONCOR,,2026-03-30,2026-03-30,535.00,PE,CONCOR26MAR535PE,0.00,0.00,0.00,54.95,0.00,54.95,522.05,26.30,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88192,,CONCOR,,2026-03-30,2026-03-30,570.00,PE,CONCOR26MAR570PE,0.00,0.00,0.00,60.95,0.00,60.95,522.05,50.50,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101116,,CONCOR,,2026-04-28,2026-04-28,500.00,PE,CONCOR26APR500PE,0.00,0.00,0.00,35.65,0.00,35.65,522.05,14.30,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101204,,CONCOR,,2026-04-28,2026-04-28,610.00,PE,CONCOR26APR610PE,0.00,0.00,0.00,119.40,0.00,119.40,522.05,85.25,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100803,,CONCOR,,2026-03-30,2026-03-30,555.00,PE,CONCOR26MAR555PE,0.00,0.00,0.00,70.75,0.00,70.75,522.05,39.20,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86914,,CONCOR,,2026-02-24,2026-02-24,610.00,PE,CONCOR26FEB610PE,0.00,0.00,0.00,97.80,0.00,97.80,522.05,86.30,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101199,,CONCOR,,2026-04-28,2026-04-28,590.00,PE,CONCOR26APR590PE,0.00,0.00,0.00,101.70,0.00,101.70,522.05,68.40,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101093,,CONCOR,,2026-04-28,2026-04-28,420.00,CE,CONCOR26APR420CE,0.00,0.00,0.00,78.25,0.00,78.25,522.05,108.10,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87977,,CONCOR,,2026-02-24,2026-02-24,585.00,PE,CONCOR26FEB585PE,0.00,0.00,0.00,68.60,0.00,68.60,522.05,61.75,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101126,,CONCOR,,2026-04-28,2026-04-28,510.00,CE,CONCOR26APR510CE,0.00,0.00,0.00,24.65,0.00,24.65,522.05,36.45,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86825,,CONCOR,,2026-02-24,2026-02-24,450.00,CE,CONCOR26FEB450CE,0.00,0.00,0.00,75.65,75.65,75.65,522.05,73.40,128750,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87962,,CONCOR,,2026-02-24,2026-02-24,515.00,CE,CONCOR26FEB515CE,18.00,18.50,14.50,16.35,14.50,19.40,522.05,16.35,116250,6250,37,24576812.50,37,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88169,,CONCOR,,2026-03-30,2026-03-30,460.00,CE,CONCOR26MAR460CE,0.00,0.00,0.00,75.20,0.00,75.20,522.05,68.00,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,100804,,CONCOR,,2026-03-30,2026-03-30,565.00,CE,CONCOR26MAR565CE,0.00,0.00,0.00,5.45,0.00,5.45,522.05,8.15,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101127,,CONCOR,,2026-04-28,2026-04-28,510.00,PE,CONCOR26APR510PE,0.00,0.00,0.00,41.50,0.00,41.50,522.05,18.10,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88190,,CONCOR,,2026-03-30,2026-03-30,560.00,PE,CONCOR26MAR560PE,0.00,0.00,0.00,54.15,0.00,54.15,522.05,42.85,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,88173,,CONCOR,,2026-03-30,2026-03-30,480.00,CE,CONCOR26MAR480CE,0.00,0.00,0.00,60.85,0.00,60.85,522.05,51.15,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101195,,CONCOR,,2026-04-28,2026-04-28,570.00,PE,CONCOR26APR570PE,0.00,0.00,0.00,84.80,0.00,84.80,522.05,52.90,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101114,,CONCOR,,2026-04-28,2026-04-28,490.00,PE,CONCOR26APR490PE,0.00,0.00,0.00,30.30,0.00,30.30,522.05,11.05,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,101104,,CONCOR,,2026-04-28,2026-04-28,470.00,PE,CONCOR26APR470PE,0.00,0.00,0.00,21.10,0.00,21.10,522.05,6.20,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87973,,CONCOR,,2026-02-24,2026-02-24,565.00,PE,CONCOR26FEB565PE,0.00,0.00,0.00,53.10,0.00,53.10,522.05,43.10,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,87971,,CONCOR,,2026-02-24,2026-02-24,555.00,PE,CONCOR26FEB555PE,0.00,0.00,0.00,32.80,32.80,32.80,522.05,34.45,0,0,0,0.00,0,F1,1250,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,86902,,CONCOR,,2026-02-24,2026-02-24,550.00,PE,CONCOR26FEB550PE,32.00,33.50,29.70,31.85,33.50,29.80,522.05,31.85,351250,-5000,36,26180812.50,35,F1,1250,,,,,
