TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-05,2026-02-05,FO,NSE,STO,104197,,DIVISLAB,,2026-04-28,2026-04-28,6100.00,CE,DIVISLAB26APR6100CE,0.00,0.00,0.00,382.60,0.00,382.60,6141.45,354.80,0,0,0,0.00,0,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,104193,,DIVISLAB,,2026-04-28,2026-04-28,6000.00,CE,DIVISLAB26APR6000CE,0.00,0.00,0.00,433.25,0.00,433.25,6141.45,410.70,0,0,0,0.00,0,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,104017,,DIVISLAB,,2026-03-30,2026-03-30,5750.00,CE,DIVISLAB26MAR5750CE,0.00,0.00,0.00,506.65,0.00,506.65,6141.45,511.20,0,0,0,0.00,0,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,104210,,DIVISLAB,,2026-04-28,2026-04-28,6600.00,PE,DIVISLAB26APR6600PE,0.00,0.00,0.00,634.45,0.00,634.45,6141.45,530.00,0,0,0,0.00,0,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,104042,,DIVISLAB,,2026-03-30,2026-03-30,6750.00,PE,DIVISLAB26MAR6750PE,0.00,0.00,0.00,717.50,0.00,717.50,6141.45,618.45,0,0,0,0.00,0,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,91382,,DIVISLAB,,2026-02-24,2026-02-24,6150.00,PE,DIVISLAB26FEB6150PE,265.55,269.45,171.85,183.40,190.55,235.65,6141.45,183.40,13400,1200,104,65913770.00,84,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,89082,,DIVISLAB,,2026-02-24,2026-02-24,6000.00,PE,DIVISLAB26FEB6000PE,169.95,219.80,110.90,121.55,126.00,159.15,6141.45,121.55,78400,-8700,2523,1553677885.00,1922,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,91595,,DIVISLAB,,2026-03-30,2026-03-30,6300.00,CE,DIVISLAB26MAR6300CE,0.00,0.00,0.00,453.95,0.00,453.95,6141.45,189.60,0,0,0,0.00,0,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,89126,,DIVISLAB,,2026-02-24,2026-02-24,7400.00,CE,DIVISLAB26FEB7400CE,2.50,2.50,2.50,2.50,2.50,1.35,6141.45,0.10,3400,200,3,2220750.00,3,F1,100,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,91472,,DIVISLAB,,2026-02-24,2026-02-24,7250.00,CE,DIVISLAB26FEB7250CE,0.00,0.00,0.00,3.55,3.55,3.55,6141.45,0.30,200,0,0,0.00,0,F1,100,,,,,
