TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-05,2026-02-05,FO,NSE,STO,167328,,SBIN,,2026-04-28,2026-04-28,990.00,CE,SBIN26APR990CE,0.00,0.00,0.00,97.85,0.00,97.85,1073.50,105.70,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167238,,SBIN,,2026-03-30,2026-03-30,1095.00,CE,SBIN26MAR1095CE,0.00,0.00,0.00,29.15,0.00,29.15,1073.50,29.10,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158258,,SBIN,,2026-03-30,2026-03-30,1060.00,CE,SBIN26MAR1060CE,44.55,50.00,43.90,48.00,48.00,42.80,1073.50,46.65,44250,750,52,43215975.00,14,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167228,,SBIN,,2026-03-30,2026-03-30,1045.00,CE,SBIN26MAR1045CE,0.00,0.00,0.00,51.90,0.00,51.90,1073.50,55.80,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158252,,SBIN,,2026-03-30,2026-03-30,1030.00,CE,SBIN26MAR1030CE,0.00,0.00,0.00,46.20,46.20,46.20,1073.50,66.00,16500,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167216,,SBIN,,2026-03-30,2026-03-30,985.00,CE,SBIN26MAR985CE,0.00,0.00,0.00,91.25,0.00,91.25,1073.50,101.50,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158242,,SBIN,,2026-03-30,2026-03-30,980.00,CE,SBIN26MAR980CE,0.00,0.00,0.00,50.95,0.00,50.95,1073.50,105.85,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134588,,SBIN,,2026-02-24,2026-02-24,1130.00,CE,SBIN26FEB1130CE,7.00,9.95,6.20,7.20,7.10,6.50,1073.50,7.20,632250,150750,1043,890109300.00,722,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134268,,SBIN,,2026-02-24,2026-02-24,1040.00,CE,SBIN26FEB1040CE,46.00,52.85,42.45,45.75,45.60,42.90,1073.50,45.75,982500,-22500,283,230723287.50,215,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134258,,SBIN,,2026-02-24,2026-02-24,990.00,CE,SBIN26FEB990CE,90.00,93.90,85.35,87.55,87.55,83.65,1073.50,87.55,373500,1500,9,7281900.00,9,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134216,,SBIN,,2026-02-24,2026-02-24,880.00,CE,SBIN26FEB880CE,0.00,0.00,0.00,173.65,173.65,173.65,1073.50,196.00,9750,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134214,,SBIN,,2026-02-24,2026-02-24,870.00,CE,SBIN26FEB870CE,0.00,0.00,0.00,173.40,173.40,173.40,1073.50,206.00,8250,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167367,,SBIN,,2026-04-28,2026-04-28,1180.00,PE,SBIN26APR1180PE,0.00,0.00,0.00,124.60,0.00,124.60,1073.50,105.40,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167327,,SBIN,,2026-04-28,2026-04-28,980.00,PE,SBIN26APR980PE,0.00,0.00,0.00,16.90,0.00,16.90,1073.50,8.30,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167317,,SBIN,,2026-04-28,2026-04-28,930.00,PE,SBIN26APR930PE,0.00,0.00,0.00,7.35,0.00,7.35,1073.50,2.70,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158279,,SBIN,,2026-03-30,2026-03-30,1160.00,PE,SBIN26MAR1160PE,0.00,0.00,0.00,174.95,0.00,174.95,1073.50,87.20,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158249,,SBIN,,2026-03-30,2026-03-30,1010.00,PE,SBIN26MAR1010PE,10.95,10.95,10.95,10.95,10.95,10.90,1073.50,9.40,54750,1500,4,3062850.00,4,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158247,,SBIN,,2026-03-30,2026-03-30,1000.00,PE,SBIN26MAR1000PE,10.00,10.10,9.00,9.20,9.05,10.10,1073.50,9.20,547500,45750,270,204457275.00,181,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158245,,SBIN,,2026-03-30,2026-03-30,990.00,PE,SBIN26MAR990PE,7.00,7.00,7.00,7.00,7.00,7.00,1073.50,5.85,3000,750,1,747750.00,1,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167211,,SBIN,,2026-03-30,2026-03-30,955.00,PE,SBIN26MAR955PE,0.00,0.00,0.00,7.95,7.95,7.95,1073.50,2.25,750,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167205,,SBIN,,2026-03-30,2026-03-30,925.00,PE,SBIN26MAR925PE,0.00,0.00,0.00,3.60,0.00,3.60,1073.50,0.85,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158225,,SBIN,,2026-03-30,2026-03-30,890.00,PE,SBIN26MAR890PE,0.00,0.00,0.00,12.05,0.00,12.05,1073.50,0.20,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134602,,SBIN,,2026-02-24,2026-02-24,1150.00,PE,SBIN26FEB1150PE,79.00,80.60,75.35,80.60,80.60,83.00,1073.50,80.60,108750,11250,33,30382800.00,16,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134275,,SBIN,,2026-02-24,2026-02-24,1070.00,PE,SBIN26FEB1070PE,24.75,26.20,21.30,22.80,22.70,25.50,1073.50,22.80,857250,235500,4963,4069797375.00,4070,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134261,,SBIN,,2026-02-24,2026-02-24,1000.00,PE,SBIN26FEB1000PE,4.95,5.60,4.40,4.55,4.60,5.25,1073.50,4.55,4329000,357000,3215,2422864537.50,1920,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158127,,SBIN,,2026-02-24,2026-02-24,955.00,PE,SBIN26FEB955PE,1.80,1.80,1.45,1.60,1.60,1.60,1073.50,1.60,147000,54750,254,182242987.50,213,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,134217,,SBIN,,2026-02-24,2026-02-24,880.00,PE,SBIN26FEB880PE,0.45,0.45,0.35,0.40,0.35,0.40,1073.50,0.40,134250,-2250,13,8584237.50,13,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158148,,SBIN,,2026-02-24,2026-02-24,1065.00,CE,SBIN26FEB1065CE,28.95,35.95,27.00,29.75,29.75,27.60,1073.50,29.75,315000,-21000,1040,854494875.00,861,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167373,,SBIN,,2026-04-28,2026-04-28,1210.00,PE,SBIN26APR1210PE,0.00,0.00,0.00,149.30,0.00,149.30,1073.50,130.20,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167343,,SBIN,,2026-04-28,2026-04-28,1060.00,PE,SBIN26APR1060PE,0.00,0.00,0.00,46.15,0.00,46.15,1073.50,30.95,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,158277,,SBIN,,2026-03-30,2026-03-30,1150.00,PE,SBIN26MAR1150PE,70.00,78.10,70.00,78.10,78.10,83.00,1073.50,79.25,3750,2250,3,2751075.00,3,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167245,,SBIN,,2026-03-30,2026-03-30,1125.00,PE,SBIN26MAR1125PE,0.00,0.00,0.00,79.75,0.00,79.75,1073.50,60.85,0,0,0,0.00,0,F1,750,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,167239,,SBIN,,2026-03-30,2026-03-30,1095.00,PE,SBIN26MAR1095PE,0.00,0.00,0.00,59.55,0.00,59.55,1073.50,41.90,0,0,0,0.00,0,F1,750,,,,,
