TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-05,2026-02-05,FO,NSE,STO,161242,,TATAPOWER,,2026-02-24,2026-02-24,405.00,CE,TATAPOWER26FEB405CE,0.70,0.90,0.55,0.75,0.75,1.80,364.50,0.75,213150,-7250,308,181185185.00,220,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,161254,,TATAPOWER,,2026-02-24,2026-02-24,425.00,CE,TATAPOWER26FEB425CE,0.00,0.00,0.00,0.65,0.55,0.65,364.50,0.05,82650,0,0,0.00,0,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,140393,,TATAPOWER,,2026-02-24,2026-02-24,430.00,CE,TATAPOWER26FEB430CE,0.20,0.30,0.20,0.25,0.25,0.45,364.50,0.25,665550,-8700,134,83595037.50,42,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,161260,,TATAPOWER,,2026-02-24,2026-02-24,435.00,CE,TATAPOWER26FEB435CE,0.25,0.25,0.15,0.20,0.20,0.35,364.50,0.05,43500,-4350,9,5679505.00,9,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,161332,,TATAPOWER,,2026-03-30,2026-03-30,325.00,CE,TATAPOWER26MAR325CE,0.00,0.00,0.00,58.10,0.00,58.10,364.50,43.75,0,0,0,0.00,0,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,169258,,TATAPOWER,,2026-03-30,2026-03-30,337.50,CE,TATAPOWER26MAR337.5CE,0.00,0.00,0.00,24.60,0.00,24.60,364.50,33.30,0,0,0,0.00,0,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,169268,,TATAPOWER,,2026-03-30,2026-03-30,362.50,CE,TATAPOWER26MAR362.5CE,0.00,0.00,0.00,12.50,0.00,12.50,364.50,16.65,0,0,0,0.00,0,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,169270,,TATAPOWER,,2026-03-30,2026-03-30,367.50,CE,TATAPOWER26MAR367.5CE,0.00,0.00,0.00,10.75,0.00,10.75,364.50,14.15,0,0,0,0.00,0,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,161372,,TATAPOWER,,2026-03-30,2026-03-30,425.00,CE,TATAPOWER26MAR425CE,0.00,0.00,0.00,7.75,0.00,7.75,364.50,1.15,0,0,0,0.00,0,F1,1450,,,,,
2026-02-05,2026-02-05,FO,NSE,STO,169352,,TATAPOWER,,2026-04-28,2026-04-28,330.00,CE,TATAPOWER26APR330CE,0.00,0.00,0.00,33.50,0.00,33.50,364.50,42.55,0,0,0,0.00,0,F1,1450,,,,,
