TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-06,2026-02-06,FO,NSE,STO,95133,,CAMS,,2026-03-30,2026-03-30,690.00,PE,CAMS26MAR690PE,0.00,0.00,0.00,14.50,14.50,14.50,722.40,19.40,1500,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95139,,CAMS,,2026-03-30,2026-03-30,750.00,PE,CAMS26MAR750PE,0.00,0.00,0.00,72.25,0.00,72.25,722.40,48.50,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95422,,CAMS,,2026-04-28,2026-04-28,800.00,PE,CAMS26APR800PE,0.00,0.00,0.00,114.10,0.00,114.10,722.40,88.60,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95390,,CAMS,,2026-04-28,2026-04-28,560.00,CE,CAMS26APR560CE,0.00,0.00,0.00,153.25,0.00,153.25,722.40,170.95,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82583,,CAMS,,2026-02-24,2026-02-24,570.00,PE,CAMS26FEB570PE,0.00,0.00,0.00,2.05,0.00,2.05,722.40,0.05,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82754,,CAMS,,2026-02-24,2026-02-24,680.00,PE,CAMS26FEB680PE,6.65,9.10,5.70,6.25,5.75,5.50,722.40,6.25,272250,-6000,85,43809450.00,78,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95121,,CAMS,,2026-03-30,2026-03-30,570.00,PE,CAMS26MAR570PE,0.00,0.00,0.00,4.60,0.00,4.60,722.40,0.75,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82590,,CAMS,,2026-02-24,2026-02-24,650.00,CE,CAMS26FEB650CE,0.00,0.00,0.00,92.00,92.00,92.00,722.40,75.75,2250,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83009,,CAMS,,2026-03-30,2026-03-30,620.00,PE,CAMS26MAR620PE,0.00,0.00,0.00,7.40,7.40,7.40,722.40,3.95,1500,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95125,,CAMS,,2026-03-30,2026-03-30,610.00,PE,CAMS26MAR610PE,0.00,0.00,0.00,10.85,0.00,10.85,722.40,2.95,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82817,,CAMS,,2026-02-24,2026-02-24,840.00,PE,CAMS26FEB840PE,0.00,0.00,0.00,133.00,133.00,133.00,722.40,115.80,26250,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82783,,CAMS,,2026-02-24,2026-02-24,740.00,PE,CAMS26FEB740PE,34.00,34.00,27.45,27.65,27.45,22.85,722.40,27.65,91500,0,13,7528912.50,8,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82738,,CAMS,,2026-02-24,2026-02-24,580.00,PE,CAMS26FEB580PE,1.00,1.00,1.00,1.00,1.00,1.00,722.40,0.05,45000,1500,2,871500.00,1,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95421,,CAMS,,2026-04-28,2026-04-28,800.00,CE,CAMS26APR800CE,0.00,0.00,0.00,24.05,0.00,24.05,722.40,20.70,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95399,,CAMS,,2026-04-28,2026-04-28,580.00,CE,CAMS26APR580CE,0.00,0.00,0.00,136.70,0.00,136.70,722.40,152.50,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95126,,CAMS,,2026-03-30,2026-03-30,630.00,CE,CAMS26MAR630CE,0.00,0.00,0.00,89.90,0.00,89.90,722.40,102.45,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82729,,CAMS,,2026-02-24,2026-02-24,810.00,CE,CAMS26FEB810CE,1.55,1.55,1.55,1.55,1.55,1.20,722.40,1.60,1500,0,1,608662.50,1,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82713,,CAMS,,2026-02-24,2026-02-24,770.00,CE,CAMS26FEB770CE,5.30,5.30,3.25,4.55,4.55,6.50,722.40,4.55,67500,12750,178,103358850.00,159,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82592,,CAMS,,2026-02-24,2026-02-24,670.00,CE,CAMS26FEB670CE,0.00,0.00,0.00,72.80,69.80,72.80,722.40,58.00,21000,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82727,,CAMS,,2026-02-24,2026-02-24,560.00,CE,CAMS26FEB560CE,0.00,0.00,0.00,167.85,167.85,167.85,722.40,163.90,2250,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95404,,CAMS,,2026-04-28,2026-04-28,620.00,PE,CAMS26APR620PE,0.00,0.00,0.00,19.15,0.00,19.15,722.40,7.75,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95400,,CAMS,,2026-04-28,2026-04-28,580.00,PE,CAMS26APR580PE,0.00,0.00,0.00,10.10,0.00,10.10,722.40,3.05,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95143,,CAMS,,2026-03-30,2026-03-30,790.00,PE,CAMS26MAR790PE,0.00,0.00,0.00,101.30,0.00,101.30,722.40,76.00,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83021,,CAMS,,2026-03-30,2026-03-30,720.00,PE,CAMS26MAR720PE,0.00,0.00,0.00,40.90,40.90,40.90,722.40,32.00,750,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STF,51836,,CAMS,,2026-03-30,2026-03-30,,,CAMS26MARFUT,728.05,728.05,714.00,725.75,727.10,735.15,722.40,725.75,357750,3750,150,81130275.00,140,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82582,,CAMS,,2026-02-24,2026-02-24,570.00,CE,CAMS26FEB570CE,0.00,0.00,0.00,169.15,0.00,169.15,722.40,153.95,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82735,,CAMS,,2026-02-24,2026-02-24,580.00,CE,CAMS26FEB580CE,0.00,0.00,0.00,127.30,127.30,127.30,722.40,144.00,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82711,,CAMS,,2026-02-24,2026-02-24,750.00,CE,CAMS26FEB750CE,11.90,11.90,6.30,8.80,8.60,12.75,722.40,8.80,216750,-18750,257,146048625.00,205,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82731,,CAMS,,2026-02-24,2026-02-24,830.00,CE,CAMS26FEB830CE,0.00,0.00,0.00,16.05,0.00,16.05,722.40,0.70,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83031,,CAMS,,2026-03-30,2026-03-30,820.00,CE,CAMS26MAR820CE,0.00,0.00,0.00,12.90,12.90,12.90,722.40,8.80,1500,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82756,,CAMS,,2026-02-24,2026-02-24,700.00,PE,CAMS26FEB700PE,12.00,15.30,9.40,10.05,9.85,8.80,722.40,10.05,348000,-30000,212,113302537.50,145,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83023,,CAMS,,2026-03-30,2026-03-30,740.00,PE,CAMS26MAR740PE,0.00,0.00,0.00,56.30,0.00,56.30,722.40,42.55,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83034,,CAMS,,2026-03-30,2026-03-30,840.00,PE,CAMS26MAR840PE,0.00,0.00,0.00,120.90,0.00,120.90,722.40,117.15,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95398,,CAMS,,2026-04-28,2026-04-28,560.00,PE,CAMS26APR560PE,0.00,0.00,0.00,7.00,0.00,7.00,722.40,1.75,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83033,,CAMS,,2026-03-30,2026-03-30,840.00,CE,CAMS26MAR840CE,0.00,0.00,0.00,25.15,0.00,25.15,722.40,6.10,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95142,,CAMS,,2026-03-30,2026-03-30,790.00,CE,CAMS26MAR790CE,0.00,0.00,0.00,17.25,0.00,17.25,722.40,14.55,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82739,,CAMS,,2026-02-24,2026-02-24,600.00,CE,CAMS26FEB600CE,0.00,0.00,0.00,102.00,102.00,102.00,722.40,124.10,1500,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82586,,CAMS,,2026-02-24,2026-02-24,610.00,CE,CAMS26FEB610CE,0.00,0.00,0.00,133.00,0.00,133.00,722.40,114.20,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82755,,CAMS,,2026-02-24,2026-02-24,700.00,CE,CAMS26FEB700CE,34.00,35.20,27.00,35.05,35.00,42.00,722.40,35.05,358500,0,37,20298787.50,37,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82699,,CAMS,,2026-02-24,2026-02-24,730.00,CE,CAMS26FEB730CE,20.80,20.80,11.70,16.25,16.20,21.80,722.40,16.25,171750,46500,342,191007862.50,254,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82816,,CAMS,,2026-02-24,2026-02-24,840.00,CE,CAMS26FEB840CE,0.50,0.70,0.35,0.55,0.35,0.95,722.40,0.55,51750,5250,21,13238700.00,17,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82822,,CAMS,,2026-02-24,2026-02-24,860.00,CE,CAMS26FEB860CE,0.00,0.00,0.00,0.70,0.70,0.70,722.40,0.20,9000,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83028,,CAMS,,2026-03-30,2026-03-30,780.00,PE,CAMS26MAR780PE,0.00,0.00,0.00,79.35,0.00,79.35,722.40,68.60,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95141,,CAMS,,2026-03-30,2026-03-30,770.00,PE,CAMS26MAR770PE,0.00,0.00,0.00,86.25,0.00,86.25,722.40,61.55,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83007,,CAMS,,2026-03-30,2026-03-30,600.00,PE,CAMS26MAR600PE,0.00,0.00,0.00,4.80,4.80,4.80,722.40,2.15,750,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95411,,CAMS,,2026-04-28,2026-04-28,700.00,CE,CAMS26APR700CE,0.00,0.00,0.00,58.80,0.00,58.80,722.40,61.15,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95401,,CAMS,,2026-04-28,2026-04-28,600.00,CE,CAMS26APR600CE,0.00,0.00,0.00,121.00,0.00,121.00,722.40,134.65,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82823,,CAMS,,2026-02-24,2026-02-24,860.00,PE,CAMS26FEB860PE,0.00,0.00,0.00,155.25,155.25,155.25,722.40,135.45,41250,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83022,,CAMS,,2026-03-30,2026-03-30,740.00,CE,CAMS26MAR740CE,22.80,24.00,22.80,24.00,24.00,21.50,722.40,30.75,2250,-750,2,1145100.00,2,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83029,,CAMS,,2026-03-30,2026-03-30,800.00,CE,CAMS26MAR800CE,7.90,8.55,6.50,8.45,8.50,12.90,722.40,8.45,8250,-1500,9,5454300.00,9,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95152,,CAMS,,2026-03-30,2026-03-30,830.00,CE,CAMS26MAR830CE,0.00,0.00,0.00,10.25,0.00,10.25,722.40,7.35,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95415,,CAMS,,2026-04-28,2026-04-28,740.00,CE,CAMS26APR740CE,0.00,0.00,0.00,41.90,0.00,41.90,722.40,41.05,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83026,,CAMS,,2026-03-30,2026-03-30,760.00,PE,CAMS26MAR760PE,0.00,0.00,0.00,45.50,45.50,45.50,722.40,54.80,17250,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,82746,,CAMS,,2026-02-24,2026-02-24,620.00,PE,CAMS26FEB620PE,1.45,2.45,1.45,1.70,1.70,1.70,722.40,0.30,113250,-3000,48,22390125.00,43,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95123,,CAMS,,2026-03-30,2026-03-30,590.00,PE,CAMS26MAR590PE,0.00,0.00,0.00,7.25,0.00,7.25,722.40,1.55,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83017,,CAMS,,2026-03-30,2026-03-30,680.00,PE,CAMS26MAR680PE,0.00,0.00,0.00,28.00,28.00,28.00,722.40,16.05,750,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83006,,CAMS,,2026-03-30,2026-03-30,600.00,CE,CAMS26MAR600CE,0.00,0.00,0.00,150.05,0.00,150.05,722.40,129.25,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83016,,CAMS,,2026-03-30,2026-03-30,680.00,CE,CAMS26MAR680CE,0.00,0.00,0.00,91.65,0.00,91.65,722.40,63.80,0,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,83018,,CAMS,,2026-03-30,2026-03-30,700.00,CE,CAMS26MAR700CE,0.00,0.00,0.00,58.00,58.00,58.00,722.40,51.00,12750,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95134,,CAMS,,2026-03-30,2026-03-30,710.00,CE,CAMS26MAR710CE,0.00,0.00,0.00,31.80,31.80,31.80,722.40,45.30,750,0,0,0.00,0,F1,750,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,95409,,CAMS,,2026-04-28,2026-04-28,680.00,CE,CAMS26APR680CE,0.00,0.00,0.00,68.95,0.00,68.95,722.40,73.35,0,0,0,0.00,0,F1,750,,,,,
