TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-06,2026-02-06,FO,NSE,STO,94107,,GMRAIRPORT,,2026-02-24,2026-02-24,82.00,PE,GMRAIRPORT26FEB82PE,0.24,0.26,0.24,0.24,0.24,0.22,97.51,0.01,355725,27900,9,5162895.00,9,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,94184,,GMRAIRPORT,,2026-02-24,2026-02-24,102.00,CE,GMRAIRPORT26FEB102CE,1.25,1.28,0.90,1.19,1.23,1.36,97.51,1.19,2741175,383625,221,158904101.25,180,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,99275,,GMRAIRPORT,,2026-03-30,2026-03-30,104.00,PE,GMRAIRPORT26MAR104PE,0.00,0.00,0.00,7.17,0.00,7.17,97.51,8.04,0,0,0,0.00,0,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,110934,,GMRAIRPORT,,2026-03-30,2026-03-30,103.00,PE,GMRAIRPORT26MAR103PE,0.00,0.00,0.00,11.58,0.00,11.58,97.51,7.35,0,0,0,0.00,0,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,110930,,GMRAIRPORT,,2026-03-30,2026-03-30,99.00,PE,GMRAIRPORT26MAR99PE,0.00,0.00,0.00,8.72,0.00,8.72,97.51,4.91,0,0,0,0.00,0,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,99233,,GMRAIRPORT,,2026-03-30,2026-03-30,80.00,PE,GMRAIRPORT26MAR80PE,0.00,0.00,0.00,0.69,0.69,0.69,97.51,0.16,111600,0,0,0.00,0,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,94196,,GMRAIRPORT,,2026-02-24,2026-02-24,112.00,PE,GMRAIRPORT26FEB112PE,0.00,0.00,0.00,11.08,0.00,11.08,97.51,14.25,0,0,0,0.00,0,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,94143,,GMRAIRPORT,,2026-02-24,2026-02-24,96.00,PE,GMRAIRPORT26FEB96PE,2.52,2.88,2.08,2.11,2.11,2.28,97.51,2.11,2873700,160425,261,179399650.50,218,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,99032,,GMRAIRPORT,,2026-02-24,2026-02-24,85.00,PE,GMRAIRPORT26FEB85PE,0.40,0.40,0.25,0.25,0.26,0.34,97.51,0.25,843975,-69750,57,33926888.25,54,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,111070,,GMRAIRPORT,,2026-04-28,2026-04-28,88.00,CE,GMRAIRPORT26APR88CE,0.00,0.00,0.00,9.89,0.00,9.89,97.51,12.21,0,0,0,0.00,0,F1,6975,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,99218,,GMRAIRPORT,,2026-03-30,2026-03-30,74.00,CE,GMRAIRPORT26MAR74CE,0.00,0.00,0.00,30.12,0.00,30.12,97.51,24.11,0,0,0,0.00,0,F1,6975,,,,,
