TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-06,2026-02-06,FO,NSE,STO,132888,,KALYANKJIL,,2026-04-28,2026-04-28,440.00,PE,KALYANKJIL26APR440PE,0.00,0.00,0.00,80.15,0.00,80.15,380.20,66.25,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124936,,KALYANKJIL,,2026-03-30,2026-03-30,440.00,PE,KALYANKJIL26MAR440PE,0.00,0.00,0.00,80.00,80.00,80.00,380.20,63.10,10575,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124934,,KALYANKJIL,,2026-03-30,2026-03-30,430.00,PE,KALYANKJIL26MAR430PE,0.00,0.00,0.00,19.50,0.00,19.50,380.20,55.05,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STF,66876,,KALYANKJIL,,2026-04-28,2026-04-28,,,KALYANKJIL26APRFUT,378.45,386.45,370.00,385.20,384.15,382.05,380.20,385.20,146875,14100,89,39505145.00,83,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,132253,,KALYANKJIL,,2026-03-30,2026-03-30,405.00,PE,KALYANKJIL26MAR405PE,0.00,0.00,0.00,50.15,0.00,50.15,380.20,36.90,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,132246,,KALYANKJIL,,2026-03-30,2026-03-30,375.00,PE,KALYANKJIL26MAR375PE,0.00,0.00,0.00,31.60,0.00,31.60,380.20,19.80,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124892,,KALYANKJIL,,2026-03-30,2026-03-30,370.00,PE,KALYANKJIL26MAR370PE,0.00,0.00,0.00,5.70,0.00,5.70,380.20,17.50,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124887,,KALYANKJIL,,2026-03-30,2026-03-30,360.00,PE,KALYANKJIL26MAR360PE,0.00,0.00,0.00,4.45,0.00,4.45,380.20,13.45,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,37865,,KALYANKJIL,,2026-03-30,2026-03-30,330.00,PE,KALYANKJIL26MAR330PE,10.00,10.00,10.00,10.00,10.00,11.60,380.20,5.10,3525,1175,1,399500.00,1,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124685,,KALYANKJIL,,2026-02-24,2026-02-24,525.00,PE,KALYANKJIL26FEB525PE,0.00,0.00,0.00,67.00,67.00,67.00,380.20,143.40,4700,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,44268,,KALYANKJIL,,2026-02-24,2026-02-24,300.00,CE,KALYANKJIL26FEB300CE,0.00,0.00,0.00,60.00,60.00,60.00,380.20,81.05,25850,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,110193,,KALYANKJIL,,2026-02-24,2026-02-24,460.00,CE,KALYANKJIL26FEB460CE,1.50,2.25,1.25,2.20,2.15,1.80,380.20,2.20,303150,-29375,214,116101338.75,160,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124472,,KALYANKJIL,,2026-02-24,2026-02-24,430.00,CE,KALYANKJIL26FEB430CE,3.35,5.20,2.55,4.95,5.00,3.70,380.20,4.95,650950,142175,793,404506205.00,630,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,132667,,KALYANKJIL,,2026-04-28,2026-04-28,370.00,PE,KALYANKJIL26APR370PE,0.00,0.00,0.00,34.35,0.00,34.35,380.20,22.45,0,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124635,,KALYANKJIL,,2026-02-24,2026-02-24,490.00,CE,KALYANKJIL26FEB490CE,1.00,1.00,1.00,1.00,1.00,0.90,380.20,0.05,94000,-1175,1,576925.00,1,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,110200,,KALYANKJIL,,2026-02-24,2026-02-24,520.00,PE,KALYANKJIL26FEB520PE,0.00,0.00,0.00,152.00,152.00,152.00,380.20,138.40,85775,0,0,0.00,0,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124860,,KALYANKJIL,,2026-03-30,2026-03-30,300.00,PE,KALYANKJIL26MAR300PE,2.85,3.40,2.85,3.00,3.00,3.30,380.20,1.40,15275,-2350,4,1424217.50,4,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,110207,,KALYANKJIL,,2026-02-24,2026-02-24,600.00,CE,KALYANKJIL26FEB600CE,0.15,0.25,0.15,0.20,0.15,0.25,380.20,0.20,412425,-2350,59,41608101.25,22,F1,1175,,,,,
2026-02-06,2026-02-06,FO,NSE,STO,124462,,KALYANKJIL,,2026-02-24,2026-02-24,395.00,CE,KALYANKJIL26FEB395CE,9.45,13.60,7.50,12.60,12.60,10.35,380.20,12.60,630975,91650,1634,778615453.75,1092,F1,1175,,,,,
