TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-09,2026-02-09,FO,NSE,STO,133619,,M&M,,2026-02-24,2026-02-24,4050.00,CE,M&M26FEB4050CE,5.00,6.00,3.50,4.85,4.90,4.80,3609.60,4.85,18600,-600,95,77041510.00,71,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,133788,,M&M,,2026-03-30,2026-03-30,3400.00,CE,M&M26MAR3400CE,0.00,0.00,0.00,250.00,250.00,250.00,3609.60,282.60,3200,0,0,0.00,0,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,133792,,M&M,,2026-03-30,2026-03-30,3600.00,CE,M&M26MAR3600CE,131.00,154.55,130.90,154.00,154.00,129.75,3609.60,154.00,14200,-200,23,17239520.00,23,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,138465,,M&M,,2026-03-30,2026-03-30,3950.00,CE,M&M26MAR3950CE,0.00,0.00,0.00,41.05,41.05,41.05,3609.60,39.00,200,0,0,0.00,0,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,138527,,M&M,,2026-04-28,2026-04-28,4200.00,CE,M&M26APR4200CE,0.00,0.00,0.00,28.75,0.00,28.75,3609.60,29.00,0,0,0,0.00,0,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,133582,,M&M,,2026-02-24,2026-02-24,2850.00,PE,M&M26FEB2850PE,0.75,0.75,0.30,0.40,0.35,0.85,3609.60,0.40,125400,2200,149,84941540.00,46,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,138526,,M&M,,2026-04-28,2026-04-28,4100.00,PE,M&M26APR4100PE,0.00,0.00,0.00,682.60,0.00,682.60,3609.60,484.65,0,0,0,0.00,0,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,138466,,M&M,,2026-03-30,2026-03-30,3950.00,PE,M&M26MAR3950PE,0.00,0.00,0.00,547.80,0.00,547.80,3609.60,350.35,0,0,0,0.00,0,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,115593,,M&M,,2026-02-24,2026-02-24,4300.00,CE,M&M26FEB4300CE,0.00,0.00,0.00,1.50,1.50,1.50,3609.60,0.05,1000,0,0,0.00,0,F1,200,,,,,
2026-02-09,2026-02-09,FO,NSE,STO,115583,,M&M,,2026-02-24,2026-02-24,4200.00,CE,M&M26FEB4200CE,2.95,2.95,2.25,2.55,2.55,2.65,3609.60,2.55,55600,400,191,160537970.00,109,F1,200,,,,,
