TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-10,2026-02-10,FO,NSE,STO,119518,,HINDZINC,,2026-04-28,2026-04-28,670.00,CE,HINDZINC26APR670CE,0.00,0.00,0.00,101.45,0.00,101.45,617.70,30.60,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119524,,HINDZINC,,2026-04-28,2026-04-28,700.00,CE,HINDZINC26APR700CE,0.00,0.00,0.00,84.10,0.00,84.10,617.70,22.10,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119148,,HINDZINC,,2026-03-30,2026-03-30,665.00,CE,HINDZINC26MAR665CE,0.00,0.00,0.00,92.95,0.00,92.95,617.70,21.55,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119138,,HINDZINC,,2026-03-30,2026-03-30,635.00,CE,HINDZINC26MAR635CE,31.00,31.00,31.00,31.00,31.00,38.50,617.70,31.00,1225,0,1,815850.00,1,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119130,,HINDZINC,,2026-03-30,2026-03-30,595.00,CE,HINDZINC26MAR595CE,0.00,0.00,0.00,146.15,0.00,146.15,617.70,52.15,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,107830,,HINDZINC,,2026-03-30,2026-03-30,500.00,CE,HINDZINC26MAR500CE,0.00,0.00,0.00,130.00,130.00,130.00,617.70,124.30,1225,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,38011,,HINDZINC,,2026-02-24,2026-02-24,800.00,CE,HINDZINC26FEB800CE,1.70,1.70,1.10,1.20,1.20,1.60,617.70,1.20,5342225,-211925,827,811711398.75,484,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,49145,,HINDZINC,,2026-02-24,2026-02-24,750.00,CE,HINDZINC26FEB750CE,2.75,2.75,1.95,2.05,2.00,3.00,617.70,2.05,5209925,-82075,1385,1276104917.50,804,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,107610,,HINDZINC,,2026-02-24,2026-02-24,685.00,CE,HINDZINC26FEB685CE,6.25,6.25,5.15,5.25,5.25,7.80,617.70,5.25,387100,22050,77,65113956.25,49,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,100565,,HINDZINC,,2026-02-24,2026-02-24,610.00,CE,HINDZINC26FEB610CE,34.30,34.30,24.25,26.40,26.10,33.20,617.70,26.40,563500,71050,1128,878636272.50,779,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,107557,,HINDZINC,,2026-02-24,2026-02-24,585.00,CE,HINDZINC26FEB585CE,46.00,46.00,40.00,42.80,41.80,50.30,617.70,42.80,192325,-15925,18,13842745.00,18,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119519,,HINDZINC,,2026-04-28,2026-04-28,670.00,PE,HINDZINC26APR670PE,0.00,0.00,0.00,34.00,0.00,34.00,617.70,75.15,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119517,,HINDZINC,,2026-04-28,2026-04-28,660.00,PE,HINDZINC26APR660PE,0.00,0.00,0.00,30.45,0.00,30.45,617.70,68.60,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,119411,,HINDZINC,,2026-04-28,2026-04-28,570.00,PE,HINDZINC26APR570PE,0.00,0.00,0.00,8.85,0.00,8.85,617.70,23.75,0,0,0,0.00,0,F1,1225,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,40331,,HINDZINC,,2026-03-30,2026-03-30,535.00,PE,HINDZINC26MAR535PE,0.00,0.00,0.00,19.55,19.55,19.55,617.70,7.60,1225,0,0,0.00,0,F1,1225,,,,,
