TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-10,2026-02-10,FO,NSE,STO,153158,,PPLPHARMA,,2026-04-28,2026-04-28,160.00,CE,PPLPHARMA26APR160CE,0.00,0.00,0.00,10.81,0.00,10.81,163.40,13.40,0,0,0,0.00,0,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156199,,PPLPHARMA,,2026-02-24,2026-02-24,157.50,PE,PPLPHARMA26FEB157.5PE,2.40,3.20,2.00,2.41,2.38,2.58,163.40,2.41,257250,-147000,111,46629161.25,108,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156205,,PPLPHARMA,,2026-02-24,2026-02-24,172.50,PE,PPLPHARMA26FEB172.5PE,0.00,0.00,0.00,10.88,10.88,10.88,163.40,10.31,13125,0,0,0.00,0,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,153142,,PPLPHARMA,,2026-04-28,2026-04-28,120.00,CE,PPLPHARMA26APR120CE,0.00,0.00,0.00,35.93,0.00,35.93,163.40,45.01,0,0,0,0.00,0,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156251,,PPLPHARMA,,2026-03-30,2026-03-30,160.00,PE,PPLPHARMA26MAR160PE,6.74,7.02,6.00,6.45,6.50,6.74,163.40,6.45,49875,34125,17,7426702.50,17,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156209,,PPLPHARMA,,2026-02-24,2026-02-24,182.50,PE,PPLPHARMA26FEB182.5PE,0.00,0.00,0.00,17.15,0.00,17.15,163.40,19.04,0,0,0,0.00,0,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156267,,PPLPHARMA,,2026-03-30,2026-03-30,200.00,PE,PPLPHARMA26MAR200PE,0.00,0.00,0.00,43.00,43.00,43.00,163.40,35.85,2625,0,0,0.00,0,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,153147,,PPLPHARMA,,2026-04-28,2026-04-28,130.00,PE,PPLPHARMA26APR130PE,0.00,0.00,0.00,3.48,0.00,3.48,163.40,0.77,0,0,0,0.00,0,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156190,,PPLPHARMA,,2026-02-24,2026-02-24,137.50,CE,PPLPHARMA26FEB137.5CE,26.29,26.29,24.40,24.40,24.40,36.09,163.40,26.21,15750,15750,11,4704840.00,3,F1,2625,,,,,
2026-02-10,2026-02-10,FO,NSE,STO,156194,,PPLPHARMA,,2026-02-24,2026-02-24,147.50,CE,PPLPHARMA26FEB147.5CE,16.70,16.70,16.70,16.70,16.70,11.02,163.40,16.54,34125,2625,1,431025.00,1,F1,2625,,,,,
