TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-11,2026-02-11,FO,NSE,STO,57568,,ABCAPITAL,,2026-03-30,2026-03-30,280.00,CE,ABCAPITAL26MAR280CE,0.00,0.00,0.00,76.45,0.00,76.45,344.25,66.60,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,75807,,ABCAPITAL,,2026-03-30,2026-03-30,365.00,CE,ABCAPITAL26MAR365CE,7.95,7.95,7.20,7.20,7.20,9.20,344.25,8.30,15500,12400,4,4620085.00,4,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,75827,,ABCAPITAL,,2026-03-30,2026-03-30,395.00,CE,ABCAPITAL26MAR395CE,0.00,0.00,0.00,7.65,0.00,7.65,344.25,2.45,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57601,,ABCAPITAL,,2026-03-30,2026-03-30,330.00,PE,ABCAPITAL26MAR330PE,7.10,8.55,7.10,8.30,8.30,5.20,344.25,8.10,40300,18600,9,9432525.00,9,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,75776,,ABCAPITAL,,2026-03-30,2026-03-30,315.00,CE,ABCAPITAL26MAR315CE,0.00,0.00,0.00,44.05,0.00,44.05,344.25,35.45,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,75788,,ABCAPITAL,,2026-03-30,2026-03-30,335.00,CE,ABCAPITAL26MAR335CE,0.00,0.00,0.00,30.70,0.00,30.70,344.25,21.60,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57604,,ABCAPITAL,,2026-03-30,2026-03-30,350.00,CE,ABCAPITAL26MAR350CE,17.50,17.50,12.20,12.85,12.85,17.50,344.25,12.85,325500,145700,85,95805500.00,77,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57403,,ABCAPITAL,,2026-02-24,2026-02-24,335.00,CE,ABCAPITAL26FEB335CE,16.75,16.75,14.30,14.60,14.30,22.05,344.25,14.60,275900,-49600,73,79320785.00,73,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57570,,ABCAPITAL,,2026-03-30,2026-03-30,290.00,CE,ABCAPITAL26MAR290CE,0.00,0.00,0.00,68.05,0.00,68.05,344.25,57.10,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57574,,ABCAPITAL,,2026-03-30,2026-03-30,310.00,CE,ABCAPITAL26MAR310CE,0.00,0.00,0.00,52.60,0.00,52.60,344.25,39.45,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,76097,,ABCAPITAL,,2026-04-28,2026-04-28,340.00,CE,ABCAPITAL26APR340CE,0.00,0.00,0.00,33.05,0.00,33.05,344.25,23.60,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57428,,ABCAPITAL,,2026-02-24,2026-02-24,395.00,PE,ABCAPITAL26FEB395PE,0.00,0.00,0.00,49.15,0.00,49.15,344.25,50.05,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57613,,ABCAPITAL,,2026-03-30,2026-03-30,380.00,PE,ABCAPITAL26MAR380PE,0.00,0.00,0.00,41.65,0.00,41.65,344.25,37.70,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57416,,ABCAPITAL,,2026-02-24,2026-02-24,385.00,PE,ABCAPITAL26FEB385PE,0.00,0.00,0.00,39.70,39.70,39.70,344.25,40.25,27900,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57406,,ABCAPITAL,,2026-02-24,2026-02-24,345.00,PE,ABCAPITAL26FEB345PE,5.75,10.95,5.20,9.95,10.50,5.20,344.25,9.95,1134600,-18600,630,691159105.00,595,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,76107,,ABCAPITAL,,2026-04-28,2026-04-28,390.00,CE,ABCAPITAL26APR390CE,0.00,0.00,0.00,13.15,0.00,13.15,344.25,6.25,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,76091,,ABCAPITAL,,2026-04-28,2026-04-28,310.00,CE,ABCAPITAL26APR310CE,0.00,0.00,0.00,52.10,0.00,52.10,344.25,43.15,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57614,,ABCAPITAL,,2026-03-30,2026-03-30,390.00,CE,ABCAPITAL26MAR390CE,0.00,0.00,0.00,13.65,0.00,13.65,344.25,3.05,0,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,75820,,ABCAPITAL,,2026-03-30,2026-03-30,385.00,CE,ABCAPITAL26MAR385CE,0.00,0.00,0.00,5.00,5.00,5.00,344.25,3.80,15500,0,0,0.00,0,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57602,,ABCAPITAL,,2026-03-30,2026-03-30,340.00,CE,ABCAPITAL26MAR340CE,18.30,18.30,17.10,17.50,17.50,23.40,344.25,18.75,37200,0,7,7759920.00,7,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,69443,,ABCAPITAL,,2026-02-24,2026-02-24,410.00,CE,ABCAPITAL26FEB410CE,0.35,0.40,0.30,0.35,0.35,0.45,344.25,0.35,437100,-55800,52,66151520.00,34,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,69421,,ABCAPITAL,,2026-02-24,2026-02-24,360.00,CE,ABCAPITAL26FEB360CE,7.50,7.50,3.75,4.05,3.85,7.20,344.25,4.05,2910900,1165600,2107,2381315220.00,1819,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,57407,,ABCAPITAL,,2026-02-24,2026-02-24,355.00,CE,ABCAPITAL26FEB355CE,8.70,10.00,5.05,5.45,5.15,9.40,344.25,5.45,1838300,483600,1781,1994464980.00,1552,F1,3100,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,76106,,ABCAPITAL,,2026-04-28,2026-04-28,380.00,PE,ABCAPITAL26APR380PE,0.00,0.00,0.00,41.35,0.00,41.35,344.25,39.80,0,0,0,0.00,0,F1,3100,,,,,
