TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-11,2026-02-11,FO,NSE,STO,84597,,AUROPHARMA,,2026-04-28,2026-04-28,1020.00,PE,AUROPHARMA26APR1020PE,0.00,0.00,0.00,22.70,0.00,22.70,1146.60,12.00,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84603,,AUROPHARMA,,2026-04-28,2026-04-28,1080.00,PE,AUROPHARMA26APR1080PE,0.00,0.00,0.00,41.35,0.00,41.35,1146.60,26.45,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71143,,AUROPHARMA,,2026-02-24,2026-02-24,1060.00,CE,AUROPHARMA26FEB1060CE,96.50,97.85,96.50,97.85,97.85,78.55,1146.60,90.45,9350,-550,4,2546527.50,3,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71149,,AUROPHARMA,,2026-02-24,2026-02-24,1100.00,CE,AUROPHARMA26FEB1100CE,60.00,72.60,46.50,61.60,60.85,48.70,1146.60,61.60,196900,-29700,1303,832318712.50,1030,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84708,,AUROPHARMA,,2026-04-28,2026-04-28,1200.00,PE,AUROPHARMA26APR1200PE,0.00,0.00,0.00,102.15,0.00,102.15,1146.60,82.50,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84712,,AUROPHARMA,,2026-04-28,2026-04-28,1240.00,PE,AUROPHARMA26APR1240PE,0.00,0.00,0.00,128.90,0.00,128.90,1146.60,109.20,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71135,,AUROPHARMA,,2026-02-24,2026-02-24,1010.00,CE,AUROPHARMA26FEB1010CE,0.00,0.00,0.00,191.35,0.00,191.35,1146.60,138.75,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71153,,AUROPHARMA,,2026-02-24,2026-02-24,1130.00,CE,AUROPHARMA26FEB1130CE,39.80,50.50,29.20,40.05,38.80,33.50,1146.60,40.05,125950,-54450,2010,1293548052.50,1790,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71165,,AUROPHARMA,,2026-02-24,2026-02-24,1180.00,CE,AUROPHARMA26FEB1180CE,15.40,23.80,12.30,16.60,15.55,14.40,1146.60,16.60,511500,-45100,5225,3442743590.00,4361,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71169,,AUROPHARMA,,2026-02-24,2026-02-24,1210.00,CE,AUROPHARMA26FEB1210CE,11.95,14.60,7.55,9.55,9.00,9.40,1146.60,9.55,634150,-17600,3357,2253605640.00,2539,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71224,,AUROPHARMA,,2026-02-24,2026-02-24,1290.00,CE,AUROPHARMA26FEB1290CE,3.85,4.20,2.50,3.05,2.95,3.25,1146.60,3.05,113850,-17050,482,342799655.00,400,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71238,,AUROPHARMA,,2026-02-24,2026-02-24,1370.00,CE,AUROPHARMA26FEB1370CE,0.00,0.00,0.00,11.85,0.00,11.85,1146.60,0.05,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71596,,AUROPHARMA,,2026-03-30,2026-03-30,960.00,CE,AUROPHARMA26MAR960CE,0.00,0.00,0.00,246.60,0.00,246.60,1146.60,194.90,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84277,,AUROPHARMA,,2026-03-30,2026-03-30,1050.00,CE,AUROPHARMA26MAR1050CE,0.00,0.00,0.00,113.30,0.00,113.30,1146.60,114.70,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84279,,AUROPHARMA,,2026-03-30,2026-03-30,1070.00,CE,AUROPHARMA26MAR1070CE,0.00,0.00,0.00,99.55,0.00,99.55,1146.60,99.15,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71670,,AUROPHARMA,,2026-03-30,2026-03-30,1180.00,CE,AUROPHARMA26MAR1180CE,33.70,43.50,33.70,39.00,39.00,33.70,1146.60,35.90,6050,3850,12,8049002.50,7,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84295,,AUROPHARMA,,2026-03-30,2026-03-30,1190.00,CE,AUROPHARMA26MAR1190CE,0.00,0.00,0.00,36.50,36.50,36.50,1146.60,32.10,550,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84312,,AUROPHARMA,,2026-03-30,2026-03-30,1250.00,CE,AUROPHARMA26MAR1250CE,17.00,17.00,17.00,17.00,17.00,22.60,1146.60,15.40,550,550,1,696850.00,1,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84380,,AUROPHARMA,,2026-03-30,2026-03-30,1350.00,CE,AUROPHARMA26MAR1350CE,0.00,0.00,0.00,11.05,11.05,11.05,1146.60,3.50,3300,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71688,,AUROPHARMA,,2026-03-30,2026-03-30,1360.00,CE,AUROPHARMA26MAR1360CE,0.00,0.00,0.00,26.15,0.00,26.15,1146.60,3.00,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,71692,,AUROPHARMA,,2026-03-30,2026-03-30,1400.00,CE,AUROPHARMA26MAR1400CE,0.00,0.00,0.00,19.20,0.00,19.20,1146.60,1.50,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84590,,AUROPHARMA,,2026-04-28,2026-04-28,960.00,CE,AUROPHARMA26APR960CE,0.00,0.00,0.00,195.25,0.00,195.25,1146.60,202.00,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,75810,,AUROPHARMA,,2026-02-24,2026-02-24,1040.00,PE,AUROPHARMA26FEB1040PE,5.50,7.45,4.15,5.10,5.15,9.90,1146.60,5.10,160050,18700,526,302346550.00,452,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84313,,AUROPHARMA,,2026-03-30,2026-03-30,1250.00,PE,AUROPHARMA26MAR1250PE,0.00,0.00,0.00,129.80,0.00,129.80,1146.60,109.95,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84719,,AUROPHARMA,,2026-04-28,2026-04-28,1320.00,CE,AUROPHARMA26APR1320CE,0.00,0.00,0.00,20.05,0.00,20.05,1146.60,13.45,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84711,,AUROPHARMA,,2026-04-28,2026-04-28,1240.00,CE,AUROPHARMA26APR1240CE,0.00,0.00,0.00,37.60,0.00,37.60,1146.60,29.90,0,0,0,0.00,0,F1,550,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,84695,,AUROPHARMA,,2026-04-28,2026-04-28,1120.00,CE,AUROPHARMA26APR1120CE,0.00,0.00,0.00,85.00,0.00,85.00,1146.60,80.30,0,0,0,0.00,0,F1,550,,,,,
