TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-11,2026-02-11,FO,NSE,STO,130227,,PRESTIGE,,2026-02-24,2026-02-24,1440.00,CE,PRESTIGE26FEB1440CE,164.45,164.45,154.30,159.90,159.90,155.00,1597.50,159.90,58950,450,8,5756670.00,8,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153785,,PRESTIGE,,2026-04-28,2026-04-28,1520.00,CE,PRESTIGE26APR1520CE,0.00,0.00,0.00,79.50,0.00,79.50,1597.50,156.05,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153667,,PRESTIGE,,2026-03-30,2026-03-30,1660.00,CE,PRESTIGE26MAR1660CE,0.00,0.00,0.00,30.85,30.85,30.85,1597.50,60.80,1800,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156709,,PRESTIGE,,2026-03-30,2026-03-30,1760.00,PE,PRESTIGE26MAR1760PE,0.00,0.00,0.00,239.70,0.00,239.70,1597.50,181.30,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STF,52019,,PRESTIGE,,2026-03-30,2026-03-30,,,PRESTIGE26MARFUT,1592.80,1610.00,1582.50,1605.80,1607.10,1599.30,1597.50,1605.80,82800,3600,53,38119815.00,52,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130194,,PRESTIGE,,2026-02-24,2026-02-24,1200.00,CE,PRESTIGE26FEB1200CE,0.00,0.00,0.00,483.55,0.00,483.55,1597.50,399.85,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156707,,PRESTIGE,,2026-03-30,2026-03-30,1720.00,PE,PRESTIGE26MAR1720PE,0.00,0.00,0.00,212.25,0.00,212.25,1597.50,151.60,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156700,,PRESTIGE,,2026-03-30,2026-03-30,1600.00,CE,PRESTIGE26MAR1600CE,67.60,80.00,67.60,80.00,80.00,74.65,1597.50,86.70,7200,4050,16,12049875.00,16,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156697,,PRESTIGE,,2026-03-30,2026-03-30,1520.00,PE,PRESTIGE26MAR1520PE,0.00,0.00,0.00,39.20,39.20,39.20,1597.50,43.65,900,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130236,,PRESTIGE,,2026-02-24,2026-02-24,1480.00,PE,PRESTIGE26FEB1480PE,9.00,9.00,5.45,5.95,6.00,7.70,1597.50,5.95,20700,-4050,81,54181035.00,81,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156627,,PRESTIGE,,2026-02-24,2026-02-24,1300.00,PE,PRESTIGE26FEB1300PE,1.35,1.55,1.25,1.35,1.25,1.65,1597.50,1.35,72000,-900,10,5856097.50,10,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156690,,PRESTIGE,,2026-03-30,2026-03-30,1400.00,CE,PRESTIGE26MAR1400CE,0.00,0.00,0.00,244.55,0.00,244.55,1597.50,221.30,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153674,,PRESTIGE,,2026-03-30,2026-03-30,1780.00,PE,PRESTIGE26MAR1780PE,0.00,0.00,0.00,381.85,0.00,381.85,1597.50,196.95,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156625,,PRESTIGE,,2026-02-24,2026-02-24,1260.00,PE,PRESTIGE26FEB1260PE,0.00,0.00,0.00,10.10,0.00,10.10,1597.50,0.05,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153795,,PRESTIGE,,2026-04-28,2026-04-28,1720.00,CE,PRESTIGE26APR1720CE,0.00,0.00,0.00,33.30,0.00,33.30,1597.50,64.40,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153651,,PRESTIGE,,2026-03-30,2026-03-30,1340.00,CE,PRESTIGE26MAR1340CE,0.00,0.00,0.00,133.70,0.00,133.70,1597.50,273.70,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130226,,PRESTIGE,,2026-02-24,2026-02-24,1400.00,PE,PRESTIGE26FEB1400PE,3.05,3.45,2.45,2.65,2.55,3.10,1597.50,2.65,103950,900,53,33461437.50,51,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156647,,PRESTIGE,,2026-02-24,2026-02-24,1700.00,PE,PRESTIGE26FEB1700PE,0.00,0.00,0.00,147.30,145.75,147.30,1597.50,110.75,10800,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153648,,PRESTIGE,,2026-03-30,2026-03-30,1260.00,PE,PRESTIGE26MAR1260PE,0.00,0.00,0.00,38.95,0.00,38.95,1597.50,2.10,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153650,,PRESTIGE,,2026-03-30,2026-03-30,1300.00,PE,PRESTIGE26MAR1300PE,0.00,0.00,0.00,52.00,0.00,52.00,1597.50,3.85,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153772,,PRESTIGE,,2026-04-28,2026-04-28,1240.00,PE,PRESTIGE26APR1240PE,0.00,0.00,0.00,47.50,0.00,47.50,1597.50,5.25,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153780,,PRESTIGE,,2026-04-28,2026-04-28,1400.00,PE,PRESTIGE26APR1400PE,0.00,0.00,0.00,113.25,0.00,113.25,1597.50,25.85,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,40020,,PRESTIGE,,2026-02-24,2026-02-24,1160.00,PE,PRESTIGE26FEB1160PE,0.00,0.00,0.00,1.75,1.05,1.75,1597.50,0.05,19800,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156706,,PRESTIGE,,2026-03-30,2026-03-30,1720.00,CE,PRESTIGE26MAR1720CE,0.00,0.00,0.00,87.30,0.00,87.30,1597.50,41.20,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156704,,PRESTIGE,,2026-03-30,2026-03-30,1680.00,CE,PRESTIGE26MAR1680CE,0.00,0.00,0.00,100.80,0.00,100.80,1597.50,53.60,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153643,,PRESTIGE,,2026-03-30,2026-03-30,1180.00,CE,PRESTIGE26MAR1180CE,0.00,0.00,0.00,244.15,0.00,244.15,1597.50,426.30,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130265,,PRESTIGE,,2026-02-24,2026-02-24,1720.00,CE,PRESTIGE26FEB1720CE,6.90,6.90,4.65,6.00,5.95,6.00,1597.50,6.00,26100,450,10,7766032.50,10,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130263,,PRESTIGE,,2026-02-24,2026-02-24,1680.00,CE,PRESTIGE26FEB1680CE,10.85,11.60,7.95,10.45,10.55,10.85,1597.50,10.45,289800,5850,155,117866137.50,126,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156642,,PRESTIGE,,2026-02-24,2026-02-24,1620.00,CE,PRESTIGE26FEB1620CE,26.15,29.95,20.70,27.05,26.80,26.75,1597.50,27.05,54000,3150,88,65168257.50,81,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156638,,PRESTIGE,,2026-02-24,2026-02-24,1540.00,CE,PRESTIGE26FEB1540CE,61.00,71.80,60.00,70.40,70.40,69.30,1597.50,79.50,40950,-5850,19,13736880.00,16,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130237,,PRESTIGE,,2026-02-24,2026-02-24,1520.00,CE,PRESTIGE26FEB1520CE,88.65,88.65,82.70,83.70,83.70,85.25,1597.50,94.15,47250,-900,6,4332600.00,6,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156634,,PRESTIGE,,2026-02-24,2026-02-24,1460.00,CE,PRESTIGE26FEB1460CE,0.00,0.00,0.00,143.45,143.45,143.45,1597.50,144.60,22500,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130196,,PRESTIGE,,2026-02-24,2026-02-24,1240.00,CE,PRESTIGE26FEB1240CE,0.00,0.00,0.00,447.95,0.00,447.95,1597.50,359.95,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156621,,PRESTIGE,,2026-02-24,2026-02-24,1180.00,PE,PRESTIGE26FEB1180PE,0.00,0.00,0.00,4.05,0.00,4.05,1597.50,0.05,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130199,,PRESTIGE,,2026-02-24,2026-02-24,1280.00,PE,PRESTIGE26FEB1280PE,0.00,0.00,0.00,1.30,1.30,1.30,1597.50,0.05,16200,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130195,,PRESTIGE,,2026-02-24,2026-02-24,1200.00,PE,PRESTIGE26FEB1200PE,0.00,0.00,0.00,0.90,0.90,0.90,1597.50,0.05,48600,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153799,,PRESTIGE,,2026-04-28,2026-04-28,1800.00,CE,PRESTIGE26APR1800CE,0.00,0.00,0.00,22.90,0.00,22.90,1597.50,42.70,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153791,,PRESTIGE,,2026-04-28,2026-04-28,1640.00,CE,PRESTIGE26APR1640CE,0.00,0.00,0.00,47.85,0.00,47.85,1597.50,94.10,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153775,,PRESTIGE,,2026-04-28,2026-04-28,1320.00,CE,PRESTIGE26APR1320CE,0.00,0.00,0.00,168.30,0.00,168.30,1597.50,305.10,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153773,,PRESTIGE,,2026-04-28,2026-04-28,1280.00,CE,PRESTIGE26APR1280CE,0.00,0.00,0.00,192.30,0.00,192.30,1597.50,340.35,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,153771,,PRESTIGE,,2026-04-28,2026-04-28,1240.00,CE,PRESTIGE26APR1240CE,0.00,0.00,0.00,218.45,0.00,218.45,1597.50,376.85,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156696,,PRESTIGE,,2026-03-30,2026-03-30,1520.00,CE,PRESTIGE26MAR1520CE,0.00,0.00,0.00,54.20,54.20,54.20,1597.50,131.90,900,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156652,,PRESTIGE,,2026-02-24,2026-02-24,1820.00,CE,PRESTIGE26FEB1820CE,0.00,0.00,0.00,2.45,2.45,2.45,1597.50,1.35,4050,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156620,,PRESTIGE,,2026-02-24,2026-02-24,1180.00,CE,PRESTIGE26FEB1180CE,0.00,0.00,0.00,404.55,0.00,404.55,1597.50,419.80,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130270,,PRESTIGE,,2026-02-24,2026-02-24,1800.00,PE,PRESTIGE26FEB1800PE,0.00,0.00,0.00,254.25,254.25,254.25,1597.50,200.95,0,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,156628,,PRESTIGE,,2026-02-24,2026-02-24,1340.00,CE,PRESTIGE26FEB1340CE,0.00,0.00,0.00,136.90,136.90,136.90,1597.50,260.25,2700,0,0,0.00,0,F1,450,,,,,
2026-02-11,2026-02-11,FO,NSE,STO,130202,,PRESTIGE,,2026-02-24,2026-02-24,1320.00,CE,PRESTIGE26FEB1320CE,0.00,0.00,0.00,205.00,205.00,205.00,1597.50,280.15,1800,0,0,0.00,0,F1,450,,,,,
