TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-13,2026-02-13,FO,NSE,STO,116950,,HEROMOTOCO,,2026-04-28,2026-04-28,5100.00,CE,HEROMOTOCO26APR5100CE,0.00,0.00,0.00,520.95,0.00,520.95,5583.80,600.35,0,0,0,0.00,0,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,106044,,HEROMOTOCO,,2026-03-30,2026-03-30,6700.00,CE,HEROMOTOCO26MAR6700CE,13.75,27.30,5.45,13.30,13.00,82.10,5583.80,13.30,11550,11550,100,100702942.50,79,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,105912,,HEROMOTOCO,,2026-03-30,2026-03-30,5600.00,CE,HEROMOTOCO26MAR5600CE,223.90,234.30,200.20,207.65,200.20,315.00,5583.80,207.65,2850,450,15,13098322.50,15,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STF,51899,,HEROMOTOCO,,2026-03-30,2026-03-30,,,HEROMOTOCO26MARFUT,5770.50,5770.50,5601.50,5629.50,5601.50,5779.50,5583.80,5629.50,165750,16650,430,365845800.00,403,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,116955,,HEROMOTOCO,,2026-04-28,2026-04-28,5300.00,PE,HEROMOTOCO26APR5300PE,0.00,0.00,0.00,241.40,0.00,241.40,5583.80,109.70,0,0,0,0.00,0,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,106043,,HEROMOTOCO,,2026-03-30,2026-03-30,6600.00,PE,HEROMOTOCO26MAR6600PE,0.00,0.00,0.00,889.25,0.00,889.25,5583.80,978.80,0,0,0,0.00,0,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,105935,,HEROMOTOCO,,2026-03-30,2026-03-30,6300.00,PE,HEROMOTOCO26MAR6300PE,0.00,0.00,0.00,657.60,0.00,657.60,5583.80,697.65,0,0,0,0.00,0,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,116512,,HEROMOTOCO,,2026-03-30,2026-03-30,5750.00,PE,HEROMOTOCO26MAR5750PE,0.00,0.00,0.00,454.50,0.00,454.50,5583.80,268.45,0,0,0,0.00,0,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,105913,,HEROMOTOCO,,2026-03-30,2026-03-30,5600.00,PE,HEROMOTOCO26MAR5600PE,154.00,175.00,143.95,169.00,173.50,104.90,5583.80,169.00,19200,450,28,24186577.50,28,F1,150,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,105927,,HEROMOTOCO,,2026-03-30,2026-03-30,6200.00,CE,HEROMOTOCO26MAR6200CE,40.20,48.20,36.40,38.40,37.65,58.15,5583.80,38.40,9300,1650,35,32779260.00,29,F1,150,,,,,
