TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-13,2026-02-13,FO,NSE,STO,166343,,WIPRO,,2026-03-30,2026-03-30,274.00,PE,WIPRO26MAR274PE,0.00,0.00,0.00,52.00,52.00,52.00,214.10,58.09,66000,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172704,,WIPRO,,2026-02-24,2026-02-24,260.00,CE,WIPRO26FEB260CE,0.15,0.18,0.12,0.14,0.15,0.19,214.10,0.14,3720000,-78000,694,541635930.00,351,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172811,,WIPRO,,2026-03-30,2026-03-30,185.00,PE,WIPRO26MAR185PE,2.25,2.38,1.40,1.58,1.58,0.30,214.10,1.58,261000,261000,190,106512480.00,164,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172965,,WIPRO,,2026-04-28,2026-04-28,210.00,PE,WIPRO26APR210PE,0.00,0.00,0.00,4.00,0.00,4.00,214.10,7.41,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,154713,,WIPRO,,2026-02-24,2026-02-24,279.00,CE,WIPRO26FEB279CE,0.08,0.08,0.05,0.08,0.08,0.07,214.10,0.01,201000,30000,25,20930730.00,9,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,154719,,WIPRO,,2026-02-24,2026-02-24,294.00,CE,WIPRO26FEB294CE,0.06,0.06,0.03,0.04,0.04,0.06,214.10,0.04,1065000,-18000,24,21171900.00,12,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,154723,,WIPRO,,2026-02-24,2026-02-24,304.00,CE,WIPRO26FEB304CE,0.03,0.03,0.03,0.03,0.03,0.05,214.10,0.01,588000,0,1,912090.00,1,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172828,,WIPRO,,2026-03-30,2026-03-30,207.50,CE,WIPRO26MAR207.5CE,0.00,0.00,0.00,31.65,0.00,31.65,214.10,12.64,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172866,,WIPRO,,2026-03-30,2026-03-30,255.00,CE,WIPRO26MAR255CE,1.00,1.20,1.00,1.13,1.13,1.30,214.10,0.35,21000,9000,6,4609980.00,6,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172884,,WIPRO,,2026-03-30,2026-03-30,277.50,CE,WIPRO26MAR277.5CE,0.00,0.00,0.00,1.80,0.00,1.80,214.10,0.03,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172894,,WIPRO,,2026-03-30,2026-03-30,290.00,CE,WIPRO26MAR290CE,0.00,0.00,0.00,0.85,0.00,0.85,214.10,0.01,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172960,,WIPRO,,2026-04-28,2026-04-28,200.00,CE,WIPRO26APR200CE,0.00,0.00,0.00,40.05,0.00,40.05,214.10,20.25,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172968,,WIPRO,,2026-04-28,2026-04-28,220.00,CE,WIPRO26APR220CE,0.00,0.00,0.00,24.95,0.00,24.95,214.10,8.91,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172671,,WIPRO,,2026-02-24,2026-02-24,217.50,PE,WIPRO26FEB217.5PE,8.87,10.88,6.10,6.78,6.72,4.32,214.10,6.78,570000,-81000,435,294516180.00,409,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172693,,WIPRO,,2026-02-24,2026-02-24,245.00,PE,WIPRO26FEB245PE,34.84,34.90,28.79,28.79,28.79,25.67,214.10,30.50,1116000,-27000,39,32404380.00,39,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172713,,WIPRO,,2026-02-24,2026-02-24,270.00,PE,WIPRO26FEB270PE,62.40,62.40,62.40,62.40,62.40,25.52,214.10,55.45,30000,0,1,997200.00,1,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,166267,,WIPRO,,2026-02-24,2026-02-24,286.50,PE,WIPRO26FEB286.5PE,0.00,0.00,0.00,52.20,52.20,52.20,214.10,71.93,3000,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,154695,,WIPRO,,2026-02-24,2026-02-24,234.00,CE,WIPRO26FEB234CE,0.51,1.04,0.51,0.72,0.71,1.11,214.10,0.72,3144000,-24000,507,356984010.00,404,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172959,,WIPRO,,2026-04-28,2026-04-28,195.00,PE,WIPRO26APR195PE,0.00,0.00,0.00,1.55,0.00,1.55,214.10,2.72,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172877,,WIPRO,,2026-03-30,2026-03-30,267.50,PE,WIPRO26MAR267.5PE,0.00,0.00,0.00,32.95,0.00,32.95,214.10,51.69,0,0,0,0.00,0,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172847,,WIPRO,,2026-03-30,2026-03-30,230.00,PE,WIPRO26MAR230PE,20.09,23.16,18.37,19.50,19.50,16.03,214.10,19.50,906000,78000,91,68588430.00,77,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172843,,WIPRO,,2026-03-30,2026-03-30,225.00,PE,WIPRO26MAR225PE,18.45,19.20,15.90,15.90,15.90,12.69,214.10,13.85,216000,9000,13,9483210.00,12,F1,3000,,,,,
2026-02-13,2026-02-13,FO,NSE,STO,172839,,WIPRO,,2026-03-30,2026-03-30,220.00,PE,WIPRO26MAR220PE,16.26,16.62,11.80,13.04,13.03,9.89,214.10,13.04,786000,-57000,163,114557040.00,151,F1,3000,,,,,
