TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-16,2026-02-16,FO,NSE,STO,140485,,MOTHERSON,,2026-03-30,2026-03-30,102.00,CE,MOTHERSON26MAR102CE,0.00,0.00,0.00,21.29,0.00,21.29,132.30,30.98,0,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,118730,,MOTHERSON,,2026-02-24,2026-02-24,122.00,CE,MOTHERSON26FEB122CE,9.39,11.16,9.39,10.72,10.72,10.60,132.30,10.56,713400,-12300,15,12220480.50,13,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,139992,,MOTHERSON,,2026-02-24,2026-02-24,111.00,CE,MOTHERSON26FEB111CE,0.00,0.00,0.00,20.34,20.34,20.34,132.30,21.43,430500,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STF,59424,,MOTHERSON,,2026-02-24,2026-02-24,,,MOTHERSON26FEBFUT,129.98,133.00,129.50,132.29,132.10,131.16,132.30,132.29,161031600,1211550,2565,2077389189.00,2124,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,142674,,MOTHERSON,,2026-03-30,2026-03-30,145.00,PE,MOTHERSON26MAR145PE,0.00,0.00,0.00,34.16,0.00,34.16,132.30,13.71,0,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,142872,,MOTHERSON,,2026-04-28,2026-04-28,112.00,PE,MOTHERSON26APR112PE,0.00,0.00,0.00,8.60,0.00,8.60,132.30,0.91,0,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,140530,,MOTHERSON,,2026-03-30,2026-03-30,146.00,PE,MOTHERSON26MAR146PE,0.00,0.00,0.00,26.33,0.00,26.33,132.30,14.51,0,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,36879,,MOTHERSON,,2026-03-30,2026-03-30,147.00,PE,MOTHERSON26MAR147PE,0.00,0.00,0.00,34.40,0.00,34.40,132.30,15.33,0,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,142585,,MOTHERSON,,2026-03-30,2026-03-30,109.00,PE,MOTHERSON26MAR109PE,0.00,0.00,0.00,5.90,0.00,5.90,132.30,0.18,0,0,0,0.00,0,F1,6150,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,142533,,MOTHERSON,,2026-03-30,2026-03-30,107.00,PE,MOTHERSON26MAR107PE,0.00,0.00,0.00,4.98,0.00,4.98,132.30,0.12,0,0,0,0.00,0,F1,6150,,,,,
