TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-16,2026-02-16,FO,NSE,STO,150540,,UPL,,2026-02-24,2026-02-24,680.00,PE,UPL26FEB680PE,2.50,2.50,1.05,1.10,1.10,2.50,733.80,1.10,350945,-9485,76,70185409.25,72,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165471,,UPL,,2026-03-30,2026-03-30,580.00,PE,UPL26MAR580PE,0.00,0.00,0.00,1.40,1.40,1.40,733.80,0.20,25745,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165477,,UPL,,2026-03-30,2026-03-30,640.00,PE,UPL26MAR640PE,0.00,0.00,0.00,2.70,2.70,2.70,733.80,2.40,36585,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165483,,UPL,,2026-03-30,2026-03-30,700.00,PE,UPL26MAR700PE,13.65,13.65,10.00,10.65,10.65,13.55,733.80,10.65,121950,35230,54,52065671.75,43,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,172069,,UPL,,2026-04-28,2026-04-28,800.00,PE,UPL26APR800PE,0.00,0.00,0.00,93.15,0.00,93.15,733.80,75.10,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,171993,,UPL,,2026-03-30,2026-03-30,610.00,PE,UPL26MAR610PE,0.00,0.00,0.00,4.55,0.00,4.55,733.80,0.75,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,171995,,UPL,,2026-03-30,2026-03-30,630.00,PE,UPL26MAR630PE,0.00,0.00,0.00,1.35,1.35,1.35,733.80,1.65,13550,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,172049,,UPL,,2026-04-28,2026-04-28,600.00,PE,UPL26APR600PE,0.00,0.00,0.00,6.50,0.00,6.50,733.80,1.90,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,172055,,UPL,,2026-04-28,2026-04-28,660.00,PE,UPL26APR660PE,0.00,0.00,0.00,19.40,0.00,19.40,733.80,9.20,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,46965,,UPL,,2026-03-30,2026-03-30,540.00,PE,UPL26MAR540PE,0.00,0.00,0.00,0.15,0.00,0.15,733.80,0.05,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,172077,,UPL,,2026-04-28,2026-04-28,880.00,PE,UPL26APR880PE,0.00,0.00,0.00,158.15,0.00,158.15,733.80,141.50,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STF,67038,,UPL,,2026-04-28,2026-04-28,,,UPL26APRFUT,736.25,745.80,736.25,744.25,744.40,736.25,733.80,744.25,170730,-8130,36,36238797.50,28,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,150571,,UPL,,2026-02-24,2026-02-24,740.00,CE,UPL26FEB740CE,7.10,11.20,6.10,10.50,10.60,7.90,733.80,10.50,765575,79945,747,758637467.75,591,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165424,,UPL,,2026-02-24,2026-02-24,790.00,CE,UPL26FEB790CE,1.30,1.40,1.05,1.30,1.30,1.35,733.80,1.30,563680,168020,284,304490722.00,240,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,172006,,UPL,,2026-03-30,2026-03-30,750.00,CE,UPL26MAR750CE,18.50,21.90,18.50,21.40,21.10,18.75,733.80,21.40,51490,24390,22,22954513.00,22,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,172012,,UPL,,2026-03-30,2026-03-30,810.00,CE,UPL26MAR810CE,0.00,0.00,0.00,7.00,7.00,7.00,733.80,7.50,2710,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,150574,,UPL,,2026-02-24,2026-02-24,760.00,PE,UPL26FEB760PE,32.00,32.20,26.50,28.65,28.50,38.75,733.80,28.65,314360,-5420,25,26746209.50,17,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165473,,UPL,,2026-03-30,2026-03-30,600.00,PE,UPL26MAR600PE,1.30,1.30,1.05,1.05,1.05,1.35,733.80,1.05,29810,2710,3,2443945.75,2,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165492,,UPL,,2026-03-30,2026-03-30,800.00,CE,UPL26MAR800CE,5.00,7.30,5.00,7.05,7.00,6.15,733.80,7.05,348235,52845,76,83079995.75,68,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STF,52067,,UPL,,2026-03-30,2026-03-30,,,UPL26MARFUT,726.00,741.70,726.00,739.80,739.60,730.80,733.80,739.80,770995,84010,172,171634530.25,165,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165408,,UPL,,2026-02-24,2026-02-24,630.00,CE,UPL26FEB630CE,0.00,0.00,0.00,75.80,75.80,75.80,733.80,104.55,2710,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165474,,UPL,,2026-03-30,2026-03-30,620.00,CE,UPL26MAR620CE,0.00,0.00,0.00,178.90,0.00,178.90,733.80,118.85,0,0,0,0.00,0,F1,1355,,,,,
2026-02-16,2026-02-16,FO,NSE,STO,165484,,UPL,,2026-03-30,2026-03-30,720.00,CE,UPL26MAR720CE,33.70,36.00,33.70,36.00,36.00,32.25,733.80,39.15,25745,-1355,3,3066974.75,3,F1,1355,,,,,
