TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-17,2026-02-17,FO,NSE,STO,71417,,ALKEM,,2026-02-24,2026-02-24,5300.00,CE,ALKEM26FEB5300CE,166.65,171.05,142.10,149.00,148.00,184.90,5456.45,149.00,9125,375,12,8182418.75,12,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,79290,,ALKEM,,2026-04-28,2026-04-28,4700.00,CE,ALKEM26APR4700CE,0.00,0.00,0.00,1137.75,0.00,1137.75,5456.45,818.35,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,62627,,ALKEM,,2026-03-30,2026-03-30,6600.00,CE,ALKEM26MAR6600CE,0.00,0.00,0.00,30.85,0.00,30.85,5456.45,1.40,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,78964,,ALKEM,,2026-03-30,2026-03-30,5750.00,CE,ALKEM26MAR5750CE,0.00,0.00,0.00,273.25,0.00,273.25,5456.45,73.70,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,62525,,ALKEM,,2026-03-30,2026-03-30,5400.00,CE,ALKEM26MAR5400CE,213.80,213.80,205.95,205.95,205.95,220.95,5456.45,216.25,1000,125,2,1402468.75,2,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,62356,,ALKEM,,2026-03-30,2026-03-30,4800.00,CE,ALKEM26MAR4800CE,0.00,0.00,0.00,781.40,0.00,781.40,5456.45,692.75,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,71379,,ALKEM,,2026-02-24,2026-02-24,4800.00,PE,ALKEM26FEB4800PE,2.65,4.95,2.20,2.65,2.60,3.85,5456.45,2.65,11500,-6500,467,280375893.75,400,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,71377,,ALKEM,,2026-02-24,2026-02-24,4800.00,CE,ALKEM26FEB4800CE,0.00,0.00,0.00,950.00,950.00,950.00,5456.45,661.50,125,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,61966,,ALKEM,,2026-02-24,2026-02-24,5850.00,CE,ALKEM26FEB5850CE,10.55,10.55,5.70,6.15,6.10,11.60,5456.45,6.15,16750,250,118,86387906.25,101,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,79335,,ALKEM,,2026-04-28,2026-04-28,6300.00,PE,ALKEM26APR6300PE,0.00,0.00,0.00,579.65,0.00,579.65,5456.45,803.65,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,79333,,ALKEM,,2026-04-28,2026-04-28,6200.00,PE,ALKEM26APR6200PE,0.00,0.00,0.00,508.45,0.00,508.45,5456.45,714.55,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,79313,,ALKEM,,2026-04-28,2026-04-28,5600.00,PE,ALKEM26APR5600PE,0.00,0.00,0.00,181.95,0.00,181.95,5456.45,267.45,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,78951,,ALKEM,,2026-03-30,2026-03-30,5050.00,PE,ALKEM26MAR5050PE,0.00,0.00,0.00,23.55,0.00,23.55,5456.45,29.20,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,71466,,ALKEM,,2026-02-24,2026-02-24,6500.00,PE,ALKEM26FEB6500PE,0.00,0.00,0.00,951.95,951.95,951.95,5456.45,1036.70,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,61965,,ALKEM,,2026-02-24,2026-02-24,5750.00,PE,ALKEM26FEB5750PE,0.00,0.00,0.00,316.80,316.80,316.80,5456.45,291.65,4500,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,61881,,ALKEM,,2026-02-24,2026-02-24,5350.00,PE,ALKEM26FEB5350PE,64.05,73.10,51.00,53.10,52.60,58.05,5456.45,53.10,10000,5125,344,232668012.50,290,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,79312,,ALKEM,,2026-04-28,2026-04-28,5600.00,CE,ALKEM26APR5600CE,0.00,0.00,0.00,421.70,0.00,421.70,5456.45,182.65,0,0,0,0.00,0,F1,125,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,61877,,ALKEM,,2026-02-24,2026-02-24,5150.00,PE,ALKEM26FEB5150PE,19.95,20.50,12.35,13.00,14.20,17.65,5456.45,13.00,17500,1250,213,137539900.00,206,F1,125,,,,,
