TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-17,2026-02-17,FO,NSE,STO,130604,,LODHA,,2026-02-24,2026-02-24,1230.00,CE,LODHA26FEB1230CE,0.00,0.00,0.00,4.95,4.95,4.95,1096.95,0.35,450,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136461,,LODHA,,2026-03-30,2026-03-30,1090.00,PE,LODHA26MAR1090PE,0.00,0.00,0.00,77.75,77.75,77.75,1096.95,48.50,900,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136647,,LODHA,,2026-04-28,2026-04-28,860.00,PE,LODHA26APR860PE,0.00,0.00,0.00,49.90,0.00,49.90,1096.95,4.30,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130811,,LODHA,,2026-03-30,2026-03-30,940.00,CE,LODHA26MAR940CE,0.00,0.00,0.00,165.80,0.00,165.80,1096.95,169.00,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130817,,LODHA,,2026-03-30,2026-03-30,980.00,CE,LODHA26MAR980CE,0.00,0.00,0.00,139.80,0.00,139.80,1096.95,135.20,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130836,,LODHA,,2026-03-30,2026-03-30,1140.00,CE,LODHA26MAR1140CE,0.00,0.00,0.00,22.35,22.35,22.35,1096.95,40.10,7650,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136638,,LODHA,,2026-04-28,2026-04-28,780.00,CE,LODHA26APR780CE,0.00,0.00,0.00,162.60,0.00,162.60,1096.95,326.05,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136651,,LODHA,,2026-04-28,2026-04-28,900.00,PE,LODHA26APR900PE,0.00,0.00,0.00,68.00,0.00,68.00,1096.95,8.10,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130839,,LODHA,,2026-03-30,2026-03-30,1160.00,PE,LODHA26MAR1160PE,0.00,0.00,0.00,111.50,111.50,111.50,1096.95,89.05,900,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136685,,LODHA,,2026-04-28,2026-04-28,1240.00,PE,LODHA26APR1240PE,0.00,0.00,0.00,323.05,0.00,323.05,1096.95,158.50,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136671,,LODHA,,2026-04-28,2026-04-28,1080.00,PE,LODHA26APR1080PE,0.00,0.00,0.00,185.50,0.00,185.50,1096.95,58.15,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,136386,,LODHA,,2026-03-30,2026-03-30,890.00,PE,LODHA26MAR890PE,0.00,0.00,0.00,51.85,0.00,51.85,1096.95,2.30,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,113576,,LODHA,,2026-02-24,2026-02-24,1200.00,CE,LODHA26FEB1200CE,1.00,1.40,1.00,1.10,1.05,1.65,1096.95,1.10,79200,-25650,237,128109172.50,145,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130602,,LODHA,,2026-02-24,2026-02-24,1220.00,CE,LODHA26FEB1220CE,0.90,2.50,0.80,0.80,0.80,0.60,1096.95,0.80,93150,58050,270,148346797.50,131,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130786,,LODHA,,2026-03-30,2026-03-30,800.00,CE,LODHA26MAR800CE,0.00,0.00,0.00,276.55,0.00,276.55,1096.95,302.10,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130568,,LODHA,,2026-02-24,2026-02-24,1020.00,CE,LODHA26FEB1020CE,73.90,86.25,73.90,78.40,78.40,81.00,1096.95,78.40,75600,-1800,15,7419915.00,15,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130608,,LODHA,,2026-02-24,2026-02-24,1260.00,CE,LODHA26FEB1260CE,0.00,0.00,0.00,16.80,0.00,16.80,1096.95,0.10,0,0,0,0.00,0,F1,450,,,,,
2026-02-17,2026-02-17,FO,NSE,STO,130794,,LODHA,,2026-03-30,2026-03-30,880.00,CE,LODHA26MAR880CE,0.00,0.00,0.00,209.80,0.00,209.80,1096.95,224.20,0,0,0,0.00,0,F1,450,,,,,
