TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-18,2026-02-18,FO,NSE,STO,101949,,CUMMINSIND,,2026-03-30,2026-03-30,4850.00,CE,CUMMINSIND26MAR4850CE,147.95,147.95,130.00,130.00,130.00,20.20,4725.80,136.05,600,600,3,2993950.00,3,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89498,,CUMMINSIND,,2026-03-30,2026-03-30,4600.00,CE,CUMMINSIND26MAR4600CE,175.00,286.30,175.00,259.10,260.00,166.50,4725.80,259.10,14000,0,254,244887820.00,223,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,101901,,CUMMINSIND,,2026-03-30,2026-03-30,3950.00,CE,CUMMINSIND26MAR3950CE,0.00,0.00,0.00,226.85,0.00,226.85,4725.80,803.30,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,87574,,CUMMINSIND,,2026-02-24,2026-02-24,4900.00,CE,CUMMINSIND26FEB4900CE,4.50,33.60,4.50,18.45,17.75,4.50,4725.80,18.45,123800,69800,9888,9732362560.00,7985,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89366,,CUMMINSIND,,2026-02-24,2026-02-24,4750.00,CE,CUMMINSIND26FEB4750CE,17.00,88.40,16.85,59.85,57.40,15.10,4725.80,59.85,91000,21000,11726,11278682100.00,9314,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89342,,CUMMINSIND,,2026-02-24,2026-02-24,3750.00,CE,CUMMINSIND26FEB3750CE,0.00,0.00,0.00,645.30,645.30,645.30,4725.80,979.20,600,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,102117,,CUMMINSIND,,2026-04-28,2026-04-28,3700.00,PE,CUMMINSIND26APR3700PE,0.00,0.00,0.00,136.25,0.00,136.25,4725.80,3.75,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,102078,,CUMMINSIND,,2026-04-28,2026-04-28,3500.00,PE,CUMMINSIND26APR3500PE,0.00,0.00,0.00,77.30,0.00,77.30,4725.80,1.00,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89519,,CUMMINSIND,,2026-03-30,2026-03-30,4600.00,PE,CUMMINSIND26MAR4600PE,150.00,150.00,87.05,96.75,97.95,150.00,4725.80,96.75,24400,19200,228,214452480.00,182,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89527,,CUMMINSIND,,2026-03-30,2026-03-30,5000.00,PE,CUMMINSIND26MAR5000PE,310.00,318.00,300.00,311.45,315.00,560.00,4725.80,311.45,3400,3200,22,23371580.00,19,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,101937,,CUMMINSIND,,2026-03-30,2026-03-30,4350.00,CE,CUMMINSIND26MAR4350CE,0.00,0.00,0.00,79.25,79.25,79.25,4725.80,441.50,2600,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89466,,CUMMINSIND,,2026-03-30,2026-03-30,4200.00,CE,CUMMINSIND26MAR4200CE,582.55,582.55,582.55,582.55,582.55,400.00,4725.80,582.55,1800,-200,1,956510.00,1,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89462,,CUMMINSIND,,2026-03-30,2026-03-30,4000.00,CE,CUMMINSIND26MAR4000CE,0.00,0.00,0.00,556.25,0.00,556.25,4725.80,755.20,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,89368,,CUMMINSIND,,2026-02-24,2026-02-24,4850.00,CE,CUMMINSIND26FEB4850CE,6.25,46.75,5.80,27.90,26.50,6.20,4725.80,27.90,65800,23200,7768,7581170610.00,6362,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,102144,,CUMMINSIND,,2026-04-28,2026-04-28,4200.00,PE,CUMMINSIND26APR4200PE,0.00,0.00,0.00,386.45,0.00,386.45,4725.80,42.65,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,101896,,CUMMINSIND,,2026-03-30,2026-03-30,3650.00,PE,CUMMINSIND26MAR3650PE,0.00,0.00,0.00,87.60,0.00,87.60,4725.80,0.30,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,87575,,CUMMINSIND,,2026-02-24,2026-02-24,4900.00,PE,CUMMINSIND26FEB4900PE,0.00,0.00,0.00,634.75,0.00,634.75,4725.80,185.40,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,87539,,CUMMINSIND,,2026-02-24,2026-02-24,3700.00,PE,CUMMINSIND26FEB3700PE,1.20,1.40,1.10,1.30,1.30,1.55,4725.80,0.05,62800,-2200,33,24428490.00,26,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,102116,,CUMMINSIND,,2026-04-28,2026-04-28,3700.00,CE,CUMMINSIND26APR3700CE,0.00,0.00,0.00,421.20,0.00,421.20,4725.80,1067.80,0,0,0,0.00,0,F1,200,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,101943,,CUMMINSIND,,2026-03-30,2026-03-30,4550.00,CE,CUMMINSIND26MAR4550CE,213.55,300.45,213.55,268.95,267.15,185.00,4725.80,268.95,1600,-800,12,11593830.00,8,F1,200,,,,,
