TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-18,2026-02-18,FO,NSE,STO,140567,,MPHASIS,,2026-02-24,2026-02-24,2550.00,CE,MPHASIS26FEB2550CE,21.55,22.05,8.15,11.75,11.20,24.90,2435.80,11.75,135025,4950,759,534594706.25,680,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,140630,,MPHASIS,,2026-02-24,2026-02-24,2750.00,PE,MPHASIS26FEB2750PE,0.00,0.00,0.00,272.00,272.00,272.00,2435.80,311.75,40975,0,0,0.00,0,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,143098,,MPHASIS,,2026-03-30,2026-03-30,2850.00,PE,MPHASIS26MAR2850PE,0.00,0.00,0.00,170.20,0.00,170.20,2435.80,404.00,0,0,0,0.00,0,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,143128,,MPHASIS,,2026-04-28,2026-04-28,2100.00,PE,MPHASIS26APR2100PE,0.00,0.00,0.00,7.20,0.00,7.20,2435.80,15.30,0,0,0,0.00,0,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,119002,,MPHASIS,,2026-02-24,2026-02-24,2500.00,CE,MPHASIS26FEB2500CE,42.15,42.15,15.65,22.15,21.45,42.10,2435.80,22.15,227700,46750,1500,1040397407.50,1317,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,140683,,MPHASIS,,2026-02-24,2026-02-24,3050.00,CE,MPHASIS26FEB3050CE,0.00,0.00,0.00,0.90,0.90,0.90,2435.80,0.05,15400,0,0,0.00,0,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,140685,,MPHASIS,,2026-02-24,2026-02-24,3150.00,CE,MPHASIS26FEB3150CE,0.00,0.00,0.00,1.20,1.20,1.20,2435.80,0.05,3575,0,0,0.00,0,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,119096,,MPHASIS,,2026-02-24,2026-02-24,3300.00,CE,MPHASIS26FEB3300CE,0.15,0.15,0.05,0.05,0.05,0.10,2435.80,0.05,2200,0,3,2722568.75,3,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,140689,,MPHASIS,,2026-02-24,2026-02-24,3350.00,CE,MPHASIS26FEB3350CE,0.00,0.00,0.00,22.35,0.00,22.35,2435.80,0.05,0,0,0,0.00,0,F1,275,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,140717,,MPHASIS,,2026-03-30,2026-03-30,2700.00,CE,MPHASIS26MAR2700CE,39.60,40.00,29.55,34.55,34.75,47.15,2435.80,34.55,22550,3300,48,36071653.75,45,F1,275,,,,,
