TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-18,2026-02-18,FO,NSE,STO,146373,,NYKAA,,2026-03-30,2026-03-30,242.50,CE,NYKAA26MAR242.5CE,0.00,0.00,0.00,12.10,0.00,12.10,272.40,32.73,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145403,,NYKAA,,2026-03-30,2026-03-30,270.00,CE,NYKAA26MAR270CE,14.00,14.00,12.55,13.60,13.60,13.78,272.40,12.92,43750,18750,8,7084968.75,8,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145409,,NYKAA,,2026-03-30,2026-03-30,285.00,CE,NYKAA26MAR285CE,7.00,7.32,6.52,7.14,7.05,7.00,272.40,7.14,46875,37500,53,48351093.75,47,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146605,,NYKAA,,2026-04-28,2026-04-28,320.00,CE,NYKAA26APR320CE,0.00,0.00,0.00,1.05,0.00,1.05,272.40,2.41,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145392,,NYKAA,,2026-03-30,2026-03-30,240.00,PE,NYKAA26MAR240PE,0.00,0.00,0.00,7.30,0.00,7.30,272.40,1.10,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146482,,NYKAA,,2026-04-28,2026-04-28,225.00,PE,NYKAA26APR225PE,0.00,0.00,0.00,9.60,0.00,9.60,272.40,0.88,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146574,,NYKAA,,2026-04-28,2026-04-28,255.00,PE,NYKAA26APR255PE,0.00,0.00,0.00,25.30,0.00,25.30,272.40,5.99,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145397,,NYKAA,,2026-03-30,2026-03-30,255.00,CE,NYKAA26MAR255CE,0.00,0.00,0.00,25.00,0.00,25.00,272.40,22.56,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145305,,NYKAA,,2026-02-24,2026-02-24,232.50,CE,NYKAA26FEB232.5CE,0.00,0.00,0.00,38.69,38.69,38.69,272.40,40.11,31250,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122618,,NYKAA,,2026-02-24,2026-02-24,265.00,CE,NYKAA26FEB265CE,8.65,9.80,8.65,9.63,9.63,9.62,272.40,9.63,493750,0,5,4287593.75,5,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145375,,NYKAA,,2026-03-30,2026-03-30,200.00,CE,NYKAA26MAR200CE,0.00,0.00,0.00,67.40,0.00,67.40,272.40,73.61,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145389,,NYKAA,,2026-03-30,2026-03-30,235.00,CE,NYKAA26MAR235CE,0.00,0.00,0.00,37.95,0.00,37.95,272.40,39.49,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145388,,NYKAA,,2026-03-30,2026-03-30,230.00,PE,NYKAA26MAR230PE,0.00,0.00,0.00,4.75,0.00,4.75,272.40,0.40,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122635,,NYKAA,,2026-02-24,2026-02-24,305.00,PE,NYKAA26FEB305PE,33.26,33.26,33.26,33.26,33.26,30.90,272.40,32.33,3125,-3125,1,1057062.50,1,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145314,,NYKAA,,2026-02-24,2026-02-24,247.50,PE,NYKAA26FEB247.5PE,0.00,0.00,0.00,0.80,0.81,0.80,272.40,0.02,165625,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122605,,NYKAA,,2026-02-24,2026-02-24,230.00,PE,NYKAA26FEB230PE,0.15,0.17,0.09,0.11,0.13,0.24,272.40,0.11,700000,-100000,50,35957906.25,41,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145289,,NYKAA,,2026-02-24,2026-02-24,212.50,PE,NYKAA26FEB212.5PE,0.00,0.00,0.00,2.20,2.20,2.20,272.40,0.01,3125,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146589,,NYKAA,,2026-04-28,2026-04-28,275.00,CE,NYKAA26APR275CE,0.00,0.00,0.00,5.60,0.00,5.60,272.40,14.39,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146569,,NYKAA,,2026-04-28,2026-04-28,250.00,CE,NYKAA26APR250CE,0.00,0.00,0.00,12.45,0.00,12.45,272.40,29.60,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145401,,NYKAA,,2026-03-30,2026-03-30,265.00,CE,NYKAA26MAR265CE,0.00,0.00,0.00,19.80,0.00,19.80,272.40,15.78,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145391,,NYKAA,,2026-03-30,2026-03-30,240.00,CE,NYKAA26MAR240CE,0.00,0.00,0.00,34.40,0.00,34.40,272.40,34.94,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146367,,NYKAA,,2026-03-30,2026-03-30,227.50,CE,NYKAA26MAR227.5CE,0.00,0.00,0.00,19.75,0.00,19.75,272.40,46.57,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145321,,NYKAA,,2026-02-24,2026-02-24,267.50,CE,NYKAA26FEB267.5CE,8.10,8.10,6.25,7.79,7.51,7.70,272.40,7.79,275000,-9375,32,27483093.75,32,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122610,,NYKAA,,2026-02-24,2026-02-24,245.00,CE,NYKAA26FEB245CE,28.78,28.78,28.49,28.50,28.49,34.36,272.40,28.50,243750,-3125,4,3419625.00,4,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146590,,NYKAA,,2026-04-28,2026-04-28,275.00,PE,NYKAA26APR275PE,0.00,0.00,0.00,39.90,0.00,39.90,272.40,14.15,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145426,,NYKAA,,2026-03-30,2026-03-30,305.00,PE,NYKAA26MAR305PE,0.00,0.00,0.00,43.60,0.00,43.60,272.40,32.86,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145412,,NYKAA,,2026-03-30,2026-03-30,290.00,PE,NYKAA26MAR290PE,0.00,0.00,0.00,32.45,0.00,32.45,272.40,20.86,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145398,,NYKAA,,2026-03-30,2026-03-30,255.00,PE,NYKAA26MAR255PE,0.00,0.00,0.00,12.65,0.00,12.65,272.40,3.63,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145390,,NYKAA,,2026-03-30,2026-03-30,235.00,PE,NYKAA26MAR235PE,1.60,1.60,1.60,1.60,1.60,1.60,272.40,0.68,6250,3125,1,739375.00,1,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146587,,NYKAA,,2026-04-28,2026-04-28,270.00,CE,NYKAA26APR270CE,0.00,0.00,0.00,6.65,0.00,6.65,272.40,16.89,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146395,,NYKAA,,2026-03-30,2026-03-30,297.50,CE,NYKAA26MAR297.5CE,0.00,0.00,0.00,1.10,0.00,1.10,272.40,3.29,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145393,,NYKAA,,2026-03-30,2026-03-30,245.00,CE,NYKAA26MAR245CE,0.00,0.00,0.00,31.05,0.00,31.05,272.40,30.57,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146371,,NYKAA,,2026-03-30,2026-03-30,237.50,CE,NYKAA26MAR237.5CE,0.00,0.00,0.00,14.35,0.00,14.35,272.40,37.20,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122624,,NYKAA,,2026-02-24,2026-02-24,280.00,CE,NYKAA26FEB280CE,2.00,2.13,1.26,1.54,1.52,2.01,272.40,1.54,1950000,-237500,890,783084156.25,782,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146397,,NYKAA,,2026-03-30,2026-03-30,302.50,CE,NYKAA26MAR302.5CE,0.00,0.00,0.00,0.85,0.00,0.85,272.40,2.44,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146480,,NYKAA,,2026-04-28,2026-04-28,220.00,PE,NYKAA26APR220PE,0.00,0.00,0.00,7.85,0.00,7.85,272.40,0.58,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145396,,NYKAA,,2026-03-30,2026-03-30,250.00,PE,NYKAA26MAR250PE,4.00,4.15,3.06,3.10,3.06,4.00,272.40,3.10,606250,200000,152,120423562.50,112,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146376,,NYKAA,,2026-03-30,2026-03-30,247.50,PE,NYKAA26MAR247.5PE,0.00,0.00,0.00,18.50,0.00,18.50,272.40,2.08,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122617,,NYKAA,,2026-02-24,2026-02-24,260.00,PE,NYKAA26FEB260PE,1.24,1.24,0.54,0.58,0.59,1.12,272.40,0.58,2500000,-59375,367,299100750.00,303,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122587,,NYKAA,,2026-02-24,2026-02-24,205.00,PE,NYKAA26FEB205PE,0.00,0.00,0.00,1.04,0.00,1.04,272.40,0.01,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146597,,NYKAA,,2026-04-28,2026-04-28,295.00,CE,NYKAA26APR295CE,0.00,0.00,0.00,2.75,0.00,2.75,272.40,7.02,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146479,,NYKAA,,2026-04-28,2026-04-28,220.00,CE,NYKAA26APR220CE,0.00,0.00,0.00,27.70,0.00,27.70,272.40,55.25,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146477,,NYKAA,,2026-04-28,2026-04-28,215.00,CE,NYKAA26APR215CE,0.00,0.00,0.00,31.10,0.00,31.10,272.40,59.99,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146475,,NYKAA,,2026-04-28,2026-04-28,210.00,CE,NYKAA26APR210CE,0.00,0.00,0.00,34.65,0.00,34.65,272.40,64.80,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146375,,NYKAA,,2026-03-30,2026-03-30,247.50,CE,NYKAA26MAR247.5CE,0.00,0.00,0.00,10.10,0.00,10.10,272.40,28.47,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145385,,NYKAA,,2026-03-30,2026-03-30,225.00,CE,NYKAA26MAR225CE,0.00,0.00,0.00,45.60,0.00,45.60,272.40,48.98,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145373,,NYKAA,,2026-03-30,2026-03-30,195.00,CE,NYKAA26MAR195CE,0.00,0.00,0.00,72.05,0.00,72.05,272.40,78.57,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145329,,NYKAA,,2026-02-24,2026-02-24,287.50,CE,NYKAA26FEB287.5CE,0.73,0.73,0.44,0.50,0.51,0.76,272.40,0.50,534375,0,16,14401906.25,16,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122622,,NYKAA,,2026-02-24,2026-02-24,275.00,CE,NYKAA26FEB275CE,3.74,3.97,2.59,3.26,3.22,3.71,272.40,3.26,2940625,-43750,1186,1030959000.00,1068,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122606,,NYKAA,,2026-02-24,2026-02-24,235.00,CE,NYKAA26FEB235CE,0.00,0.00,0.00,37.00,37.00,37.00,272.40,37.61,556250,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122586,,NYKAA,,2026-02-24,2026-02-24,205.00,CE,NYKAA26FEB205CE,0.00,0.00,0.00,69.58,0.00,69.58,272.40,67.59,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,122595,,NYKAA,,2026-02-24,2026-02-24,215.00,PE,NYKAA26FEB215PE,0.00,0.00,0.00,0.25,0.25,0.25,272.40,0.01,287500,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146602,,NYKAA,,2026-04-28,2026-04-28,305.00,PE,NYKAA26APR305PE,0.00,0.00,0.00,65.70,0.00,65.70,272.40,34.12,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146598,,NYKAA,,2026-04-28,2026-04-28,295.00,PE,NYKAA26APR295PE,0.00,0.00,0.00,56.70,0.00,56.70,272.40,26.57,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146584,,NYKAA,,2026-04-28,2026-04-28,265.00,PE,NYKAA26APR265PE,0.00,0.00,0.00,32.25,0.00,32.25,272.40,9.52,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146503,,NYKAA,,2026-04-28,2026-04-28,235.00,PE,NYKAA26APR235PE,0.00,0.00,0.00,13.90,0.00,13.90,272.40,1.84,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146484,,NYKAA,,2026-04-28,2026-04-28,230.00,PE,NYKAA26APR230PE,0.00,0.00,0.00,11.65,0.00,11.65,272.40,1.29,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,145414,,NYKAA,,2026-03-30,2026-03-30,295.00,PE,NYKAA26MAR295PE,0.00,0.00,0.00,36.00,0.00,36.00,272.40,24.62,0,0,0,0.00,0,F1,3125,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,146390,,NYKAA,,2026-03-30,2026-03-30,282.50,PE,NYKAA26MAR282.5PE,0.00,0.00,0.00,45.35,0.00,45.35,272.40,15.74,0,0,0,0.00,0,F1,3125,,,,,
