TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-18,2026-02-18,FO,NSE,STO,160526,,SYNGENE,,2026-02-24,2026-02-24,380.00,CE,SYNGENE26FEB380CE,0.00,0.00,0.00,50.95,50.95,50.95,433.15,53.50,2000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,139246,,SYNGENE,,2026-02-24,2026-02-24,400.00,CE,SYNGENE26FEB400CE,0.00,0.00,0.00,36.10,36.10,36.10,433.15,33.60,27000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,160540,,SYNGENE,,2026-02-24,2026-02-24,530.00,CE,SYNGENE26FEB530CE,0.10,0.15,0.10,0.15,0.10,0.20,433.15,0.15,169000,-22000,26,13782900.00,12,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,160554,,SYNGENE,,2026-02-24,2026-02-24,670.00,CE,SYNGENE26FEB670CE,0.00,0.00,0.00,0.05,0.05,0.05,433.15,0.05,10000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,139284,,SYNGENE,,2026-02-24,2026-02-24,760.00,CE,SYNGENE26FEB760CE,0.00,0.00,0.00,0.20,0.20,0.20,433.15,0.05,7000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,168846,,SYNGENE,,2026-03-30,2026-03-30,370.00,CE,SYNGENE26MAR370CE,0.00,0.00,0.00,124.20,0.00,124.20,433.15,66.20,0,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,168850,,SYNGENE,,2026-03-30,2026-03-30,410.00,CE,SYNGENE26MAR410CE,0.00,0.00,0.00,87.35,0.00,87.35,433.15,32.50,0,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,168856,,SYNGENE,,2026-03-30,2026-03-30,470.00,CE,SYNGENE26MAR470CE,9.00,9.45,6.95,8.05,8.20,9.00,433.15,8.05,109000,47000,109,52064650.00,72,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,160529,,SYNGENE,,2026-02-24,2026-02-24,420.00,PE,SYNGENE26FEB420PE,3.25,4.45,1.50,2.30,2.20,4.00,433.15,2.30,234000,-37000,620,262168000.00,549,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,139251,,SYNGENE,,2026-02-24,2026-02-24,440.00,PE,SYNGENE26FEB440PE,10.20,14.40,7.40,9.95,9.65,12.35,433.15,9.95,441000,108000,568,255858800.00,305,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,160555,,SYNGENE,,2026-02-24,2026-02-24,670.00,PE,SYNGENE26FEB670PE,236.70,236.70,236.70,236.70,236.70,193.15,433.15,236.70,5000,0,1,906700.00,1,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,139285,,SYNGENE,,2026-02-24,2026-02-24,760.00,PE,SYNGENE26FEB760PE,0.00,0.00,0.00,315.20,315.20,315.20,433.15,326.15,5000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,160587,,SYNGENE,,2026-03-30,2026-03-30,480.00,PE,SYNGENE26MAR480PE,0.00,0.00,0.00,49.10,49.10,49.10,433.15,47.95,21000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,62786,,SYNGENE,,2026-03-30,2026-03-30,360.00,PE,SYNGENE26MAR360PE,0.00,0.00,0.00,2.00,2.00,2.00,433.15,0.40,3000,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,168861,,SYNGENE,,2026-03-30,2026-03-30,510.00,PE,SYNGENE26MAR510PE,0.00,0.00,0.00,37.75,0.00,37.75,433.15,74.90,0,0,0,0.00,0,F1,1000,,,,,
2026-02-18,2026-02-18,FO,NSE,STO,160595,,SYNGENE,,2026-03-30,2026-03-30,560.00,PE,SYNGENE26MAR560PE,0.00,0.00,0.00,8.25,0.00,8.25,433.15,123.60,0,0,0,0.00,0,F1,1000,,,,,
