TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-20,2026-02-20,FO,NSE,STO,88553,,DELHIVERY,,2026-02-24,2026-02-24,370.00,CE,DELHIVERY26FEB370CE,0.00,0.00,0.00,58.70,58.70,58.70,430.95,61.15,10375,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103525,,DELHIVERY,,2026-03-30,2026-03-30,395.00,PE,DELHIVERY26MAR395PE,0.00,0.00,0.00,21.45,0.00,21.45,430.95,4.55,0,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,91146,,DELHIVERY,,2026-03-30,2026-03-30,470.00,PE,DELHIVERY26MAR470PE,0.00,0.00,0.00,42.00,42.00,42.00,430.95,42.45,2075,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STF,51862,,DELHIVERY,,2026-03-30,2026-03-30,,,DELHIVERY26MARFUT,427.10,436.20,427.10,433.35,432.30,430.05,430.95,433.35,14282225,7306075,4551,4086303310.00,3550,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103582,,DELHIVERY,,2026-04-28,2026-04-28,380.00,CE,DELHIVERY26APR380CE,0.00,0.00,0.00,45.50,0.00,45.50,430.95,59.80,0,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103609,,DELHIVERY,,2026-04-28,2026-04-28,500.00,PE,DELHIVERY26APR500PE,0.00,0.00,0.00,98.80,0.00,98.80,430.95,69.60,0,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,91031,,DELHIVERY,,2026-02-24,2026-02-24,495.00,PE,DELHIVERY26FEB495PE,0.00,0.00,0.00,62.70,62.70,62.70,430.95,63.75,2075,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,88613,,DELHIVERY,,2026-02-24,2026-02-24,460.00,PE,DELHIVERY26FEB460PE,28.65,28.65,27.55,27.55,27.55,30.15,430.95,28.95,72625,4150,3,3037385.00,3,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,88548,,DELHIVERY,,2026-02-24,2026-02-24,340.00,PE,DELHIVERY26FEB340PE,0.05,0.10,0.05,0.10,0.10,0.15,430.95,0.10,157700,-2075,10,7056660.00,7,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103602,,DELHIVERY,,2026-04-28,2026-04-28,470.00,CE,DELHIVERY26APR470CE,0.00,0.00,0.00,11.65,0.00,11.65,430.95,11.60,0,0,0,0.00,0,F1,2075,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,91002,,DELHIVERY,,2026-02-24,2026-02-24,375.00,CE,DELHIVERY26FEB375CE,0.00,0.00,0.00,53.05,53.05,53.05,430.95,56.20,18675,0,0,0.00,0,F1,2075,,,,,
