TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-20,2026-02-20,FO,NSE,STO,115518,,HDFCAMC,,2026-04-28,2026-04-28,2360.00,PE,HDFCAMC26APR2360PE,0.00,0.00,0.00,109.60,0.00,109.60,2715.70,16.20,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,96960,,HDFCAMC,,2026-02-24,2026-02-24,2400.00,PE,HDFCAMC26FEB2400PE,0.80,1.20,0.60,0.90,1.05,1.25,2715.70,0.90,59100,-15300,168,121003500.00,135,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115559,,HDFCAMC,,2026-04-28,2026-04-28,2840.00,CE,HDFCAMC26APR2840CE,0.00,0.00,0.00,51.25,0.00,51.25,2715.70,92.25,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115550,,HDFCAMC,,2026-04-28,2026-04-28,2800.00,CE,HDFCAMC26APR2800CE,0.00,0.00,0.00,59.05,0.00,59.05,2715.70,107.60,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115548,,HDFCAMC,,2026-04-28,2026-04-28,2760.00,CE,HDFCAMC26APR2760CE,0.00,0.00,0.00,67.65,0.00,67.65,2715.70,124.75,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115523,,HDFCAMC,,2026-04-28,2026-04-28,2480.00,CE,HDFCAMC26APR2480CE,0.00,0.00,0.00,161.15,0.00,161.15,2715.70,296.90,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115509,,HDFCAMC,,2026-04-28,2026-04-28,2240.00,CE,HDFCAMC26APR2240CE,0.00,0.00,0.00,297.90,0.00,297.90,2715.70,504.30,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,104133,,HDFCAMC,,2026-03-30,2026-03-30,2720.00,CE,HDFCAMC26MAR2720CE,111.70,111.70,88.75,88.80,88.85,153.50,2715.70,88.80,2100,1500,8,6759930.00,8,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115082,,HDFCAMC,,2026-03-30,2026-03-30,2580.00,CE,HDFCAMC26MAR2580CE,0.00,0.00,0.00,82.60,82.60,82.60,2715.70,190.20,600,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103999,,HDFCAMC,,2026-03-30,2026-03-30,2160.00,CE,HDFCAMC26MAR2160CE,0.00,0.00,0.00,522.35,0.00,522.35,2715.70,568.40,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36650,,HDFCAMC,,2026-02-24,2026-02-24,2880.00,CE,HDFCAMC26FEB2880CE,1.60,1.80,0.40,0.45,0.40,1.60,2715.70,0.45,76800,-10800,295,254978265.00,211,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103874,,HDFCAMC,,2026-02-24,2026-02-24,2700.00,CE,HDFCAMC26FEB2700CE,67.00,67.00,31.85,35.75,32.80,47.35,2715.70,35.75,37800,-8100,91,74996760.00,65,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103872,,HDFCAMC,,2026-02-24,2026-02-24,2660.00,CE,HDFCAMC26FEB2660CE,77.70,100.10,77.70,100.10,100.10,77.95,2715.70,68.50,9000,600,3,2476815.00,3,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103850,,HDFCAMC,,2026-02-24,2026-02-24,2380.00,CE,HDFCAMC26FEB2380CE,0.00,0.00,0.00,127.45,127.45,127.45,2715.70,337.15,600,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36594,,HDFCAMC,,2026-02-24,2026-02-24,2120.00,CE,HDFCAMC26FEB2120CE,0.00,0.00,0.00,602.60,0.00,602.60,2715.70,597.00,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36665,,HDFCAMC,,2026-02-24,2026-02-24,3040.00,PE,HDFCAMC26FEB3040PE,0.00,0.00,0.00,387.60,0.00,387.60,2715.70,322.45,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,114635,,HDFCAMC,,2026-03-30,2026-03-30,2220.00,PE,HDFCAMC26MAR2220PE,0.00,0.00,0.00,42.55,0.00,42.55,2715.70,0.95,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115065,,HDFCAMC,,2026-03-30,2026-03-30,2340.00,PE,HDFCAMC26MAR2340PE,0.00,0.00,0.00,79.85,0.00,79.85,2715.70,4.45,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115077,,HDFCAMC,,2026-03-30,2026-03-30,2460.00,PE,HDFCAMC26MAR2460PE,13.50,13.70,13.50,13.55,13.70,58.10,2715.70,13.55,9900,0,5,3710325.00,4,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,104130,,HDFCAMC,,2026-03-30,2026-03-30,2640.00,PE,HDFCAMC26MAR2640PE,0.00,0.00,0.00,135.80,135.80,135.80,2715.70,59.30,5400,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115527,,HDFCAMC,,2026-04-28,2026-04-28,2520.00,CE,HDFCAMC26APR2520CE,0.00,0.00,0.00,143.75,0.00,143.75,2715.70,266.95,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115511,,HDFCAMC,,2026-04-28,2026-04-28,2280.00,CE,HDFCAMC26APR2280CE,0.00,0.00,0.00,271.20,0.00,271.20,2715.70,467.20,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115090,,HDFCAMC,,2026-03-30,2026-03-30,2700.00,CE,HDFCAMC26MAR2700CE,110.70,122.00,92.10,97.25,94.00,106.75,2715.70,97.25,21000,6600,54,45449895.00,52,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103815,,HDFCAMC,,2026-02-24,2026-02-24,2300.00,CE,HDFCAMC26FEB2300CE,0.00,0.00,0.00,515.85,515.85,515.85,2715.70,417.10,1200,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103894,,HDFCAMC,,2026-02-24,2026-02-24,3100.00,CE,HDFCAMC26FEB3100CE,0.40,0.65,0.05,0.05,0.05,0.50,2715.70,0.05,26400,300,44,40922730.00,24,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115580,,HDFCAMC,,2026-04-28,2026-04-28,3200.00,PE,HDFCAMC26APR3200PE,0.00,0.00,0.00,727.15,0.00,727.15,2715.70,469.95,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115560,,HDFCAMC,,2026-04-28,2026-04-28,2840.00,PE,HDFCAMC26APR2840PE,0.00,0.00,0.00,411.00,0.00,411.00,2715.70,188.05,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,104158,,HDFCAMC,,2026-03-30,2026-03-30,3040.00,PE,HDFCAMC26MAR3040PE,0.00,0.00,0.00,425.15,0.00,425.15,2715.70,322.90,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115141,,HDFCAMC,,2026-03-30,2026-03-30,2900.00,PE,HDFCAMC26MAR2900PE,165.00,184.00,165.00,184.00,184.00,173.00,2715.70,184.00,11700,5100,19,17517450.00,9,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,115075,,HDFCAMC,,2026-03-30,2026-03-30,2420.00,PE,HDFCAMC26MAR2420PE,0.00,0.00,0.00,50.00,50.00,50.00,2715.70,10.40,600,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,104002,,HDFCAMC,,2026-03-30,2026-03-30,2200.00,PE,HDFCAMC26MAR2200PE,0.00,0.00,0.00,25.45,0.00,25.45,2715.70,0.70,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36670,,HDFCAMC,,2026-02-24,2026-02-24,3120.00,PE,HDFCAMC26FEB3120PE,0.00,0.00,0.00,450.25,0.00,450.25,2715.70,402.40,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,103891,,HDFCAMC,,2026-02-24,2026-02-24,3020.00,PE,HDFCAMC26FEB3020PE,0.00,0.00,0.00,395.20,0.00,395.20,2715.70,302.50,0,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,97015,,HDFCAMC,,2026-02-24,2026-02-24,3000.00,PE,HDFCAMC26FEB3000PE,0.00,0.00,0.00,200.00,200.00,200.00,2715.70,282.50,2100,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36647,,HDFCAMC,,2026-02-24,2026-02-24,2760.00,PE,HDFCAMC26FEB2760PE,38.05,55.95,25.75,47.05,55.90,45.65,2715.70,47.05,34800,-300,290,243008100.00,270,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36668,,HDFCAMC,,2026-02-24,2026-02-24,3120.00,CE,HDFCAMC26FEB3120CE,0.00,0.00,0.00,1.95,2.05,1.95,2715.70,0.05,20400,0,0,0.00,0,F1,300,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,36678,,HDFCAMC,,2026-02-24,2026-02-24,3160.00,CE,HDFCAMC26FEB3160CE,0.00,0.00,0.00,48.95,0.00,48.95,2715.70,0.05,0,0,0,0.00,0,F1,300,,,,,
