TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-20,2026-02-20,FO,NSE,STO,150487,,PIDILITIND,,2026-03-30,2026-03-30,1570.00,PE,PIDILITIND26MAR1570PE,0.00,0.00,0.00,122.00,0.00,122.00,1464.90,100.30,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150463,,PIDILITIND,,2026-03-30,2026-03-30,1330.00,PE,PIDILITIND26MAR1330PE,0.00,0.00,0.00,8.65,0.00,8.65,1464.90,0.65,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150768,,PIDILITIND,,2026-02-24,2026-02-24,1490.00,PE,PIDILITIND26FEB1490PE,26.10,32.15,24.35,25.60,25.60,33.15,1464.90,26.40,25000,-1500,13,9865200.00,13,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150760,,PIDILITIND,,2026-02-24,2026-02-24,1430.00,PE,PIDILITIND26FEB1430PE,2.40,3.00,1.85,2.65,2.20,2.80,1464.90,2.65,50500,4000,90,64457650.00,90,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150642,,PIDILITIND,,2026-02-24,2026-02-24,1300.00,PE,PIDILITIND26FEB1300PE,0.15,0.15,0.05,0.05,0.05,0.20,1464.90,0.05,119500,-3000,6,3900325.00,6,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150684,,PIDILITIND,,2026-04-28,2026-04-28,1460.00,CE,PIDILITIND26APR1460CE,0.00,0.00,0.00,66.05,0.00,66.05,1464.90,50.55,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150672,,PIDILITIND,,2026-04-28,2026-04-28,1340.00,CE,PIDILITIND26APR1340CE,0.00,0.00,0.00,143.35,0.00,143.35,1464.90,141.60,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152755,,PIDILITIND,,2026-03-30,2026-03-30,1660.00,CE,PIDILITIND26MAR1660CE,2.00,2.00,2.00,2.00,2.00,2.80,1464.90,0.30,1500,500,1,831000.00,1,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150706,,PIDILITIND,,2026-04-28,2026-04-28,1680.00,CE,PIDILITIND26APR1680CE,0.00,0.00,0.00,8.20,0.00,8.20,1464.90,1.40,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150656,,PIDILITIND,,2026-02-24,2026-02-24,1390.00,PE,PIDILITIND26FEB1390PE,0.00,0.00,0.00,0.85,0.85,0.85,1464.90,0.05,12500,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152422,,PIDILITIND,,2026-03-30,2026-03-30,1340.00,PE,PIDILITIND26MAR1340PE,3.80,3.80,3.80,3.80,3.80,0.20,1464.90,0.95,8500,1500,3,2015700.00,1,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152660,,PIDILITIND,,2026-03-30,2026-03-30,1580.00,PE,PIDILITIND26MAR1580PE,0.00,0.00,0.00,129.25,0.00,129.25,1464.90,109.30,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150652,,PIDILITIND,,2026-02-24,2026-02-24,1370.00,PE,PIDILITIND26FEB1370PE,0.00,0.00,0.00,1.45,1.45,1.45,1464.90,0.05,45500,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150979,,PIDILITIND,,2026-02-24,2026-02-24,1530.00,CE,PIDILITIND26FEB1530CE,0.70,0.70,0.45,0.65,0.65,0.90,1464.90,0.65,19500,-18500,75,57395925.00,71,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152205,,PIDILITIND,,2026-03-30,2026-03-30,1200.00,CE,PIDILITIND26MAR1200CE,0.00,0.00,0.00,270.00,0.00,270.00,1464.90,271.75,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152423,,PIDILITIND,,2026-03-30,2026-03-30,1360.00,CE,PIDILITIND26MAR1360CE,0.00,0.00,0.00,129.75,0.00,129.75,1464.90,114.60,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150484,,PIDILITIND,,2026-03-30,2026-03-30,1550.00,CE,PIDILITIND26MAR1550CE,0.00,0.00,0.00,18.05,18.05,18.05,1464.90,6.75,2000,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150666,,PIDILITIND,,2026-04-28,2026-04-28,1280.00,CE,PIDILITIND26APR1280CE,0.00,0.00,0.00,193.35,0.00,193.35,1464.90,198.35,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150682,,PIDILITIND,,2026-04-28,2026-04-28,1440.00,CE,PIDILITIND26APR1440CE,0.00,0.00,0.00,76.45,0.00,76.45,1464.90,62.45,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150688,,PIDILITIND,,2026-04-28,2026-04-28,1500.00,CE,PIDILITIND26APR1500CE,0.00,0.00,0.00,48.20,0.00,48.20,1464.90,31.30,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150696,,PIDILITIND,,2026-04-28,2026-04-28,1580.00,CE,PIDILITIND26APR1580CE,0.00,0.00,0.00,23.60,0.00,23.60,1464.90,9.55,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150681,,PIDILITIND,,2026-04-28,2026-04-28,1420.00,PE,PIDILITIND26APR1420PE,0.00,0.00,0.00,38.95,0.00,38.95,1464.90,16.70,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150481,,PIDILITIND,,2026-03-30,2026-03-30,1510.00,PE,PIDILITIND26MAR1510PE,0.00,0.00,0.00,78.35,0.00,78.35,1464.90,52.35,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152535,,PIDILITIND,,2026-03-30,2026-03-30,1500.00,CE,PIDILITIND26MAR1500CE,22.00,23.50,19.05,20.95,20.55,21.75,1464.90,20.95,48000,13500,90,68471025.00,65,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150485,,PIDILITIND,,2026-03-30,2026-03-30,1550.00,PE,PIDILITIND26MAR1550PE,0.00,0.00,0.00,106.55,0.00,106.55,1464.90,83.00,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150610,,PIDILITIND,,2026-04-28,2026-04-28,1160.00,PE,PIDILITIND26APR1160PE,0.00,0.00,0.00,0.65,0.00,0.65,1464.90,0.05,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150673,,PIDILITIND,,2026-04-28,2026-04-28,1340.00,PE,PIDILITIND26APR1340PE,0.00,0.00,0.00,15.65,0.00,15.65,1464.90,3.20,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150695,,PIDILITIND,,2026-04-28,2026-04-28,1560.00,PE,PIDILITIND26APR1560PE,0.00,0.00,0.00,117.35,0.00,117.35,1464.90,92.65,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STF,59448,,PIDILITIND,,2026-02-24,2026-02-24,,,PIDILITIND26FEBFUT,1455.30,1474.20,1455.30,1463.80,1465.40,1462.00,1464.90,1463.80,2409000,-2831500,7301,5343136350.00,6269,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,126575,,PIDILITIND,,2026-02-24,2026-02-24,1200.00,CE,PIDILITIND26FEB1200CE,0.00,0.00,0.00,286.00,0.00,286.00,1464.90,265.60,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150643,,PIDILITIND,,2026-02-24,2026-02-24,1310.00,CE,PIDILITIND26FEB1310CE,0.00,0.00,0.00,157.65,0.00,157.65,1464.90,155.70,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,152421,,PIDILITIND,,2026-03-30,2026-03-30,1340.00,CE,PIDILITIND26MAR1340CE,0.00,0.00,0.00,145.20,0.00,145.20,1464.90,133.50,0,0,0,0.00,0,F1,500,,,,,
2026-02-20,2026-02-20,FO,NSE,STO,150462,,PIDILITIND,,2026-03-30,2026-03-30,1330.00,CE,PIDILITIND26MAR1330CE,0.00,0.00,0.00,139.75,0.00,139.75,1464.90,143.15,0,0,0,0.00,0,F1,500,,,,,
