TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-23,2026-02-23,FO,NSE,STO,104385,,INDIGO,,2026-02-24,2026-02-24,5800.00,CE,INDIGO26FEB5800CE,0.25,0.30,0.25,0.30,0.30,0.25,4862.20,0.30,6300,-750,5,4350195.00,5,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124952,,INDIGO,,2026-03-30,2026-03-30,4350.00,CE,INDIGO26MAR4350CE,0.00,0.00,0.00,670.30,670.30,670.30,4862.20,551.80,300,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104380,,INDIGO,,2026-02-24,2026-02-24,5500.00,PE,INDIGO26FEB5500PE,646.45,680.75,639.05,650.60,662.35,649.90,4862.20,650.60,52800,-49500,581,536913195.00,247,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104372,,INDIGO,,2026-02-24,2026-02-24,5100.00,PE,INDIGO26FEB5100PE,247.25,272.00,239.30,250.20,261.20,249.95,4862.20,250.20,41400,-17850,340,273464377.50,191,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104362,,INDIGO,,2026-02-24,2026-02-24,4600.00,PE,INDIGO26FEB4600PE,5.75,5.75,1.05,1.95,2.40,5.85,4862.20,1.95,151950,-35100,3185,2198639295.00,2677,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114046,,INDIGO,,2026-03-30,2026-03-30,5400.00,CE,INDIGO26MAR5400CE,17.15,19.70,14.75,15.15,14.75,19.20,4862.20,15.15,43350,17550,441,358328827.50,387,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125368,,INDIGO,,2026-04-28,2026-04-28,5600.00,CE,INDIGO26APR5600CE,0.00,0.00,0.00,92.55,0.00,92.55,4862.20,40.45,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104354,,INDIGO,,2026-02-24,2026-02-24,4200.00,PE,INDIGO26FEB4200PE,0.30,0.55,0.05,0.10,0.10,1.20,4862.20,0.10,30450,-5250,61,38431867.50,41,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125363,,INDIGO,,2026-04-28,2026-04-28,5300.00,PE,INDIGO26APR5300PE,0.00,0.00,0.00,606.35,0.00,606.35,4862.20,479.20,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125347,,INDIGO,,2026-04-28,2026-04-28,5100.00,PE,INDIGO26APR5100PE,0.00,0.00,0.00,469.80,0.00,469.80,4862.20,339.15,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125330,,INDIGO,,2026-04-28,2026-04-28,4800.00,PE,INDIGO26APR4800PE,0.00,0.00,0.00,297.35,0.00,297.35,4862.20,175.65,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125288,,INDIGO,,2026-04-28,2026-04-28,4200.00,PE,INDIGO26APR4200PE,0.00,0.00,0.00,82.55,0.00,82.55,4862.20,22.80,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114054,,INDIGO,,2026-03-30,2026-03-30,5600.00,PE,INDIGO26MAR5600PE,725.00,746.45,710.00,715.00,715.00,720.00,4862.20,719.85,8100,5100,37,35117430.00,13,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104366,,INDIGO,,2026-02-24,2026-02-24,4800.00,PE,INDIGO26FEB4800PE,18.00,26.40,6.50,8.70,8.35,23.85,4862.20,8.70,144150,-43200,4513,3257515905.00,3799,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113867,,INDIGO,,2026-02-24,2026-02-24,4750.00,PE,INDIGO26FEB4750PE,9.75,13.85,2.60,3.35,3.95,13.15,4862.20,3.35,118350,-7350,2795,1993666942.50,2416,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113798,,INDIGO,,2026-02-24,2026-02-24,4550.00,PE,INDIGO26FEB4550PE,2.75,2.80,0.95,1.55,1.60,4.85,4862.20,1.55,26400,-5700,914,624037365.00,831,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125395,,INDIGO,,2026-04-28,2026-04-28,5800.00,CE,INDIGO26APR5800CE,0.00,0.00,0.00,63.65,0.00,63.65,4862.20,22.00,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125279,,INDIGO,,2026-04-28,2026-04-28,3800.00,CE,INDIGO26APR3800CE,0.00,0.00,0.00,1050.95,0.00,1050.95,4862.20,1101.30,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114033,,INDIGO,,2026-03-30,2026-03-30,4900.00,CE,INDIGO26MAR4900CE,134.55,141.05,118.30,127.60,125.05,134.60,4862.20,127.60,73650,27600,667,503081602.50,489,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124958,,INDIGO,,2026-03-30,2026-03-30,4650.00,CE,INDIGO26MAR4650CE,0.00,0.00,0.00,351.65,0.00,351.65,4862.20,309.35,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114023,,INDIGO,,2026-03-30,2026-03-30,4500.00,CE,INDIGO26MAR4500CE,400.00,410.00,400.00,410.00,410.00,418.45,4862.20,423.05,11100,0,2,1471500.00,2,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113995,,INDIGO,,2026-03-30,2026-03-30,4000.00,CE,INDIGO26MAR4000CE,0.00,0.00,0.00,1101.20,0.00,1101.20,4862.20,884.65,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104373,,INDIGO,,2026-02-24,2026-02-24,5200.00,CE,INDIGO26FEB5200CE,1.45,1.60,0.35,0.50,0.65,2.10,4862.20,0.50,109650,-17850,579,451673430.00,517,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113868,,INDIGO,,2026-02-24,2026-02-24,4850.00,CE,INDIGO26FEB4850CE,33.95,41.00,17.00,23.55,18.00,40.25,4862.20,23.55,165600,-22650,3813,2788560652.50,3310,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104361,,INDIGO,,2026-02-24,2026-02-24,4600.00,CE,INDIGO26FEB4600CE,240.00,260.00,223.40,260.00,260.00,253.95,4862.20,260.00,77850,-900,13,9437760.00,13,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113797,,INDIGO,,2026-02-24,2026-02-24,4550.00,CE,INDIGO26FEB4550CE,0.00,0.00,0.00,278.70,278.70,278.70,4862.20,312.90,5550,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113792,,INDIGO,,2026-02-24,2026-02-24,4350.00,CE,INDIGO26FEB4350CE,0.00,0.00,0.00,745.20,0.00,745.20,4862.20,512.85,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STF,59372,,INDIGO,,2026-02-24,2026-02-24,,,INDIGO26FEBFUT,4861.90,4864.50,4820.00,4854.30,4846.20,4849.90,4862.20,4854.30,1170150,-1736850,15102,10979084595.00,11581,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125298,,INDIGO,,2026-04-28,2026-04-28,4500.00,PE,INDIGO26APR4500PE,0.00,0.00,0.00,168.20,0.00,168.20,4862.20,73.15,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124996,,INDIGO,,2026-03-30,2026-03-30,5550.00,PE,INDIGO26MAR5550PE,0.00,0.00,0.00,650.00,650.00,650.00,4862.20,673.10,3450,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124994,,INDIGO,,2026-03-30,2026-03-30,5450.00,PE,INDIGO26MAR5450PE,0.00,0.00,0.00,475.00,475.00,475.00,4862.20,581.70,900,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124959,,INDIGO,,2026-03-30,2026-03-30,4650.00,PE,INDIGO26MAR4650PE,64.65,67.35,57.10,57.70,58.25,184.00,4862.20,57.70,12150,12150,92,65018130.00,69,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114005,,INDIGO,,2026-03-30,2026-03-30,4000.00,PE,INDIGO26MAR4000PE,8.15,9.30,6.70,7.45,7.15,9.10,4862.20,7.45,27450,750,49,29458575.00,48,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104384,,INDIGO,,2026-02-24,2026-02-24,5700.00,PE,INDIGO26FEB5700PE,865.00,865.00,840.00,840.00,840.00,835.00,4862.20,840.00,600,-3600,26,25543500.00,10,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113899,,INDIGO,,2026-02-24,2026-02-24,5250.00,PE,INDIGO26FEB5250PE,0.00,0.00,0.00,316.45,316.70,316.45,4862.20,387.00,1350,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113836,,INDIGO,,2026-02-24,2026-02-24,4650.00,PE,INDIGO26FEB4650PE,4.85,5.85,1.15,2.05,2.25,6.75,4862.20,2.05,168750,-600,2849,1988217180.00,2684,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114041,,INDIGO,,2026-03-30,2026-03-30,5300.00,CE,INDIGO26MAR5300CE,26.45,29.25,21.40,22.00,21.65,28.35,4862.20,22.00,51450,5100,331,264389085.00,275,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125399,,INDIGO,,2026-04-28,2026-04-28,5800.00,PE,INDIGO26APR5800PE,0.00,0.00,0.00,1005.85,0.00,1005.85,4862.20,904.10,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104375,,INDIGO,,2026-02-24,2026-02-24,5300.00,CE,INDIGO26FEB5300CE,1.30,1.35,0.20,0.30,0.25,1.60,4862.20,0.30,65400,-7950,1234,981124650.00,1080,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124981,,INDIGO,,2026-03-30,2026-03-30,5150.00,CE,INDIGO26MAR5150CE,0.00,0.00,0.00,139.90,0.00,139.90,4862.20,73.25,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124991,,INDIGO,,2026-03-30,2026-03-30,5350.00,CE,INDIGO26MAR5350CE,0.00,0.00,0.00,91.15,0.00,91.15,4862.20,34.30,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114053,,INDIGO,,2026-03-30,2026-03-30,5600.00,CE,INDIGO26MAR5600CE,0.00,0.00,0.00,154.10,0.00,154.10,4862.20,11.50,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125285,,INDIGO,,2026-04-28,2026-04-28,4100.00,CE,INDIGO26APR4100CE,0.00,0.00,0.00,794.40,0.00,794.40,4862.20,815.85,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125289,,INDIGO,,2026-04-28,2026-04-28,4300.00,CE,INDIGO26APR4300CE,0.00,0.00,0.00,641.60,0.00,641.60,4862.20,638.35,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104358,,INDIGO,,2026-02-24,2026-02-24,4400.00,PE,INDIGO26FEB4400PE,1.80,1.80,0.50,0.70,0.50,2.75,4862.20,0.70,49050,-10500,462,304973805.00,408,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104364,,INDIGO,,2026-02-24,2026-02-24,4700.00,PE,INDIGO26FEB4700PE,7.00,8.70,1.90,2.60,2.85,9.20,4862.20,2.60,240450,-101700,4274,3015513337.50,3611,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113869,,INDIGO,,2026-02-24,2026-02-24,4850.00,PE,INDIGO26FEB4850PE,39.35,52.35,17.05,20.05,22.00,43.75,4862.20,20.05,53850,-25350,2268,1659166807.50,2037,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104374,,INDIGO,,2026-02-24,2026-02-24,5200.00,PE,INDIGO26FEB5200PE,360.00,365.00,342.90,349.40,349.55,350.00,4862.20,349.40,15150,-2400,28,23315565.00,24,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113905,,INDIGO,,2026-02-24,2026-02-24,5550.00,PE,INDIGO26FEB5550PE,704.10,704.10,700.15,700.15,700.15,680.00,4862.20,686.95,3300,0,2,1875637.50,2,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124969,,INDIGO,,2026-03-30,2026-03-30,4950.00,PE,INDIGO26MAR4950PE,168.00,173.95,164.90,167.35,170.90,182.85,4862.20,167.35,3450,600,19,14588055.00,19,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124971,,INDIGO,,2026-03-30,2026-03-30,5050.00,PE,INDIGO26MAR5050PE,230.00,230.65,227.95,229.85,230.65,245.00,4862.20,229.85,1650,1350,14,11087475.00,12,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104357,,INDIGO,,2026-02-24,2026-02-24,4400.00,CE,INDIGO26FEB4400CE,0.00,0.00,0.00,397.40,397.40,397.40,4862.20,462.85,2850,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114038,,INDIGO,,2026-03-30,2026-03-30,5100.00,PE,INDIGO26MAR5100PE,289.00,289.00,262.05,263.80,265.40,275.80,4862.20,263.80,30450,7800,72,58095067.50,45,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104453,,INDIGO,,2026-02-24,2026-02-24,6400.00,CE,INDIGO26FEB6400CE,0.00,0.00,0.00,0.25,0.25,0.25,4862.20,0.05,450,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124956,,INDIGO,,2026-03-30,2026-03-30,4550.00,CE,INDIGO26MAR4550CE,0.00,0.00,0.00,480.00,480.00,480.00,4862.20,383.25,600,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125294,,INDIGO,,2026-04-28,2026-04-28,4400.00,PE,INDIGO26APR4400PE,0.00,0.00,0.00,134.95,0.00,134.95,4862.20,51.40,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125365,,INDIGO,,2026-04-28,2026-04-28,5400.00,PE,INDIGO26APR5400PE,0.00,0.00,0.00,680.55,0.00,680.55,4862.20,556.90,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125369,,INDIGO,,2026-04-28,2026-04-28,5600.00,PE,INDIGO26APR5600PE,0.00,0.00,0.00,837.80,0.00,837.80,4862.20,724.50,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114012,,INDIGO,,2026-03-30,2026-03-30,4200.00,CE,INDIGO26MAR4200CE,0.00,0.00,0.00,926.15,0.00,926.15,4862.20,690.75,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,104369,,INDIGO,,2026-02-24,2026-02-24,5000.00,CE,INDIGO26FEB5000CE,8.05,8.05,1.80,2.65,2.80,8.05,4862.20,2.65,303150,-54000,6633,4977868500.00,5546,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,113790,,INDIGO,,2026-02-24,2026-02-24,4250.00,CE,INDIGO26FEB4250CE,0.00,0.00,0.00,654.05,654.05,654.05,4862.20,612.85,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124993,,INDIGO,,2026-03-30,2026-03-30,5450.00,CE,INDIGO26MAR5450CE,0.00,0.00,0.00,72.60,0.00,72.60,4862.20,22.60,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125332,,INDIGO,,2026-04-28,2026-04-28,4900.00,PE,INDIGO26APR4900PE,0.00,0.00,0.00,350.20,0.00,350.20,4862.20,223.45,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,114044,,INDIGO,,2026-03-30,2026-03-30,5300.00,PE,INDIGO26MAR5300PE,458.00,458.00,433.00,433.00,433.00,450.00,4862.20,451.80,7800,1350,9,7758727.50,7,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,124997,,INDIGO,,2026-03-30,2026-03-30,5650.00,CE,INDIGO26MAR5650CE,0.00,0.00,0.00,45.00,0.00,45.00,4862.20,9.05,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125291,,INDIGO,,2026-04-28,2026-04-28,4400.00,CE,INDIGO26APR4400CE,0.00,0.00,0.00,571.35,0.00,571.35,4862.20,555.85,0,0,0,0.00,0,F1,150,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,125299,,INDIGO,,2026-04-28,2026-04-28,4600.00,CE,INDIGO26APR4600CE,0.00,0.00,0.00,445.75,0.00,445.75,4862.20,407.10,0,0,0,0.00,0,F1,150,,,,,
