TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-23,2026-02-23,FO,NSE,STO,115135,,LUPIN,,2026-02-24,2026-02-24,1920.00,CE,LUPIN26FEB1920CE,0.00,0.00,0.00,212.55,0.00,212.55,2241.50,321.80,0,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,115133,,LUPIN,,2026-02-24,2026-02-24,1880.00,CE,LUPIN26FEB1880CE,0.00,0.00,0.00,239.60,0.00,239.60,2241.50,361.80,0,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,138254,,LUPIN,,2026-04-28,2026-04-28,2320.00,PE,LUPIN26APR2320PE,0.00,0.00,0.00,207.65,0.00,207.65,2241.50,121.60,0,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,138250,,LUPIN,,2026-04-28,2026-04-28,2240.00,PE,LUPIN26APR2240PE,0.00,0.00,0.00,157.05,0.00,157.05,2241.50,78.10,0,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,138242,,LUPIN,,2026-04-28,2026-04-28,2080.00,PE,LUPIN26APR2080PE,0.00,0.00,0.00,78.45,0.00,78.45,2241.50,24.00,0,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,138178,,LUPIN,,2026-03-30,2026-03-30,2460.00,PE,LUPIN26MAR2460PE,0.00,0.00,0.00,305.95,0.00,305.95,2241.50,215.60,0,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,133542,,LUPIN,,2026-03-30,2026-03-30,2320.00,PE,LUPIN26MAR2320PE,0.00,0.00,0.00,108.95,108.95,108.95,2241.50,105.50,5950,0,0,0.00,0,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,115167,,LUPIN,,2026-02-24,2026-02-24,2120.00,PE,LUPIN26FEB2120PE,1.65,2.65,0.80,1.50,1.40,1.65,2241.50,1.50,19975,-2975,75,67621792.50,70,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,133155,,LUPIN,,2026-02-24,2026-02-24,2100.00,PE,LUPIN26FEB2100PE,0.70,2.30,0.70,1.00,0.70,1.35,2241.50,1.00,91375,5100,229,204504177.50,205,F1,425,,,,,
2026-02-23,2026-02-23,FO,NSE,STO,133153,,LUPIN,,2026-02-24,2026-02-24,2060.00,PE,LUPIN26FEB2060PE,0.35,1.60,0.35,0.85,0.80,1.35,2241.50,0.85,16150,-4675,51,44671027.50,47,F1,425,,,,,
