TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-23,2026-02-23,FO,NSE,IDO,70913,,MIDCPNIFTY,,2026-04-28,2026-04-28,12000.00,PE,MIDCPNIFTY26APR12000PE,0.00,0.00,0.00,103.95,0.00,103.95,13477.75,17.60,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54254,,MIDCPNIFTY,,2026-03-30,2026-03-30,14675.00,PE,MIDCPNIFTY26MAR14675PE,0.00,0.00,0.00,1102.80,0.00,1102.80,13477.75,1145.35,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54234,,MIDCPNIFTY,,2026-03-30,2026-03-30,14425.00,PE,MIDCPNIFTY26MAR14425PE,0.00,0.00,0.00,927.35,0.00,927.35,13477.75,920.00,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54214,,MIDCPNIFTY,,2026-03-30,2026-03-30,14175.00,PE,MIDCPNIFTY26MAR14175PE,0.00,0.00,0.00,766.60,0.00,766.60,13477.75,710.55,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,62960,,MIDCPNIFTY,,2026-02-24,2026-02-24,12750.00,CE,MIDCPNIFTY26FEB12750CE,0.00,0.00,0.00,1390.35,0.00,1390.35,13477.75,729.65,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54208,,MIDCPNIFTY,,2026-03-30,2026-03-30,14100.00,PE,MIDCPNIFTY26MAR14100PE,0.00,0.00,0.00,721.45,0.00,721.45,13477.75,651.75,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54168,,MIDCPNIFTY,,2026-03-30,2026-03-30,13725.00,PE,MIDCPNIFTY26MAR13725PE,0.00,0.00,0.00,305.00,305.00,305.00,13477.75,393.40,1920,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54145,,MIDCPNIFTY,,2026-03-30,2026-03-30,13500.00,PE,MIDCPNIFTY26MAR13500PE,292.55,335.45,265.30,299.50,293.50,311.85,13477.75,299.50,208560,48720,2340,3876649032.00,1992,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54135,,MIDCPNIFTY,,2026-03-30,2026-03-30,13375.00,PE,MIDCPNIFTY26MAR13375PE,0.00,0.00,0.00,363.75,0.00,363.75,13477.75,215.45,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54079,,MIDCPNIFTY,,2026-03-30,2026-03-30,12800.00,PE,MIDCPNIFTY26MAR12800PE,100.00,106.50,80.00,90.40,87.00,105.30,13477.75,90.40,72600,63000,679,1050709524.00,308,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54058,,MIDCPNIFTY,,2026-03-30,2026-03-30,12575.00,PE,MIDCPNIFTY26MAR12575PE,0.00,0.00,0.00,133.00,0.00,133.00,13477.75,28.85,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54001,,MIDCPNIFTY,,2026-03-30,2026-03-30,12000.00,PE,MIDCPNIFTY26MAR12000PE,25.05,30.00,23.00,23.30,23.00,29.15,13477.75,23.30,40200,9960,190,274177104.00,105,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63428,,MIDCPNIFTY,,2026-02-24,2026-02-24,14475.00,CE,MIDCPNIFTY26FEB14475CE,1.20,4.25,0.50,0.65,0.50,1.20,13477.75,0.65,4800,-960,247,429067908.00,165,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63511,,MIDCPNIFTY,,2026-02-24,2026-02-24,14525.00,CE,MIDCPNIFTY26FEB14525CE,1.20,1.70,0.30,0.55,0.30,1.20,13477.75,0.55,4920,-2160,224,390454800.00,160,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63542,,MIDCPNIFTY,,2026-02-24,2026-02-24,14625.00,CE,MIDCPNIFTY26FEB14625CE,0.45,0.90,0.40,0.65,0.90,2.05,13477.75,0.65,1200,-120,16,28081200.00,5,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63544,,MIDCPNIFTY,,2026-02-24,2026-02-24,14650.00,CE,MIDCPNIFTY26FEB14650CE,0.80,0.80,0.30,0.35,0.30,0.80,13477.75,0.35,30480,-240,52,91418964.00,28,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63553,,MIDCPNIFTY,,2026-02-24,2026-02-24,14750.00,CE,MIDCPNIFTY26FEB14750CE,0.60,5.20,0.30,0.35,0.35,0.95,13477.75,0.35,1080,-1080,54,95586018.00,43,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63755,,MIDCPNIFTY,,2026-02-24,2026-02-24,15400.00,CE,MIDCPNIFTY26FEB15400CE,0.55,0.75,0.35,0.35,0.35,0.75,13477.75,0.35,14520,1320,138,255032754.00,44,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63779,,MIDCPNIFTY,,2026-02-24,2026-02-24,15500.00,CE,MIDCPNIFTY26FEB15500CE,0.50,0.60,0.30,0.35,0.30,0.70,13477.75,0.35,81480,-38280,723,1344819258.00,155,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54000,,MIDCPNIFTY,,2026-03-30,2026-03-30,12000.00,CE,MIDCPNIFTY26MAR12000CE,1530.00,1530.00,1530.00,1530.00,1530.00,1500.00,13477.75,1544.20,2040,240,2,3247200.00,2,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54030,,MIDCPNIFTY,,2026-03-30,2026-03-30,12275.00,CE,MIDCPNIFTY26MAR12275CE,0.00,0.00,0.00,1592.00,0.00,1592.00,13477.75,1277.55,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54067,,MIDCPNIFTY,,2026-03-30,2026-03-30,12675.00,CE,MIDCPNIFTY26MAR12675CE,0.00,0.00,0.00,1267.50,0.00,1267.50,13477.75,908.70,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54090,,MIDCPNIFTY,,2026-03-30,2026-03-30,12925.00,CE,MIDCPNIFTY26MAR12925CE,0.00,0.00,0.00,1082.55,0.00,1082.55,13477.75,699.40,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,54100,,MIDCPNIFTY,,2026-03-30,2026-03-30,13050.00,CE,MIDCPNIFTY26MAR13050CE,0.00,0.00,0.00,995.00,0.00,995.00,13477.75,603.55,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63412,,MIDCPNIFTY,,2026-02-24,2026-02-24,14325.00,PE,MIDCPNIFTY26FEB14325PE,0.00,0.00,0.00,752.95,0.00,752.95,13477.75,845.10,0,0,0,0.00,0,F1,120,,,,,
2026-02-23,2026-02-23,FO,NSE,IDO,63548,,MIDCPNIFTY,,2026-02-24,2026-02-24,14675.00,PE,MIDCPNIFTY26FEB14675PE,0.00,0.00,0.00,975.20,0.00,975.20,13477.75,1195.05,0,0,0,0.00,0,F1,120,,,,,
