TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-02-24,2026-02-24,FO,NSE,STO,110532,,GLENMARK,,2026-04-28,2026-04-28,1800.00,CE,GLENMARK26APR1800CE,0.00,0.00,0.00,275.55,0.00,275.55,2058.65,288.75,0,0,0,0.00,0,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,98839,,GLENMARK,,2026-03-30,2026-03-30,2000.00,CE,GLENMARK26MAR2000CE,92.00,120.00,87.95,112.15,120.00,96.15,2058.65,112.15,130125,55125,283,222311343.75,186,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,98637,,GLENMARK,,2026-02-24,2026-02-24,2100.00,CE,GLENMARK26FEB2100CE,0.20,0.25,0.05,0.05,0.05,0.60,2058.65,2058.65,343500,-38625,278,218931562.50,115,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,98611,,GLENMARK,,2026-02-24,2026-02-24,2060.00,CE,GLENMARK26FEB2060CE,8.15,14.00,0.10,3.85,0.55,10.15,2058.65,2058.65,54375,-52875,623,481901062.50,522,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,93770,,GLENMARK,,2026-02-24,2026-02-24,2000.00,CE,GLENMARK26FEB2000CE,33.65,69.00,26.85,59.15,68.00,43.10,2058.65,2058.65,84375,-49500,283,216442218.75,253,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,93715,,GLENMARK,,2026-02-24,2026-02-24,1920.00,CE,GLENMARK26FEB1920CE,120.00,120.00,120.00,120.00,120.00,120.45,2058.65,2058.65,17625,-750,2,1530000.00,1,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,98432,,GLENMARK,,2026-02-24,2026-02-24,1780.00,CE,GLENMARK26FEB1780CE,0.00,0.00,0.00,194.55,194.55,194.55,2058.65,2058.65,4125,0,0,0.00,0,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,98428,,GLENMARK,,2026-02-24,2026-02-24,1740.00,CE,GLENMARK26FEB1740CE,0.00,0.00,0.00,321.25,0.00,321.25,2058.65,2058.65,0,0,0,0.00,0,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,93705,,GLENMARK,,2026-02-24,2026-02-24,1720.00,CE,GLENMARK26FEB1720CE,0.00,0.00,0.00,238.55,238.55,238.55,2058.65,2058.65,1125,0,0,0.00,0,F1,375,,,,,
2026-02-24,2026-02-24,FO,NSE,STO,110561,,GLENMARK,,2026-04-28,2026-04-28,2080.00,CE,GLENMARK26APR2080CE,0.00,0.00,0.00,118.65,0.00,118.65,2058.65,98.05,0,0,0,0.00,0,F1,375,,,,,
